treatment,biorep,time,pseudo_rep,PATP
C,A,0,1,1.07
C,A,0,2,1.11
C,A,0,3,1.13
C,A,12,1,4.07
C,A,12,2,4.05
C,A,12,3,4.19
C,A,24,1,3.67
C,A,24,2,3.81
C,A,24,3,3.76
C,A,36,1,6.77
C,A,36,2,6.37
C,A,36,3,6.75
C,A,48,1,6.33
C,A,48,2,7.19
C,A,48,3,7.19
C,B,0,1,1.32
C,B,0,2,1.25
C,B,0,3,1.37
C,B,12,1,4.12
C,B,12,2,1.75
C,B,12,3,4.64
C,B,24,1,4.35
C,B,24,2,4.42
C,B,24,3,4.78
C,B,36,1,9.56
C,B,36,2,8.11
C,B,36,3,7.49
C,B,48,1,6.11
C,B,48,2,6.99
C,B,48,3,6.68
C,C,0,1,1.52
C,C,0,2,1.75
C,C,0,3,1.81
C,C,12,1,4.75
C,C,12,2,4.44
C,C,12,3,4.74
C,C,24,1,4.08
C,C,24,2,4.02
C,C,24,3,3.82
C,C,36,1,8.14
C,C,36,2,7.61
C,C,36,3,6.94
C,C,48,1,8.4
C,C,48,2,8.79
C,C,48,3,7.76
LV,A,0,1,1.14
LV,A,0,2,1.28
LV,A,0,3,1.28
LV,A,12,1,3.87
LV,A,12,2,4.15
LV,A,12,3,3.71
LV,A,24,1,3.51
LV,A,24,2,3.58
LV,A,24,3,3.43
LV,A,36,1,6.32
LV,A,36,2,7.64
LV,A,36,3,7.87
LV,A,48,1,3.27
LV,A,48,2,2.83
LV,A,48,3,2.42
LV,B,0,1,1.41
LV,B,0,2,1.54
LV,B,0,3,1.42
LV,B,12,1,4.32
LV,B,12,2,4.8
LV,B,12,3,4.74
LV,B,24,1,5.54
LV,B,24,2,4.96
LV,B,24,3,4.83
LV,B,36,1,7.24
LV,B,36,2,7.9
LV,B,36,3,7.36
LV,B,48,1,3.65
LV,B,48,2,3.56
LV,B,48,3,3.27
LV,C,0,1,1.97
LV,C,0,2,2.15
LV,C,0,3,1.56
LV,C,12,1,4.46
LV,C,12,2,4.68
LV,C,12,3,4.74
LV,C,24,1,4.08
LV,C,24,2,3.84
LV,C,24,3,3.86
LV,C,36,1,5.73
LV,C,36,2,6.9
LV,C,36,3,7.09
LV,C,48,1,4.06
LV,C,48,2,3.58
LV,C,48,3,4.16
HV,A,0,1,1.45
HV,A,0,2,1.53
HV,A,0,3,1.44
HV,A,12,1,3.39
HV,A,12,2,3.38
HV,A,12,3,3.31
HV,A,24,1,1.34
HV,A,24,2,1.45
HV,A,24,3,1.39
HV,A,36,1,0.89
HV,A,36,2,1.14
HV,A,36,3,1.07
HV,A,48,1,1.05
HV,A,48,2,1.14
HV,A,48,3,1.15
HV,B,0,1,1.57
HV,B,0,2,1.59
HV,B,0,3,1.5
HV,B,12,1,3.6
HV,B,12,2,3.11
HV,B,12,3,3.61
HV,B,24,1,1.6
HV,B,24,2,1.49
HV,B,24,3,1.63
HV,B,36,1,1.33
HV,B,36,2,1.37
HV,B,36,3,1.27
HV,B,48,1,1.33
HV,B,48,2,1.44
HV,B,48,3,0.82
HV,C,0,1,1.5
HV,C,0,2,1.72
HV,C,0,3,1.88
HV,C,12,1,4.44
HV,C,12,2,4.26
HV,C,12,3,4.31
HV,C,24,1,1.61
HV,C,24,2,1.72
HV,C,24,3,1.82
HV,C,36,1,1.05
HV,C,36,2,0.81
HV,C,36,3,1.12
HV,C,48,1,0.67
HV,C,48,2,0.61
HV,C,48,3,0.66
