Time,Rep,Pro,BacTot,BacSml,BacLrg,Grz,Phage
0,A_1,16700000,729000,231000,498000,0,0
0,B_1,18200000,918000,347000,572000,0,0
0,C_1,16400000,1250000,556000,689000,0,0
0,A_3,17400000,667000,214000,453000,0,62800
0,B_3,18500000,587000,219000,368000,0,97700
0,C_3,17300000,1290000,606000,679000,0,37400
0,A_4,16800000,694000,269000,425000,571,7250000
0,B_4,19200000,510000,215000,295000,364,7020000
0,C_4,16600000,845000,443000,402000,868,11300000
0,A_6,16100000,691000,332000,359000,0,10400000
0,B_6,16900000,732000,289000,443000,0,8360000
0,C_6,16100000,1470000,687000,779000,0,9130000
0,E_2,16200000,1090000,465000,627000,612,0
0,E_3,15000000,1170000,522000,651000,733,0
0,E_4,12900000,1270000,597000,677000,525,0
2,A_1,17400000,NA,NA,NA,0,NA
2,B_1,18700000,NA,NA,NA,0,NA
2,C_1,15400000,NA,NA,NA,0,NA
2,A_3,17100000,NA,NA,NA,0,NA
2,B_3,18100000,NA,NA,NA,0,NA
2,C_3,16100000,NA,NA,NA,0,NA
2,A_4,16500000,NA,NA,NA,843,NA
2,B_4,18300000,NA,NA,NA,562,NA
2,C_4,16400000,NA,NA,NA,1000,NA
2,A_6,16900000,NA,NA,NA,0,NA
2,B_6,16900000,NA,NA,NA,0,NA
2,C_6,15800000,NA,NA,NA,0,NA
2,E_2,15300000,NA,NA,NA,650,NA
2,E_3,13600000,NA,NA,NA,723,NA
2,E_4,12000000,NA,NA,NA,682,NA
4,A_1,17700000,NA,NA,NA,0,NA
4,B_1,17800000,NA,NA,NA,0,NA
4,C_1,17800000,NA,NA,NA,0,NA
4,A_3,18000000,NA,NA,NA,0,NA
4,B_3,18400000,NA,NA,NA,0,NA
4,C_3,16600000,NA,NA,NA,0,NA
4,A_4,16800000,NA,NA,NA,830,NA
4,B_4,17600000,NA,NA,NA,620,NA
4,C_4,16500000,NA,NA,NA,1230,NA
4,A_6,16200000,NA,NA,NA,0,NA
4,B_6,17300000,NA,NA,NA,0,NA
4,C_6,16600000,NA,NA,NA,0,NA
4,E_2,14500000,NA,NA,NA,771,NA
4,E_3,12300000,NA,NA,NA,934,NA
4,E_4,11200000,NA,NA,NA,777,NA
6,A_1,19100000,872000,192000,680000,0,0
6,B_1,17500000,880000,220000,660000,0,0
6,C_1,18300000,1890000,821000,1070000,0,0
6,A_3,17700000,815000,152000,662000,0,53300
6,B_3,18000000,732000,221000,511000,0,36100
6,C_3,17700000,1420000,488000,936000,0,118000
6,A_4,15500000,653000,153000,501000,988,11300000
6,B_4,18600000,831000,192000,639000,779,15100000
6,C_4,16900000,1330000,425000,903000,1950,19800000
6,A_6,17600000,871000,271000,600000,0,12200000
6,B_6,17100000,810000,168000,642000,0,11200000
6,C_6,17100000,1500000,575000,927000,0,20800000
6,E_2,13700000,1330000,562000,767000,1050,0
6,E_3,11700000,1280000,542000,735000,943,0
6,E_4,12100000,1290000,584000,707000,778,0
8,A_1,18200000,NA,NA,NA,0,NA
8,B_1,18100000,NA,NA,NA,0,NA
8,C_1,16700000,NA,NA,NA,0,NA
8,A_3,17700000,NA,NA,NA,0,NA
8,B_3,17000000,NA,NA,NA,0,NA
8,C_3,17000000,NA,NA,NA,0,NA
8,A_4,17900000,NA,NA,NA,1570,NA
8,B_4,17200000,NA,NA,NA,823,NA
8,C_4,15900000,NA,NA,NA,1880,NA
8,A_6,18100000,NA,NA,NA,0,NA
8,B_6,17300000,NA,NA,NA,0,NA
8,C_6,16200000,NA,NA,NA,0,NA
8,E_2,15000000,NA,NA,NA,1860,NA
8,E_3,12100000,NA,NA,NA,1460,NA
8,E_4,11000000,NA,NA,NA,1180,NA
10,A_1,16800000,NA,NA,NA,0,NA
10,B_1,16300000,NA,NA,NA,0,NA
10,C_1,17000000,NA,NA,NA,0,NA
10,A_3,15500000,NA,NA,NA,0,NA
10,B_3,15300000,NA,NA,NA,0,NA
10,C_3,17100000,NA,NA,NA,0,NA
10,A_4,14500000,NA,NA,NA,1960,NA
10,B_4,14700000,NA,NA,NA,914,NA
10,C_4,15200000,NA,NA,NA,2560,NA
10,A_6,14700000,NA,NA,NA,0,NA
10,B_6,15400000,NA,NA,NA,0,NA
10,C_6,16100000,NA,NA,NA,0,NA
10,E_2,17000000,NA,NA,NA,1860,NA
10,E_3,13800000,NA,NA,NA,1600,NA
10,E_4,10500000,NA,NA,NA,1410,NA
12,A_1,15400000,1130000,333000,798000,0,0
12,B_1,15400000,1320000,310000,1010000,0,0
12,C_1,16800000,1650000,749000,902000,0,0
12,A_3,15000000,1190000,315000,873000,0,105000
12,B_3,14300000,1520000,258000,1270000,0,126000
12,C_3,16500000,1710000,630000,1080000,0,180000
12,A_4,12900000,842000,186000,657000,2310,98100000
12,B_4,12900000,1190000,189000,1000000,1160,84000000
12,C_4,12200000,1900000,484000,1420000,3860,183000000
12,A_6,14500000,1230000,311000,924000,0,23300000
12,B_6,13800000,1200000,161000,1040000,0,25200000
12,C_6,15600000,2120000,468000,1660000,0,38100000
12,E_2,14000000,1610000,710000,901000,2170,0
12,E_3,12400000,1700000,759000,943000,2040,0
12,E_4,10100000,1550000,750000,801000,2120,0
14,A_1,15000000,NA,NA,NA,0,NA
14,B_1,16000000,NA,NA,NA,0,NA
14,C_1,18800000,NA,NA,NA,0,NA
14,A_3,16200000,NA,NA,NA,0,NA
14,B_3,15700000,NA,NA,NA,0,NA
14,C_3,16900000,NA,NA,NA,0,NA
14,A_4,12600000,NA,NA,NA,2570,NA
14,B_4,13100000,NA,NA,NA,1840,NA
14,C_4,11500000,NA,NA,NA,3980,NA
14,A_6,15000000,NA,NA,NA,0,NA
14,B_6,15000000,NA,NA,NA,0,NA
14,C_6,16700000,NA,NA,NA,0,NA
14,E_2,15500000,NA,NA,NA,2200,NA
14,E_3,12100000,NA,NA,NA,2900,NA
14,E_4,12300000,NA,NA,NA,2020,NA
16,A_1,17700000,NA,NA,NA,0,NA
16,B_1,17700000,NA,NA,NA,0,NA
16,C_1,19900000,NA,NA,NA,0,NA
16,A_3,16400000,NA,NA,NA,0,NA
16,B_3,17700000,NA,NA,NA,0,NA
16,C_3,18300000,NA,NA,NA,0,NA
16,A_4,12200000,NA,NA,NA,3500,NA
16,B_4,12300000,NA,NA,NA,1810,NA
16,C_4,11100000,NA,NA,NA,5800,NA
16,A_6,15200000,NA,NA,NA,0,NA
16,B_6,15200000,NA,NA,NA,0,NA
16,C_6,13900000,NA,NA,NA,0,NA
16,E_2,13200000,NA,NA,NA,3230,NA
16,E_3,11200000,NA,NA,NA,3680,NA
16,E_4,12100000,NA,NA,NA,2860,NA
18,A_1,19700000,1210000,451000,763000,0,0
18,B_1,19100000,1950000,640000,1320000,0,0
18,C_1,20100000,1740000,867000,874000,0,0
18,A_3,20200000,1430000,531000,900000,0,436000
18,B_3,19300000,2500000,804000,1700000,0,788000
18,C_3,18300000,1960000,850000,1110000,0,1880000
18,A_4,10000000,1420000,308000,1120000,4100,178000000
18,B_4,11900000,1670000,413000,1250000,2190,236000000
18,C_4,8500000,2120000,350000,1780000,7830,NA
18,A_6,14600000,1560000,513000,1050000,0,50200000
18,B_6,14500000,1910000,508000,1410000,0,103000000
18,C_6,12900000,3420000,1120000,2300000,0,NA
18,E_2,13000000,1350000,669000,680000,4030,0
18,E_3,11700000,1430000,653000,778000,5660,0
18,E_4,12200000,1360000,681000,675000,3630,0
20,A_1,22800000,NA,NA,NA,0,NA
20,B_1,21000000,NA,NA,NA,0,NA
20,C_1,22400000,NA,NA,NA,0,NA
20,A_3,21100000,NA,NA,NA,0,NA
20,B_3,22800000,NA,NA,NA,0,NA
20,C_3,22800000,NA,NA,NA,0,NA
20,A_4,9230000,NA,NA,NA,6270,NA
20,B_4,10700000,NA,NA,NA,2280,NA
20,C_4,7110000,NA,NA,NA,14600,NA
20,A_6,14800000,NA,NA,NA,0,NA
20,B_6,14200000,NA,NA,NA,0,NA
20,C_6,11700000,NA,NA,NA,0,NA
20,E_2,15400000,NA,NA,NA,6130,NA
20,E_3,12800000,NA,NA,NA,6630,NA
20,E_4,13700000,NA,NA,NA,3930,NA
22,A_1,23900000,NA,NA,NA,0,NA
22,B_1,23900000,NA,NA,NA,0,NA
22,C_1,26200000,NA,NA,NA,0,NA
22,A_3,23800000,NA,NA,NA,0,NA
22,B_3,23500000,NA,NA,NA,0,NA
22,C_3,26500000,NA,NA,NA,0,NA
22,A_4,7170000,NA,NA,NA,8360,NA
22,B_4,7030000,NA,NA,NA,2620,NA
22,C_4,4930000,NA,NA,NA,14100,NA
22,A_6,15000000,NA,NA,NA,0,NA
22,B_6,12500000,NA,NA,NA,0,NA
22,C_6,9610000,NA,NA,NA,0,NA
22,E_2,14300000,NA,NA,NA,9470,NA
22,E_3,12400000,NA,NA,NA,12200,NA
22,E_4,15200000,NA,NA,NA,7160,NA
24,A_1,28300000,1330000,444000,889000,0,0
24,B_1,27500000,2350000,878000,1470000,0,0
24,C_1,26500000,2150000,947000,1210000,0,0
24,A_3,25100000,1650000,606000,1050000,0,1190000
24,B_3,26300000,2350000,854000,1490000,0,1760000
24,C_3,27900000,2430000,1130000,1300000,0,2430000
24,A_4,6330000,1220000,181000,1030000,10100,249000000
24,B_4,6940000,2100000,237000,1860000,3200,380000000
24,C_4,2840000,948000,179000,769000,16100,285000000
24,A_6,12900000,2130000,407000,1720000,0,184000000
24,B_6,11000000,2300000,325000,1980000,0,271000000
24,C_6,8120000,4650000,773000,3880000,0,287000000
24,E_2,13300000,1490000,808000,680000,10600,0
24,E_3,12500000,1310000,724000,586000,14800,0
24,E_4,11900000,1470000,790000,685000,10800,0
26,A_1,29200000,NA,NA,NA,0,NA
26,B_1,29400000,NA,NA,NA,0,NA
26,C_1,26200000,NA,NA,NA,0,NA
26,A_3,26000000,NA,NA,NA,0,NA
26,B_3,28300000,NA,NA,NA,0,NA
26,C_3,29800000,NA,NA,NA,0,NA
