GENE.NAME,CTRL0_A,CTRL0_B,CTRL0_C,TRT0_A,TRT0_B,TRT0_C,CTRL12_A,CTRL12_B,CTRL12_C,TRT12_A,TRT12_B,TRT12_C,TRT24_A,TRT24_B,TRT24_C,CTRL24_A,CTRL24_B,CTRL36_A,CTRL36_B,CTRL36_C,TRT36_A,TRT36_B,TRT36_C
rnpB,216984,488505,255075,369279,209497,283391,317994,559684,497809,53705,211266,96545,90700,67401,34417,615451,697574,822604,696785,794427,13181,21590,7642
abrB2,7838,7801,7492,7360,4208,9767,18690,12617,9768,4143,5533,2424,140,124,67,17469,14417,17936,15014,17328,152,137,106
clpS_a,1399,1977,1465,1104,1845,3076,1196,786,582,2136,10372,7044,756,644,168,2099,1202,800,337,1242,98,80,75
cds-TX50_RS04365,0,5,5,14,1,0,0,1,1,1,13,12,1,1,0,0,0,0,0,3,0,0,0
TX50_RS07310,159,303,145,115,159,192,687,565,339,97,317,141,11,7,2,317,170,504,450,687,3,2,3
cds-TX50_RS07510,1,2,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
psbI,33460,36981,24500,13783,31535,35215,11853,11779,15626,1911,7306,3111,261,158,101,25889,34095,16758,7060,19561,87,204,59
atpE,152021,143204,148691,118603,81651,167713,17517,17705,21891,5845,8494,3399,1053,632,373,135590,172819,33895,18730,37196,197,297,112
rbcL,434888,159252,821906,311074,105618,1042656,15799,12210,20751,6039,10630,12648,7098,2561,2580,757802,1090990,16902,8479,19327,360,535,212
rpsR,21913,18407,20385,15709,10862,24219,15692,11460,12520,4409,5149,2229,241,213,102,30315,37500,18030,12332,18701,135,218,111
rpsU,2507,2300,2560,2160,1639,4387,1927,1607,2041,668,1100,434,89,69,26,3054,4674,1915,897,2249,12,21,14
PMM0474,26455,31463,26091,23351,23523,37694,13156,16518,19346,4096,7110,2591,190,117,94,32701,44910,24756,13928,23669,134,212,89
psaC,28374,27642,35744,14544,29687,52727,26534,28000,41835,6907,16151,7645,678,592,331,60983,79993,57839,41802,56310,345,510,337
dnaN,3505,4853,3370,2469,3364,5084,14354,13565,15426,2678,5891,2340,78,74,70,6711,5734,16858,11146,19739,95,237,96
PMM0002,1147,1606,1365,782,1367,2552,4947,4626,5477,941,2855,1190,56,47,71,2350,2143,3868,2090,5193,44,72,40
purL,3453,4657,3559,3222,3466,5927,14158,11406,13654,3666,10147,5663,362,395,328,5795,5758,11243,6830,12571,165,268,185
purF,3425,4116,3778,3045,2309,5057,5911,5047,5235,1204,3602,1661,139,100,79,5647,4176,4969,2982,5451,70,92,85
PMM0005,1872,2236,2282,1346,1514,3256,10920,7348,6444,1798,3636,1340,51,57,41,3817,2714,7677,4967,9500,61,117,67
PMM0006,371,582,518,257,449,721,1773,1526,1373,236,780,289,23,16,10,819,600,1296,643,1822,14,38,4
queG,559,945,607,429,633,1009,2418,1992,1982,429,1142,407,26,27,28,1321,902,1970,1454,2533,43,58,24
PMM0008,5612,7322,4291,4020,5081,5594,9669,8665,8709,2143,3662,1655,66,71,46,7508,8517,13619,8758,14019,68,142,49
ftsY,619,982,675,434,627,933,2599,1437,1746,730,1198,638,48,33,26,1468,1193,2015,1643,2419,25,29,19
rsbU,930,1441,1121,620,768,1507,3169,2238,1745,544,2049,1007,60,68,31,2004,1118,1785,987,2488,23,49,25
argH,1093,1653,1678,955,1160,2733,6487,5525,6074,1585,4174,1871,99,82,54,3359,2770,6291,4633,7458,71,109,58
dusA,795,1331,893,757,810,1567,2741,1991,1604,514,1989,898,183,140,50,1663,770,1616,969,2273,27,36,20
msrB,5651,8570,4663,5011,4945,6980,4274,2996,2551,1238,6265,3478,645,545,160,5472,2797,3019,1884,4608,84,84,79
grpE,17351,31697,17152,14649,13153,20912,41816,32244,32965,9581,22247,9812,1053,931,379,50361,17849,35834,20789,58473,508,655,413
dnaJ,6072,9609,6368,5932,5434,9988,19820,15031,16278,5501,10790,5327,459,369,203,14760,7471,14541,8509,20543,232,304,195
sirA,1033,1061,1155,957,971,2120,2571,2308,2529,688,1571,735,40,49,20,1406,1270,1654,1044,2160,16,24,23
rsgA,1076,1325,1225,919,1074,2520,3526,2868,2850,718,2565,1276,115,115,87,1779,1270,1730,958,2459,67,87,61
PMM0020,2982,3542,2399,1791,2598,3368,10749,11254,11888,3047,5502,2039,88,61,32,5231,6252,15024,12525,15532,76,137,30
murB,398,422,410,244,369,848,1219,717,921,266,816,459,84,48,20,746,672,729,386,1031,24,28,20
murC,944,1178,1074,666,920,2020,4567,2498,2620,886,2147,1143,130,116,35,1712,1273,2302,1410,3072,52,57,33
gap2,92122,84531,99503,77349,56674,122003,18280,17620,20811,5798,11469,4742,1081,663,437,136992,135768,28210,19449,34036,239,341,233
thiL,2324,2722,2173,2066,2121,3201,3476,2370,2604,801,2462,1282,158,137,64,2870,2819,2467,1507,3099,38,74,45
PMM0025,19011,21044,13059,11220,11197,14540,7731,5690,6525,1603,3103,1485,241,174,70,16345,16107,8462,5723,10239,76,98,62
efp,4310,4462,5145,3219,3172,6750,7114,5730,6182,1998,3073,1568,155,99,52,7845,7544,6566,3716,7498,77,84,48
accB,6086,6815,7355,5133,4275,9436,8798,8471,7645,1818,3819,1577,158,131,82,10314,9210,9259,5518,10425,61,110,46
pdxA,853,1072,1041,852,866,1663,2100,1695,1963,471,1468,730,58,47,47,1388,1584,1409,1023,1852,33,42,27
PMM0029,1349,1405,1763,897,1023,2815,3847,2648,3152,791,1883,1056,95,60,45,3473,3618,3188,1672,4036,30,60,24
PMM0031,769,1308,1267,706,898,1970,5887,3655,4304,1187,2171,949,52,53,51,2204,1350,3311,2105,4118,44,68,40
PMM0032,406,636,375,364,436,463,2824,1096,1402,940,660,394,21,11,3,511,333,1067,877,1323,16,26,7
PMM0033,1351,2654,985,1271,1347,1066,3428,2955,2534,696,1461,544,38,22,28,1330,757,2578,1596,3133,30,33,29
PMM0034,20704,22552,10809,12570,12837,13381,9461,8974,8609,1501,3848,1195,73,60,74,16379,16492,13358,13593,12479,74,80,65
cbiD,925,1030,1071,579,789,1925,2578,2220,2300,494,1245,601,51,29,42,2359,2258,2418,1417,2890,33,67,22
guaA,1171,1544,1648,1005,1115,2376,9367,6811,7280,1827,3173,1355,51,51,54,3480,3048,9097,5328,11081,53,125,56
PMM0038,278,353,351,145,265,562,2157,1664,1506,265,953,386,28,25,25,609,392,1215,503,1810,11,23,12
PMM0039,364,413,529,334,318,942,3545,2937,3068,1043,1479,608,25,10,10,1075,1163,3686,2284,3949,24,43,26
PMM0041,6458,5949,4909,3657,3008,6157,2771,2258,2306,509,1135,467,47,60,40,6739,5332,2176,1106,3469,9,30,12
dfa3,5273,6087,4170,4101,4357,6491,3724,2788,2461,785,2028,1010,146,156,67,4754,3644,2277,1276,2916,59,52,33
dfa1,16940,24847,8893,12925,15144,13151,4883,3429,3224,729,2413,1158,145,170,98,7382,6754,3828,2679,4977,57,90,56
alaS,9249,8848,10786,6921,5446,14567,12766,9064,8540,2411,7414,3784,414,286,153,16269,12719,10393,6516,14604,104,227,138
speA,907,1214,784,673,939,1605,4266,3426,3009,735,3194,1410,122,75,65,1546,1045,2218,1448,2996,26,85,39
ndk,5767,5623,6940,4942,3973,9591,3127,2006,2972,1160,1961,1006,115,84,36,10962,11004,3384,2642,3629,38,50,31
thiO,1024,1110,997,912,727,1505,2153,1560,1389,459,1673,884,87,77,23,1547,1006,1525,955,1963,22,22,20
