GENE.NAME,KEGG,PathwayID,Pathway_info,Details
gldA,K00001,9111,Xenobiotics biodegradation and metabolism,00980 Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980]
gldA,K00001,9103,Lipid metabolism,00071 Fatty acid degradation [PATH:ko00071]
gldA,K00001,9105,Amino acid metabolism,00350 Tyrosine metabolism [PATH:ko00350]
gldA,K00001,9108,Metabolism of cofactors and vitamins,00830 Retinol metabolism [PATH:ko00830]
gldA,K00001,9111,Xenobiotics biodegradation and metabolism,00982 Drug metabolism - cytochrome P450 [PATH:ko00982]
gldA,K00001,9111,Xenobiotics biodegradation and metabolism,00626 Naphthalene degradation [PATH:ko00626]
gldA,K00001,9111,Xenobiotics biodegradation and metabolism,00625 Chloroalkane and chloroalkene degradation [PATH:ko00625]
gldA,K00001,9101,Carbohydrate metabolism,00010 Glycolysis / Gluconeogenesis [PATH:ko00010]
thrA,K00003,9105,Amino acid metabolism,00300 Lysine biosynthesis [PATH:ko00300]
thrA,K00003,9105,Amino acid metabolism,00270 Cysteine and methionine metabolism [PATH:ko00270]
thrA,K00003,9105,Amino acid metabolism,"00260 Glycine, serine and threonine metabolism [PATH:ko00260]"
gldA,K00005,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640]
gldA,K00005,9103,Lipid metabolism,00561 Glycerolipid metabolism [PATH:ko00561]
ugd,K00012,9101,Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
ugd,K00012,9101,Carbohydrate metabolism,00040 Pentose and glucuronate interconversions [PATH:ko00040]
ugd,K00012,9101,Carbohydrate metabolism,00053 Ascorbate and aldarate metabolism [PATH:ko00053]
hisD,K00013,9105,Amino acid metabolism,00340 Histidine metabolism [PATH:ko00340]
aroE,K00014,9105,Amino acid metabolism,"00400 Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]"
icd,K00031,9141,Transport and catabolism,04146 Peroxisome [PATH:ko04146]
icd,K00031,9106,Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ko00480]
icd,K00031,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720]
icd,K00031,9101,Carbohydrate metabolism,00020 Citrate cycle (TCA cycle) [PATH:ko00020]
gnd,K00033,9101,Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ko00030]
gnd,K00033,9106,Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ko00480]
zwf,K00036,9106,Metabolism of other amino acids,00480 Glutathione metabolism [PATH:ko00480]
zwf,K00036,9101,Carbohydrate metabolism,00030 Pentose phosphate pathway [PATH:ko00030]
zwf,K00036,9161,Cancers,05230 Central carbon metabolism in cancer [PATH:ko05230]
zwf,K00036,9141,Transport and catabolism,04147 Exosome [BR:ko04147]
leuB,K00052,9105,Amino acid metabolism,"00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]"
leuB,K00052,9101,Carbohydrate metabolism,00660 C5-Branched dibasic acid metabolism [PATH:ko00660]
ilvC,K00053,9108,Metabolism of cofactors and vitamins,00770 Pantothenate and CoA biosynthesis [PATH:ko00770]
ilvC,K00053,9105,Amino acid metabolism,"00290 Valine, leucine and isoleucine biosynthesis [PATH:ko00290]"
serA,K00058,9141,Transport and catabolism,04147 Exosome [BR:ko04147]
der,K00058,9141,Transport and catabolism,04147 Exosome [BR:ko04147]
serA,K00058,9102,Energy metabolism,00680 Methane metabolism [PATH:ko00680]
der,K00058,9102,Energy metabolism,00680 Methane metabolism [PATH:ko00680]
serA,K00058,9105,Amino acid metabolism,"00260 Glycine, serine and threonine metabolism [PATH:ko00260]"
der,K00058,9105,Amino acid metabolism,"00260 Glycine, serine and threonine metabolism [PATH:ko00260]"
fabG,K00059,9103,Lipid metabolism,01004 Lipid biosynthesis proteins [BR:ko01004]
fabG,K00059,9110,Biosynthesis of other secondary metabolites,00333 Prodigiosin biosyntheses [PATH:ko00333]
fabG,K00059,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061]
fabG,K00059,9108,Metabolism of cofactors and vitamins,00780 Biotin metabolism [PATH:ko00780]
fabG,K00059,9103,Lipid metabolism,01040 Biosynthesis of unsaturated fatty acids [PATH:ko01040]
rmlD,K00067,9110,Biosynthesis of other secondary metabolites,00521 Streptomycin biosynthesis [PATH:ko00521]
rmlD,K00067,9109,Metabolism of terpenoids and polyketides,00523 Polyketide sugar unit biosynthesis [PATH:ko00523]
murB,K00075,9101,Carbohydrate metabolism,00520 Amino sugar and nucleotide sugar metabolism [PATH:ko00520]
murB,K00075,9107,Glycan biosynthesis and metabolism,01011 Peptidoglycan biosynthesis and degradation proteins [BR:ko01011]
murB,K00075,9107,Glycan biosynthesis and metabolism,00550 Peptidoglycan biosynthesis [PATH:ko00550]
ribG,K00082,9108,Metabolism of cofactors and vitamins,00740 Riboflavin metabolism [PATH:ko00740]
guaB,K00088,9141,Transport and catabolism,04147 Exosome [BR:ko04147]
