SID,Condition,Time point,Treatment
CTRL0_A,Control 0,0,Untreated
CTRL0_B,Control 0,0,Untreated
CTRL0_C,Control 0,0,Untreated
TRT0_A,Viral 0,0,Treatment
TRT0_B,Viral 0,0,Treatment
TRT0_C,Viral 0,0,Treatment
CTRL12_A,Control 12,12,Untreated
CTRL12_B,Control 12,12,Untreated
CTRL12_C,Control 12,12,Untreated
TRT12_A,Viral 12,12,Treatment
TRT12_B,Viral 12,12,Treatment
TRT12_C,Viral 12,12,Treatment
TRT24_A,Viral 24,24,Treatment
TRT24_B,Viral 24,24,Treatment
TRT24_C,Viral 24,24,Treatment
CTRL24_A,Control 24,24,Untreated
CTRL24_B,Control 24,24,Untreated
CTRL36_A,Control 36,36,Untreated
CTRL36_B,Control 36,36,Untreated
CTRL36_C,Control 36,36,Untreated
TRT36_A,Viral 36,36,Treatment
TRT36_B,Viral 36,36,Treatment
TRT36_C,Viral 36,36,Treatment
