																															Class	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA
																															File type	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	Sample	NA	NA
																															Injection order	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	NA	NA
																															Batch ID	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Average	Stdev
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified for quantification	Manually modified for annotation	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	200929_Blk_DOM_blk_T0	200929_Blk_DOM_blk_T48	200929_Blk_Filter_blk_1	200929_Blk_Filter_blk_2	200929_Blk_Media_blk	200929_Poo_TruePooMortality_DDAneg20	200929_Poo_TruePooMortality_DDAneg35	200929_Poo_TruePooMortality_DDAneg50	200929_Poo_TruePooMortality_Full1	200929_Poo_TruePooMortality_Full2	200929_Poo_TruePooMortality_Full3	200929_Poo_TruePooMortality_Full4	200929_Poo_TruePooMortality_Full5	200929_Poo_TruePooMortality_Full6	200929_Poo_TruePooMortality_Half1	200929_Poo_TruePooMortality_Half2	200929_Poo_TruePooMortality_Half3	200929_Poo_TruePooMortality_Half4	200929_Poo_TruePooMortality_Half5	200929_Poo_TruePooMortality_Half6	200929_Smp_A_1C_T0	200929_Smp_A_1C_T12	200929_Smp_A_1C_T18	200929_Smp_A_1C_T24	200929_Smp_A_1C_T30	200929_Smp_A_1C_T36	200929_Smp_A_1C_T42	200929_Smp_A_1C_T48	200929_Smp_A_1C_T6	200929_Smp_A_3LV_T0	200929_Smp_A_3LV_T12	200929_Smp_A_3LV_T24	200929_Smp_A_3LV_T36	200929_Smp_A_3LV_T48	200929_Smp_A_4LGV_T0	200929_Smp_A_4LGV_T12	200929_Smp_A_4LGV_T24	200929_Smp_A_4LGV_T36	200929_Smp_A_4LGV_T48	200929_Smp_A_6HV_T0	200929_Smp_A_6HV_T12	200929_Smp_A_6HV_T24	200929_Smp_A_6HV_T36	200929_Smp_A_6HV_T48	200929_Smp_A_8G_T0	200929_Smp_A_8G_T48	200929_Smp_A_9V_T0	200929_Smp_B_1C_T0	200929_Smp_B_1C_T12	200929_Smp_B_1C_T18	200929_Smp_B_1C_T24	200929_Smp_B_1C_T30	200929_Smp_B_1C_T36	200929_Smp_B_1C_T42	200929_Smp_B_1C_T48	200929_Smp_B_1C_T6	200929_Smp_B_3LV_T0	200929_Smp_B_3LV_T12	200929_Smp_B_3LV_T24	200929_Smp_B_3LV_T36	200929_Smp_B_3LV_T48	200929_Smp_B_4LGV_T0	200929_Smp_B_4LGV_T12	200929_Smp_B_4LGV_T24	200929_Smp_B_4LGV_T36	200929_Smp_B_4LGV_T48	200929_Smp_B_6HV_T0	200929_Smp_B_6HV_T12	200929_Smp_B_6HV_T24	200929_Smp_B_6HV_T36	200929_Smp_B_6HV_T48	200929_Smp_C_1C_T0	200929_Smp_C_1C_T12	200929_Smp_C_1C_T18	200929_Smp_C_1C_T24	200929_Smp_C_1C_T30	200929_Smp_C_1C_T36	200929_Smp_C_1C_T42	200929_Smp_C_1C_T48	200929_Smp_C_1C_T6	200929_Smp_C_3LV_T0	200929_Smp_C_3LV_T12	200929_Smp_C_3LV_T24	200929_Smp_C_3LV_T36	200929_Smp_C_3LV_T48	200929_Smp_C_4LGV_T0	200929_Smp_C_4LGV_T12	200929_Smp_C_4LGV_T24	200929_Smp_C_4LGV_T36	200929_Smp_C_4LGV_T48	200929_Smp_C_6HV_T0	200929_Smp_C_6HV_T12	200929_Smp_C_6HV_T24	200929_Smp_C_6HV_T36	200929_Smp_C_6HV_T48	200929_Smp_E_2LG_T0	200929_Smp_E_2LG_T24	200929_Smp_E_2LG_T36	200929_Smp_E_2LG_T48	200929_Smp_E_3LG_T0	200929_Smp_E_3LG_T24	200929_Smp_E_3LG_T36	200929_Smp_E_3LG_T48	200929_Smp_E_4LG_T0	200929_Smp_E_4LG_T24	200929_Smp_E_4LG_T36	200929_Smp_E_4LG_T48	200929_Smp_E_8G_T48	1	1
0	1.53	61.00018	Unknown	[M-H]-		0.009	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	5.03	200929_Smp_E_3LG_T48	61.00018:404317 62.00353:8093074 63.00689:5493066		2425433	1186327	3752008	963616	1337676	891632	774865	945009	5875648	2304704	4943280	4208872	998990	3875466	4296874	3143925	2484397	3438927	5868406	2538163	5589616	2507177	1121223	4701214	2684272	2629689	1420972	4170769	3344312	2120598	3656690	922368	9356618	2355880	2596651	3098398	1928566	12790961	4440161	5492545	1109470	3765905	2648981	3102422	3388546	2824947	3873276	2714766	3529008	5061392	3451642	4406182	4843040	4597088	7507362	1689227	4563976	1290799	2680791	3371435	3366490	851430	2599042	8670189	3666656	5956958	3299728	2208438	1235369	683756	736004	2391153	6148928	7424398	5661088	2152971	1067082	1929753	3136731	3085468	821872	2434360	3120311	2970570	3291289	5763754	4943084	3449879	5934382	7450852	2408900	1736494	3477917	3364510	2832154	1566363	3534794	4055855	5200207	5582892	2293295	3621751	9532676	1955675	1135105	4682158	3272041	1066018	3438647.61631944	2093025.9151861
1	9.699	61.00053	Unknown	[M-H]-		0.111	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	2.6	200929_Smp_C_4LGV_T36	61.00053:326883 62.00388:4419064 63.00724:3423837		5810832	2497294	3507346	3696276	397899	595017	641200	626434	3226943	3025042	2286175	3447648	6337308	4721849	2577520	3012877	2775140	2386234	2374079	1009811	1839470	3410616	4271563	4929128	812002	3762230	3203818	3647708	5893792	4682065	2471770	1039023	3788856	2815926	1643956	2245224	4562811	4050194	2643553	3193989	2747407	2130737	5210136	1832022	3222947	4109465	3080652	2046016	2330006	949984	4341799	3569330	4362383	3794647	3668651	883021	2909054	1136680	3771388	1928080	5451268	6418612	3741577	2518544	2942640	3194243	2288152	2232493	2428586	335495	1446622	3686063	2846152	1012546	1990906	3802042	6414196	4559134	2328228	3076438	4830518	3185720	3302152	3262726	1075975	910129	2171874	1225464	4611662	3206332	4327216	1228229	4066558	1291152	1181292	5179956	2889518	5200203	2301123	3346462	4156702	3893692	415975	2259190	181593	3017330	386965	169180	2906239.28833912	1490816.44396806
2	13.378	61.00063	Unknown	[M-H]-	similar chromatogram in higher mz_1739; similar chromatogram in higher mz_1853; similar chromatogram in higher mz_1854; similar chromatogram in higher mz_1929	0.491	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	6.72	200929_Smp_A_4LGV_T36	61.00063:869922 62.00398:9411469 63.00734:6417144		17481254	12396298	3151210	3832575	12097893	567259	584905	226076	9791128	21234836	8336372	6066102	27216960	12059573	17494856	5562538	14301619	16345352	11358632	2014770	18304996	11066338	10929035	25671202	11562755	20774580	17468304	8619733	18202492	18272546	12945715	18086362	13446376	11066912	19241822	12860640	19860658	28572480	7904998	16966330	9247185	16162194	13606610	11356775	9733812	12703438	11778092	8756325	22373704	16153545	2441490	21017274	7838129	16283841	20368306	12319722	1961949	12354888	11392595	20126958	23451180	8654038	8999744	9511263	14542594	9076521	1224375	20185322	19994170	6792498	6972825	18507524	9223066	13890550	11575257	20417388	19851188	23190886	16234466	21345642	9210903	16513048	15511777	14659656	25945322	19260642	13690803	12021434	14201259	16484179	12749692	9198193	14863874	22209372	18783414	10659412	10937718	20194102	10323058	21848850	8672995	19716642	19362608	9862623	20286768	10391387	24534714	7749958	13846353.8424479	6271547.49086552
3	11.967	61.00063	Unknown	[M-H]-		0.056	False	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.21	200929_Smp_A_6HV_T48	61.00063:626450 62.00398:9260697 63.00734:6427744		2853384	3456618	2982637	4084872	3119861	735145	969277	1136741	2510505	3305480	4565906	968632	7660798	6472218	6875722	6473891	4014112	4848279	5293798	5388626	4306976	4392612	2374892	4568229	1085307	10882126	3637163	4335938	2256993	1794300	2295231	6168316	7838838	4371370	3857563	2102392	3419766	3276791	2084054	3060134	2876597	1914824	821905	12188918	1408276	3769220	3772300	1928811	4468166	3055457	4378384	1793288	9005446	4124162	2575849	2352192	5609380	3037592	3452326	21262762	3505637	2443634	3161860	5091099	2693560	2973124	2877039	1892196	5978853	7814484	1637117	4727682	4115979	5688081	4183312	963790	9320967	4836341	6909657	3234374	4940344	4910872	9632704	5381238	5979589	3443994	3387490	3759550	3444360	4943707	3631987	5093366	3222231	3179140	7617561	1805622	1835913	1145750	807322	3151399	5390560	4314768	3284978	6270220	2812889	5545810	4367900	9759007	4228985.1869213	2776170.41890582
4	2.142	61.01638	Unknown	[M-H]-		0.046	True	null	null	null	null	null	null	999	False	False	False		False	False	null	null	null	null	null	null	null	4.55	200929_Poo_TruePooMortality_DDAneg35	61.01638:1028527 62.01973:0 63.02309:0	60.86891:238331 60.96683:1115486 60.99185:258178592 61.01564:258924 61.01764:877105 61.02766:134603	8562584	4716180	2741414	3371131	1572592	2260573	4009786	3671892	1620920	4265264	5690910	3889959	2115568	8436760	1321969	4886082	8740712	1528443	392552	6621404	2941425	1769476	8210809	1485092	3709576	676148	3940814	2938560	4462613	1228924	4751006	842720	6640413	5408808	2115400	871774	10244438	9845470	1572444	290714	1701138	3989684	877188	9882764	2624908	2814487	6282386	5394662	8127358	6469561	1655700	1069913	1001416	4136870	3965566	6790497	10327611	1053000	2570892	6978674	511178	4396190	4742602	4372308	171485	2851640	1769921	4772037	1563734	7063134	312655	1288066	1153559	2646028	1663027	693635	5134191	4653072	1240548	2042455	4099072	591612	964020	2780144	3552242	7014947	925398	2192053	1578684	4548412	2641918	3099252	406189	2667306	4223572	2033812	4177501	8930634	18297156	1560152	1291976	3329806	593343	3478481	7108466	3486834	6370853	1168282	3687325.75260417	2931868.10544169
