id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
13_200929_Poo_TruePooMortality_DDApos_13	C10H20N2O3	[M + H]+	Amino acids and Peptides	0.9999610185623169	Small peptides	0.9999939203262329	Dipeptides	0.9994218349456787	Dipeptides	0.9997912049293518	Peptides	0.9998905658721924	Amino acids, peptides, and analogues	0.9999995231628418	Carboxylic acids and derivatives	0.999992847442627	Organic acids and derivatives	0.9999998807907104	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Valine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
1_200929_Poo_TruePooMortality_DDApos_1	C10H15NO2S	[M + H]+	Alkaloids	0.998218834400177	Ornithine alkaloids	0.6959206461906433	Polyamines	0.6298168897628784	Benzenesulfonamides	0.9987647533416748			Benzenesulfonamides	0.9987647533416748	Benzene and substituted derivatives	0.9999067783355713	Benzenoids	0.9999992847442627	Organic compounds; Organosulfur compounds; Benzenesulfonamides; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Sulfonyls; Organosulfonamides; Benzene and substituted derivatives; Benzenoids; Aminosulfonyl compounds; Organic oxides; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
25_200929_Poo_TruePooMortality_DDApos_25	C10H22O6	[M + H]+	Fatty acids	0.9955183267593384	Glycerolipids	0.9708566069602966	Monoacylglycerols	0.9856969118118286	Polyethylene glycols	0.9994341731071472	Dialkyl ethers	0.9998993873596191	Ethers	0.9999613761901855	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
61_200929_Poo_TruePooMortality_DDApos_61	C12H17O5P	[M + H]+	Shikimates and Phenylpropanoids	0.28563952445983887	Monoterpenoids	0.27418771386146545	Simple phenolic acids	0.05904146656394005	Phenoxy compounds	0.5049116611480713			Phenoxy compounds	0.5049116611480713	Benzene and substituted derivatives	0.9543766379356384	Benzenoids	0.9834307432174683	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Organic acids and derivatives; Organooxygen compounds; Organophosphorus compounds; Organic phosphonic acids and derivatives; Phosphonic acid esters; Secondary alcohols; Benzene and substituted derivatives; Benzenoids; Phosphonic acid diesters; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Dialkyl alkylphosphonates; Organopnictogen compounds; Organic oxygen compounds; Phenoxy compounds; Chemical entities
37_200929_Poo_TruePooMortality_DDApos_37	C10H20O7	[M + H]+	Fatty acids	0.8929250836372375	Glycerolipids	0.7915716767311096	Monoacylglycerols	0.7223784923553467	Polyethylene glycols	0.9705932140350342	Dialkyl ethers	0.9997556805610657	Ethers	0.9998717308044434	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Ethers; Primary alcohols; Organooxygen compounds; Dialkyl ethers; Polyethylene glycols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
49_200929_Poo_TruePooMortality_DDApos_49	C10H19N3O4	[M + H]+	Amino acids and Peptides	0.9987555742263794	Small peptides	0.9996529817581177	Dipeptides	0.9993070363998413	Dipeptides	0.9991441965103149	Peptides	0.999727189540863	Amino acids, peptides, and analogues	0.9999978542327881	Carboxylic acids and derivatives	0.9999994039535522	Organic acids and derivatives	1.0	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Branched fatty acids; Amino acids and derivatives; Peptides; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Primary carboxylic acid amides; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; N-acyl-alpha amino acids; Amines; Primary amines; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Asparagine and derivatives; Leucine and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Dipeptides; Chemical entities
2_200929_Poo_TruePooMortality_DDApos_2	C6H10N2	[M + H]+	Alkaloids	0.9679129123687744	Peptide alkaloids	0.266797810792923	Pyrazine and Piperazine alkaloids	0.5345265865325928	N-substituted imidazoles	0.6019482016563416	Substituted imidazoles	0.30153506994247437	Imidazoles	0.39057058095932007	Azoles	0.4818013608455658	Organoheterocyclic compounds	0.996461808681488	Organic compounds; Organoheterocyclic compounds; Organonitrogen compounds; N-substituted imidazoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
26_200929_Poo_TruePooMortality_DDApos_26	C6H11NO	[M + H]+	Alkaloids	0.9418997168540955	Lysine alkaloids	0.9490816593170166	Piperidine alkaloids	0.5555789470672607	Lactams	0.9970837235450745					Lactams	0.9970837235450745	Organoheterocyclic compounds	0.9983845949172974	Organic compounds; Organoheterocyclic compounds; Lactams; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Secondary carboxylic acid amides; Carbonyl compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
73_200929_Poo_TruePooMortality_DDApos_73	C7H9N5O2	[M + H]+	Alkaloids	0.9988841414451599	Pseudoalkaloids	0.872852087020874	Purine alkaloids	0.9198161959648132	Hypoxanthines	0.5689883828163147	Purinones	0.9598367810249329	Purines and purine derivatives	0.9968135952949524	Imidazopyrimidines	0.9998273849487305	Organoheterocyclic compounds	0.9999921321868896	Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Alkyl aryl ethers; Purines and purine derivatives; Hypoxanthines; Ethers; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Purinones; Aminopyrimidines and derivatives; Diazines; Imidazopyrimidines; Amines; Primary amines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
50_200929_Poo_TruePooMortality_DDApos_50	C6H8N2O	[M + H]+	Alkaloids	0.9883495569229126	Peptide alkaloids	0.5786834359169006	Pyrazine and Piperazine alkaloids	0.36359935998916626	Aryl alkyl ketones	0.7193732261657715	Ketones	0.6806790232658386	Carbonyl compounds	0.6028240919113159	Organooxygen compounds	0.999713122844696	Organic oxygen compounds	0.9999827146530151	Organic compounds; Organoheterocyclic compounds; Imidazoles; Ketones; Organonitrogen compounds; Organooxygen compounds; Diazines; Carbonyl compounds; Substituted imidazoles; N-substituted imidazoles; Aryl alkyl ketones; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
