rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C13H23NO2	[M + H]+	C13H23NO2	157.92704287397805	154.3115034666937	3.6155394072843663	39	0.8414133754134627	4.3002946017425945	4.3002946017425945	-79629.99180162004		226.18001	122.382	8_200929_Poo_TruePooMortality_DDApos_8
2	C11H21N3O4	[M + H]+	C11H21N3O4	121.01350065502403	115.68629729755189	5.327203357472147	36	0.9728580535824581	0.6476386816555461	1.115042074756511	0.1923019318953467		260.16053	167.451	39_200929_Poo_TruePooMortality_DDApos_39
3	C10H19N3O4	[M + H]+	C10H19N3O4	105.95521856890598	103.06952261492825	2.8856959539777325	31	0.900088791928442	1.550747361934512	1.8470906897373416	0.759678826014202		246.14502	168.996	48_200929_Poo_TruePooMortality_DDApos_48
4	C10H23NO7	[M + H]+	C10H23NO7	97.9589919468633	92.2838616467659	5.6751303000974085	14	0.6427642481516302	3.1780692403984427	3.1780692403984427	0.09665046019339793		270.15475	167.266	36_200929_Poo_TruePooMortality_DDApos_36
5	C12H25NO11	[M + H]+	C12H25NO11	97.86004376676111	91.77053443049961	6.089509336261498	13	0.5728747163460486	2.8554436399659457	2.8554436399659457	0.07783443312962175		360.15007	714.697	168_200929_Poo_TruePooMortality_DDApos_168
6	C8H12N4O2	[M + H]+	C8H12N4O2	93.69914796881	90.86100418614011	2.8381437826698876	15	0.979761172914861	0.9074809907406708	0.9216337372541415	-3.7613476293191044E-4		197.10330	1290.448	203_200929_Poo_TruePooMortality_DDApos_203
7	C10H17N5O6S	[M + H]+	C10H17N5O6S	91.58413506581982	91.58413506581982	0.0	14	0.7964513065563048	3.679293458000708	3.679293458000708	-4.22730520603134		336.09581	650.905	151_200929_Poo_TruePooMortality_DDApos_151
8	C6H12N2O3	[M + H]+	C6H12N2O3	91.5269601827636	88.70941171506888	2.8175484676947202	11	0.9714137125922647	3.298717527461626	3.298717527461626	-0.07710918050244465		161.09206	598.218	124_200929_Poo_TruePooMortality_DDApos_124
9	C10H20O7	[M + H]+	C10H20O7	90.99640509733125	87.15639248278092	3.8400126145503295	28	0.7152958500590908	1.1590572847376657	1.2044355756974994	0.01804840709873587		253.12818	167.266	37_200929_Poo_TruePooMortality_DDApos_37
10	C9H11NO3	[M + H]+	C9H11NO3	86.66972845852598	83.39911840104112	3.2706100574848653	11	0.8203913096679559	1.829599612392052	1.829599612392052	0.49987056050425466		182.08126	568.852	115_200929_Poo_TruePooMortality_DDApos_115
11	C6H12N2O3	[M + H]+	C6H12N2O3	86.61736509026822	83.89473690865594	2.7226281816122837	16	0.9151971182796618	4.028341767364748	4.028341767364748	0.11233265420164495		161.09209	597.271	123_200929_Poo_TruePooMortality_DDApos_123
12	C10H19N3O4	[M + H]+	C10H19N3O4	85.74656170216203	82.63432747093758	3.1122342312244466	22	0.9030026184653899	1.0307371592845729	1.0927692407076954	0.5737057723545799		246.14497	170.762	49_200929_Poo_TruePooMortality_DDApos_49
13	C12H23N3O5	[M + H]+	C12H23N3O5	85.20327241533477	81.75461018120457	3.448662234130194	29	0.8312201979187129	2.3848116761076037	2.493398056234581	-0.1448768702175011		290.17101	167.455	34_200929_Poo_TruePooMortality_DDApos_34
