rank	molecularFormula	adduct	precursorFormula	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C13H22O2	[M + H3N + H]+	C13H25NO2	201.75396538124068	201.75396538124068	0.0	48	0.9386282803872628	3.9390703683322648	3.9390703683322648	1.416996536934014		228.19613	513.156	254_201006_Poo_TruePooMortality_DDApos_254
1	C13H22O2	[M + H3N + H]+	C13H25NO2	191.75937704436114	191.75937704436114	0.0	46	0.9636553885822075	4.554681830798121	4.554681830798121	1.3166961787605802		228.19611	512.222	252_201006_Poo_TruePooMortality_DDApos_252
2	C18H32O3	[M + H]+	C18H32O3	178.62199547910132	175.0197069697646	3.602288509336721	35	0.8267644932639424	4.364612728335302	4.364612728335302	-121181.89295443198		297.24307	530.673	257_201006_Poo_TruePooMortality_DDApos_257
3	C18H36O5	[M + H]+	C18H36O5	175.8453309207273	169.79051701590103	6.054813904826272	27	0.6545532360275348	5.383897896645931	5.383897896645931	1.920307538369596		333.26419	530.468	256_201006_Poo_TruePooMortality_DDApos_256
4	C12H21NO	[M + H]+	C12H21NO	156.6250837368274	151.46028726886433	5.16479646796307	33	0.5297572783177656	6.087913221531407	6.087913221531407	1.726871722183791		196.16993	457.561	237_201006_Poo_TruePooMortality_DDApos_237
5	C13H23NO2	[M + H]+	C13H23NO2	155.05855174417374	151.58664410346518	3.4719076407085776	50	0.9119297668047246	5.682438670812359	5.682438670812359	-79628.21948345996		226.18038	483.05	249_201006_Poo_TruePooMortality_DDApos_249
6	C12H23NO	[M + H]+	C12H23NO	142.94654171713458	137.70874894575266	5.237792771381908	32	0.6136023088550252	6.486844981964056	6.486844981964056	1.0310628457709046		198.18545	465.794	240_201006_Poo_TruePooMortality_DDApos_240
7	C10H19N3O4	[M + H]+	C10H19N3O4	135.18571626125228	132.16449623013077	3.0212200311215254	37	0.9095760419418244	3.1118576178541204	3.1118576178541204	1.7102066867020187		246.14525	64.268	85_201006_Poo_TruePooMortality_DDApos_85
8	C15H27N5O6	[M + H]+	C15H27N5O6	117.39819880291611	114.29615138596225	3.102047416953871	46	0.9075705976555845	2.4069881619290117	2.4069881619290117	2.038283234879177		374.20417	71.895	117_201006_Poo_TruePooMortality_DDApos_117
9	C14H22O4	[M + H]+	C14H22O4	117.32939476365382	113.76496029341064	3.564434470243178	34	0.805772112570738	2.3369848866948173	2.3369848866948173	1.7041536646233704		255.15952	480.182	247_201006_Poo_TruePooMortality_DDApos_247
10	C9H17N3O4	[M + H]+	C9H17N3O4	117.30496168893937	114.36959375166302	2.9353679372763577	35	0.8641625744028075	2.6592681767181956	2.6592681767181956	1.3298360122827686		232.12949	47.611	35_201006_Poo_TruePooMortality_DDApos_35
11	C22H40O	[M + H3N + H]+	C22H43NO	114.83786150603517	108.91129114386969	5.926570362165477	38	0.8013427918782764	3.6865792839095195	3.6865792839095195	1.1559904344783711		338.34213	788.628	275_201006_Poo_TruePooMortality_DDApos_275
12	C14H26N4O6	[M + H]+	C14H26N4O6	113.64382437279266	110.83300384451236	2.8108205282802987	42	0.8988677300189869	2.4719564181053917	2.4719564181053917	1.9747232937334558		347.19320	71.721	116_201006_Poo_TruePooMortality_DDApos_116
13	C15H28N4O6	[M + H]+	C15H28N4O6	111.66490424338019	108.58538849418409	3.079515749196103	39	0.8915538311173568	2.1454437318241406	2.1454437318241406	1.631574013422323		361.20875	83.132	145_201006_Poo_TruePooMortality_DDApos_145
14	C19H34N6O8	[M + H]+	C19H34N6O8	111.28953348364934	108.02439780606369	3.265135677585652	41	0.8800836873309503	2.2578052635302313	2.2578052635302313	2.846710593353211		475.25244	80.862	133_201006_Poo_TruePooMortality_DDApos_133
15	C15H27N5O4	[M + H]+	C15H27N5O4	109.389019821395	104.47313561456653	4.915884206828465	26	0.6963884865193939	0.28674987712329003	3.811291419497965	-2.1059660599083134		342.21286	106.221	165_201006_Poo_TruePooMortality_DDApos_165
16	C10H19N3O4	[M + H]+	C10H19N3O4	101.40191895669669	96.23162675316746	5.170292203529227	30	0.8726619418793519	2.6781765852222406	2.6781765852222406	1.7928611978059061		246.14527	56.139	59_201006_Poo_TruePooMortality_DDApos_59
17	C10H20N2O	[M + H]+	C10H20N2O	98.14258280091333	95.00186949347919	3.1407133074341407	16	0.6993320487438911	6.713815826712812	6.713815826712812	1.433703334603922		185.16511	61.319	80_201006_Poo_TruePooMortality_DDApos_80
18	C13H25NO3	[M + H]+	C13H25NO3	97.70294282646572	92.16981025641039	5.533132570055327	29	0.8446662510194427	5.7317093315320715	5.7317093315320715	1.580927321012736		244.19111	483.05	248_201006_Poo_TruePooMortality_DDApos_248
19	C11H9NO2	[M + H3N + H]+	C11H12N2O2	95.62961410446141	95.62961410446141	0.0	14	0.5091330611153037	2.0825402059924234	2.0825402059924234	1.4316956592905454		205.09745	121.078	174_201006_Poo_TruePooMortality_DDApos_174
20	C20H39NO	[M + H]+	C20H39NO	94.29661419152227	90.68603230092769	3.6105818905945783	38	0.852407170642924	4.100926829020587	4.100926829020587	1.8481171470423599		310.31101	755.931	274_201006_Poo_TruePooMortality_DDApos_274
21	C13H24N4O5	[M + H]+	C13H24N4O5	93.64270272562686	93.64270272562686	0.0	32	0.850730345138638	2.2379235853081965	2.2379235853081965	1.8264394419656687		317.18253	69.45	111_201006_Poo_TruePooMortality_DDApos_111
22	C13H17N3O4	[M + H]+	C13H17N3O4	93.29327342149782	90.3201303455155	2.9731430759823145	27	0.877790973578118	1.9553387582302502	1.9553387582302502	2.009809086613505		280.12975	94.967	153_201006_Poo_TruePooMortality_DDApos_153
23	C22H43NO	[M + H]+	C22H43NO	90.74031137337374	82.95701233374176	7.783299039631988	27	0.9491441688189319	6.7693063954844215	6.7693063954844215	1.9677653694448491		338.34241	1025.587	294_201006_Poo_TruePooMortality_DDApos_294
24	C12H23N3O4	[M + H]+	C12H23N3O4	90.57388510363577	87.52788710144634	3.0459980021894406	27	0.8369096191086827	2.970065112589905	2.970065112589905	1.6864458933675681		274.17660	87.972	149_201006_Poo_TruePooMortality_DDApos_149
25	C9H8O3	[M + H]+	C9H8O3	89.88454058891112	86.67544818932693	3.209092399584196	11	0.9740495910969846	3.634364274884576	3.634364274884576	1.3607965455672084		165.05485	60.185	73_201006_Poo_TruePooMortality_DDApos_73
26	C14H30O8	[M + H3N + H]+	C14H33NO8	89.42583387960141	89.42583387960141	0.0	13	0.6115595256410618	2.248382553225206	2.248382553225206	1.659636949729785		344.22846	138.124	183_201006_Poo_TruePooMortality_DDApos_183
27	C6H7N5O	[M + H]+	C6H7N5O	89.00425837747046	87.11893110858749	1.8853272688829703	27	0.6943541504990436	4.611944367023191	4.611944367023191	1.32018141676508		166.07256	57.917	67_201006_Poo_TruePooMortality_DDApos_67
28	C20H32N6O12S2	[M + H]+	C20H32N6O12S2	87.70266218566015	81.78984709707088	5.912815088589272	46	0.9391164014348515	1.8823824007467291	1.8823824007467291	1.9274231450868722		613.16042	54.452	50_201006_Poo_TruePooMortality_DDApos_50
29	C17H31N5O7	[M + H]+	C17H31N5O7	86.31701631120026	86.31701631120026	0.0	30	0.7122949689392819	2.5292546685585027	2.5292546685585027	1.5436511829507147		418.23027	83.263	142_201006_Poo_TruePooMortality_DDApos_142
30	C11H21N3O4	[M + H]+	C11H21N3O4	86.20814123754779	81.00482846045882	5.203312777088963	24	0.9815590317170522	2.087920075968573	2.087920075968573	1.6781358397446116		260.16092	67.345	101_201006_Poo_TruePooMortality_DDApos_101
31	C7H10N3O	[M + H]+	C7H10N3O	85.92809602133504	83.57643885137787	2.351657169957169	34	0.9589507100945569	7.1592993703043515	7.1592993703043515	1.1781180583459863		153.08984	1078.125	307_201006_Poo_TruePooMortality_DDApos_307
