Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
HILIC-Pos_Standards,200929_Blk_DOM_blk_T0,(3-Carboxypropyl)trimethylammonium,9.99,47016,0,6921,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Blk_DOM_blk_T48,(3-Carboxypropyl)trimethylammonium,9.99,28951,0,7454,-2,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Blk_Filter_blk_1,(3-Carboxypropyl)trimethylammonium,9.85,64656,0,7415,-4.3,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Blk_Filter_blk_2,(3-Carboxypropyl)trimethylammonium,9.83,66392,9,7640,-4.6,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Blk_Media_blk,(3-Carboxypropyl)trimethylammonium,9.93,42619,0,8130,-3.6,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Poo_TruePooMortality_Full1,(3-Carboxypropyl)trimethylammonium,10.54,1327680,0,101210,-4.4,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Poo_TruePooMortality_Full2,(3-Carboxypropyl)trimethylammonium,10.55,1124447,0,90511,-4.9,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Poo_TruePooMortality_Full3,(3-Carboxypropyl)trimethylammonium,10.56,1133950,0,101045,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Poo_TruePooMortality_Full4,(3-Carboxypropyl)trimethylammonium,10.58,1142387,0,88212,-2.6,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Poo_TruePooMortality_Full5,(3-Carboxypropyl)trimethylammonium,10.6,1143682,0,100665,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Poo_TruePooMortality_Full6,(3-Carboxypropyl)trimethylammonium,10.53,1085199,0,98926,-2.5,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Poo_TruePooMortality_Half1,(3-Carboxypropyl)trimethylammonium,10.54,899323,0,58384,-4.4,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Poo_TruePooMortality_Half2,(3-Carboxypropyl)trimethylammonium,10.56,649384,0,48488,-4.8,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Poo_TruePooMortality_Half3,(3-Carboxypropyl)trimethylammonium,10.55,716848,0,46516,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Poo_TruePooMortality_Half4,(3-Carboxypropyl)trimethylammonium,10.53,611248,0,51742,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Poo_TruePooMortality_Half5,(3-Carboxypropyl)trimethylammonium,10.55,727403,0,56112,-2.9,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Poo_TruePooMortality_Half6,(3-Carboxypropyl)trimethylammonium,10.55,610203,0,47105,-3.3,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_1C_T0,(3-Carboxypropyl)trimethylammonium,10.01,34894,0,6408,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_1C_T12,(3-Carboxypropyl)trimethylammonium,9.85,66090,0,8356,-4.4,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_1C_T18,(3-Carboxypropyl)trimethylammonium,9.82,48314,0,7551,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_1C_T24,(3-Carboxypropyl)trimethylammonium,9.75,161393,0,11890,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_1C_T30,(3-Carboxypropyl)trimethylammonium,9.93,79702,0,9592,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_1C_T36,(3-Carboxypropyl)trimethylammonium,9.75,161222,0,14907,-5.6,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_1C_T42,(3-Carboxypropyl)trimethylammonium,9.85,94983,0,10327,-4.2,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_1C_T48,(3-Carboxypropyl)trimethylammonium,9.62,189832,0,14511,-2.4,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_1C_T6,(3-Carboxypropyl)trimethylammonium,9.8,107092,0,8662,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_3LV_T0,(3-Carboxypropyl)trimethylammonium,9.78,70424,0,8076,-2.3,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_3LV_T12,(3-Carboxypropyl)trimethylammonium,9.93,18647,0,9389,-3.8,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_3LV_T24,(3-Carboxypropyl)trimethylammonium,9.67,148928,0,11642,-3.7,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_3LV_T36,(3-Carboxypropyl)trimethylammonium,9.66,561104,0,28642,-3.5,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_3LV_T48,(3-Carboxypropyl)trimethylammonium,9.8,99272,0,14638,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_4LGV_T0,(3-Carboxypropyl)trimethylammonium,9.8,75318,0,8674,-3.1,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_4LGV_T12,(3-Carboxypropyl)trimethylammonium,9.86,63518,0,11240,-4.6,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_4LGV_T24,(3-Carboxypropyl)trimethylammonium,10.61,586987,0,52799,-3.2,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_4LGV_T36,(3-Carboxypropyl)trimethylammonium,10.59,1396987,0,133339,-3,HILIC-Pos_Standards
HILIC-Pos_Standards,200929_Smp_A_4LGV_T48,(3-Carboxypropyl)trimethylammonium,10.57,1162518,0,136119,-4.9,HILIC-Pos_Standards
