Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
RP_Standards,201006_Poo_TruePooMortality_Full1,"2,4-Decadienal",9.93,58671,0,9895,-3.2,RP_Standards
RP_Standards,201006_Poo_TruePooMortality_Full2,"2,4-Decadienal",9.87,32241,3028,13385,-3.1,RP_Standards
RP_Standards,201006_Poo_TruePooMortality_Full3,"2,4-Decadienal",10.05,54398,0,8828,-3.3,RP_Standards
RP_Standards,201006_Poo_TruePooMortality_Full4,"2,4-Decadienal",9.87,27837,0,10152,-1.8,RP_Standards
RP_Standards,201006_Poo_TruePooMortality_Half1,"2,4-Decadienal",9.82,47873,0,13237,-2,RP_Standards
RP_Standards,201006_Poo_TruePooMortality_Half2,"2,4-Decadienal",9.85,22606,25071,9278,-2.3,RP_Standards
RP_Standards,201006_Poo_TruePooMortality_Half3,"2,4-Decadienal",9.9,37498,0,9989,-3.1,RP_Standards
RP_Standards,201006_Poo_TruePooMortality_Half4,"2,4-Decadienal",9.9,52229,0,13570,-1.6,RP_Standards
RP_Standards,201006_Smp_A_1C_T0,"2,4-Decadienal",9.9,30707,0,11498,-1.4,RP_Standards
RP_Standards,201006_Smp_A_1C_T12,"2,4-Decadienal",9.77,51182,0,9273,-2.6,RP_Standards
RP_Standards,201006_Smp_A_1C_T18,"2,4-Decadienal",9.86,42380,11371,11116,-2.5,RP_Standards
RP_Standards,201006_Smp_A_1C_T24,"2,4-Decadienal",9.79,10567,26512,5599,-2.1,RP_Standards
RP_Standards,201006_Smp_A_1C_T30,"2,4-Decadienal",9.89,41256,762,14435,-3.2,RP_Standards
RP_Standards,201006_Smp_A_1C_T36,"2,4-Decadienal",9.89,54978,13609,17006,-3.8,RP_Standards
RP_Standards,201006_Smp_A_1C_T42,"2,4-Decadienal",9.89,42932,0,13321,-3.5,RP_Standards
RP_Standards,201006_Smp_A_1C_T48,"2,4-Decadienal",9.9,19034,24983,8838,-3,RP_Standards
RP_Standards,201006_Smp_A_1C_T6,"2,4-Decadienal",9.95,59538,0,11019,-3,RP_Standards
RP_Standards,201006_Smp_A_3LV_T0,"2,4-Decadienal",9.88,40135,0,12932,-1.3,RP_Standards
