Protein Name,Replicate Name,Precursor Ion Name,Retention Time,Area,Background,Height,Mass Error PPM,Protein
B12,230511_Blk_DOM_blk_T0,Me-B12,7.27,13,0,25,#N/A,B12
B12,230511_Blk_DOM_blk_T48,Me-B12,7.29,15,5,12,#N/A,B12
B12,230511_Blk_Filter_blk_1,Me-B12,7.3,2,8,2,#N/A,B12
B12,230511_Blk_Filter_blk_2,Me-B12,7.3,6,5,10,#N/A,B12
B12,230511_Blk_Media_blk,Me-B12,7.3,4,1,8,#N/A,B12
B12,230511_Poo_TruePooMortality_Full1,Me-B12,7.29,1362,2,658,#N/A,B12
B12,230511_Poo_TruePooMortality_Full2,Me-B12,7.28,10,0,18,#N/A,B12
B12,230511_Poo_TruePooMortality_Full3,Me-B12,7.28,4,5,12,#N/A,B12
B12,230511_Poo_TruePooMortality_Full4,Me-B12,7.29,0,13,2,#N/A,B12
B12,230511_Smp_A_1C_T0,Me-B12,7.33,45,9,22,#N/A,B12
B12,230511_Smp_A_1C_T12,Me-B12,7.26,32,0,15,#N/A,B12
B12,230511_Smp_A_1C_T18,Me-B12,7.28,21,0,15,#N/A,B12
B12,230511_Smp_A_1C_T24,Me-B12,7.3,22,1,14,#N/A,B12
B12,230511_Smp_A_1C_T30,Me-B12,7.31,17,12,16,#N/A,B12
B12,230511_Smp_A_1C_T36,Me-B12,7.26,53,46,58,#N/A,B12
B12,230511_Smp_A_1C_T42,Me-B12,7.28,18,1,19,#N/A,B12
B12,230511_Smp_A_1C_T48,Me-B12,7.31,7,1,14,#N/A,B12
B12,230511_Smp_A_1C_T6,Me-B12,7.31,6,0,7,#N/A,B12
B12,230511_Smp_A_3LV_T0,Me-B12,7.31,19,4,17,#N/A,B12
B12,230511_Smp_A_3LV_T12,Me-B12,7.3,10,6,10,#N/A,B12
B12,230511_Smp_A_3LV_T24,Me-B12,7.3,346,14,449,#N/A,B12
B12,230511_Smp_A_3LV_T36,Me-B12,7.3,6,0,8,#N/A,B12
B12,230511_Smp_A_3LV_T48,Me-B12,7.29,11,2,16,#N/A,B12
B12,230511_Smp_A_4LGV_T0,Me-B12,7.28,22,0,17,#N/A,B12
B12,230511_Smp_A_4LGV_T12,Me-B12,7.32,20,0,15,#N/A,B12
B12,230511_Smp_A_4LGV_T24,Me-B12,7.31,4,12,8,#N/A,B12
B12,230511_Smp_A_4LGV_T36,Me-B12,7.33,46,0,23,#N/A,B12
B12,230511_Smp_A_4LGV_T48,Me-B12,7.26,11,0,12,#N/A,B12
B12,230511_Smp_A_6HV_T0,Me-B12,7.29,30,1,117,#N/A,B12
B12,230511_Smp_A_6HV_T12,Me-B12,7.26,18,22,13,#N/A,B12
B12,230511_Smp_A_6HV_T24,Me-B12,7.29,25,0,22,#N/A,B12
B12,230511_Smp_A_6HV_T36,Me-B12,7.31,16,0,13,#N/A,B12
B12,230511_Smp_A_6HV_T48,Me-B12,7.3,4,12,7,#N/A,B12
B12,230511_Smp_A_8G_T0,Me-B12,7.29,0,15,0,#N/A,B12
B12,230511_Smp_A_8G_T48,Me-B12,7.29,338,21,295,#N/A,B12
B12,230511_Smp_A_9V_T0,Me-B12,7.34,24,0,13,#N/A,B12
B12,230511_Smp_B_1C_T0,Me-B12,7.3,35,4,25,#N/A,B12
B12,230511_Smp_B_1C_T12,Me-B12,7.29,55,0,29,#N/A,B12
B12,230511_Smp_B_1C_T18,Me-B12,7.31,46,0,28,#N/A,B12
B12,230511_Smp_B_1C_T24,Me-B12,7.31,21,5,17,#N/A,B12
B12,230511_Smp_B_1C_T30,Me-B12,7.28,56,1,45,#N/A,B12
B12,230511_Smp_B_1C_T36,Me-B12,7.3,14,26,10,#N/A,B12
B12,230511_Smp_B_1C_T42,Me-B12,7.32,13,3,14,#N/A,B12
B12,230511_Smp_B_1C_T48,Me-B12,7.28,21,0,19,#N/A,B12
B12,230511_Smp_B_1C_T6,Me-B12,7.32,2,12,3,#N/A,B12
B12,230511_Smp_B_3LV_T0,Me-B12,7.33,27,6,25,#N/A,B12
B12,230511_Smp_B_3LV_T12,Me-B12,7.28,2,15,3,#N/A,B12
B12,230511_Smp_B_3LV_T24,Me-B12,7.27,15,12,15,#N/A,B12
B12,230511_Smp_B_3LV_T36,Me-B12,7.31,141,32,199,#N/A,B12
B12,230511_Smp_B_3LV_T48,Me-B12,7.27,16,11,8,#N/A,B12
B12,230511_Smp_B_4LGV_T0,Me-B12,7.32,4,13,6,#N/A,B12
B12,230511_Smp_B_4LGV_T12,Me-B12,7.28,35,0,22,#N/A,B12
B12,230511_Smp_B_4LGV_T24,Me-B12,7.3,8,0,7,#N/A,B12
B12,230511_Smp_B_4LGV_T36,Me-B12,7.28,160,23,317,#N/A,B12
B12,230511_Smp_B_4LGV_T48,Me-B12,7.29,72,1,69,#N/A,B12
B12,230511_Smp_B_6HV_T0,Me-B12,7.33,41,3,22,#N/A,B12
B12,230511_Smp_B_6HV_T12,Me-B12,7.35,11,21,9,#N/A,B12
B12,230511_Smp_B_6HV_T24,Me-B12,7.32,20,1,21,#N/A,B12
B12,230511_Smp_B_6HV_T36,Me-B12,7.32,39,2,39,#N/A,B12
B12,230511_Smp_B_6HV_T48,Me-B12,7.36,20,8,14,#N/A,B12
B12,230511_Smp_C_1C_T0,Me-B12,7.27,86,20,160,#N/A,B12
B12,230511_Smp_C_1C_T12,Me-B12,7.3,76,0,72,#N/A,B12
B12,230511_Smp_C_1C_T18,Me-B12,7.3,29,0,22,#N/A,B12
B12,230511_Smp_C_1C_T24,Me-B12,7.28,125,41,168,#N/A,B12
B12,230511_Smp_C_1C_T30,Me-B12,7.31,8,11,10,#N/A,B12
B12,230511_Smp_C_1C_T36,Me-B12,7.29,33,1,23,#N/A,B12
B12,230511_Smp_C_1C_T42,Me-B12,7.31,17,0,17,#N/A,B12
B12,230511_Smp_C_1C_T48,Me-B12,7.31,33,0,18,#N/A,B12
B12,230511_Smp_C_1C_T6,Me-B12,7.28,6,0,14,#N/A,B12
B12,230511_Smp_C_3LV_T0,Me-B12,7.3,25,0,21,#N/A,B12
B12,230511_Smp_C_3LV_T12,Me-B12,7.27,128,0,181,#N/A,B12
B12,230511_Smp_C_3LV_T24,Me-B12,7.31,57,0,30,#N/A,B12
B12,230511_Smp_C_3LV_T36,Me-B12,7.32,1,4,4,#N/A,B12
B12,230511_Smp_C_3LV_T48,Me-B12,7.25,10,5,11,#N/A,B12
