SampID,time,biorep,treatment,tot_metab_C_nM,total.C,Pro.C.perc,tot.C.nM,tot_metab_C_nM/tot.C.nM
A_1C_T0,0,A,C,1887.9578890881553,356825164.2359251,0.9593918277685621,29708.197838308643,0.06355006450958929
A_1C_T12,12,A,C,5102.642978466144,639261250.5489631,0.966310038664074,53222.98314453111,0.09587292325590853
A_1C_T18,18,A,C,4208.978759163844,665654381.4384164,0.9664899542158987,55420.39642314682,0.07594638491986548
A_1C_T24,24,A,C,3357.631729225772,803233593.9841725,0.9691226031807463,66874.830903686,0.05020770421179048
A_1C_T30,30,A,C,4097.22485671324,1037976230.6570482,0.9727339913967084,86418.80198626661,0.04741126655938088
A_1C_T36,36,A,C,7138.580411673717,1031901978.218637,0.9646499007622196,85913.07786351154,0.08309073064539305
A_1C_T42,42,A,C,6903.126707398916,1009907234.1626321,0.9554675456295285,84081.86114084025,0.08210007026171698
A_1C_T48,48,A,C,6023.542870049603,948942709.8482195,0.947319025915193,79006.1368618949,0.07624145552868807
A_1C_T6,6,A,C,2308.8335700319644,653388212.8791178,0.9725203769114213,54399.15185072999,0.04244245528620281
A_3LV_T0,0,A,LV,1578.9472989927526,404277802.4971954,0.9674857509646689,33658.96282550957,0.04691015903187887
A_3LV_T12,12,A,LV,2148.2674241362165,599677121.878948,0.9613032442756819,49927.326773703106,0.04302788799154607
A_3LV_T24,24,A,LV,3506.6897654873305,695582668.662869,0.956514616451728,57912.13626366407,0.06055189795662123
A_3LV_T36,36,A,LV,7429.256383028448,901315668.0438958,0.9478159420696023,75040.85155639796,0.09900282617988271
A_3LV_T48,48,A,LV,3806.8668047452043,450891532.7418525,0.7315529994856386,37539.882835888144,0.10140859579630435
A_6HV_T0,0,A,HV,1584.244301125048,363050741.3633627,0.9679725443894001,30226.520802877592,0.05241239345595562
A_6HV_T12,12,A,HV,2425.2820733615076,545294433.3866733,0.954272536676996,45399.58649460273,0.053420796545136685
A_6HV_T24,24,A,HV,2172.429009162711,404746896.78061974,0.8832319881638722,33698.01821502121,0.06446755994078993
A_6HV_T36,36,A,HV,2254.015848360189,NA,NA,NA,NA
A_6HV_T48,48,A,HV,2008.9041697177374,NA,NA,NA,NA
A_9V_T0,NA,NA,NA,23.387592719613426,NA,NA,NA,NA
B_1C_T0,0,B,C,1707.6183094426137,458034794.91631204,0.9620558177557376,38134.609517634846,0.04477870184177311
B_1C_T12,12,B,C,2893.613031194739,678125404.7598965,0.9608932061462111,56458.69659144922,0.0512518567712203
