SampID,MF,Area
200929_Poo_TruePooMortality_Full1,"Adenine, 15N2",781318592
200929_Poo_TruePooMortality_Full2,"Adenine, 15N2",784023360
200929_Poo_TruePooMortality_Full3,"Adenine, 15N2",743174336
200929_Poo_TruePooMortality_Full4,"Adenine, 15N2",675075968
200929_Poo_TruePooMortality_Full5,"Adenine, 15N2",1005626048
200929_Poo_TruePooMortality_Full6,"Adenine, 15N2",800325696
200929_Poo_TruePooMortality_Half1,"Adenine, 15N2",423864992
200929_Poo_TruePooMortality_Half2,"Adenine, 15N2",407941152
200929_Poo_TruePooMortality_Half3,"Adenine, 15N2",401469504
200929_Poo_TruePooMortality_Half4,"Adenine, 15N2",381149664
200929_Poo_TruePooMortality_Half5,"Adenine, 15N2",525468896
200929_Poo_TruePooMortality_Half6,"Adenine, 15N2",405367072
200929_Smp_A_1C_T0,"Adenine, 15N2",810557440
200929_Smp_A_1C_T12,"Adenine, 15N2",805506816
200929_Smp_A_1C_T18,"Adenine, 15N2",851419200
200929_Smp_A_1C_T24,"Adenine, 15N2",866445248
200929_Smp_A_1C_T30,"Adenine, 15N2",758577216
200929_Smp_A_1C_T36,"Adenine, 15N2",699328640
200929_Smp_A_1C_T42,"Adenine, 15N2",799305472
200929_Smp_A_1C_T48,"Adenine, 15N2",780870912
200929_Smp_A_1C_T6,"Adenine, 15N2",645242496
200929_Smp_A_3LV_T0,"Adenine, 15N2",684181184
200929_Smp_A_3LV_T12,"Adenine, 15N2",897744512
200929_Smp_A_3LV_T24,"Adenine, 15N2",795787392
200929_Smp_A_3LV_T36,"Adenine, 15N2",746703040
200929_Smp_A_3LV_T48,"Adenine, 15N2",808081216
200929_Smp_A_4LGV_T0,"Adenine, 15N2",779607168
200929_Smp_A_4LGV_T12,"Adenine, 15N2",893492224
200929_Smp_A_4LGV_T24,"Adenine, 15N2",689873344
200929_Smp_A_4LGV_T36,"Adenine, 15N2",774229440
200929_Smp_A_4LGV_T48,"Adenine, 15N2",836740288
200929_Smp_A_6HV_T0,"Adenine, 15N2",946669248
200929_Smp_A_6HV_T12,"Adenine, 15N2",792345728
200929_Smp_A_6HV_T24,"Adenine, 15N2",604726016
200929_Smp_A_6HV_T36,"Adenine, 15N2",833356672
200929_Smp_A_6HV_T48,"Adenine, 15N2",810490688
200929_Smp_A_8G_T0,"Adenine, 15N2",826682368
200929_Smp_A_8G_T48,"Adenine, 15N2",866887936
200929_Smp_A_9V_T0,"Adenine, 15N2",820310528
200929_Poo_TruePooMortality_Full1,"Arsenobetaine, 13C2",1465389568
200929_Poo_TruePooMortality_Full2,"Arsenobetaine, 13C2",1306208256
200929_Poo_TruePooMortality_Full3,"Arsenobetaine, 13C2",1300427520
