MF,Name,SampID,Vol.filt.mL,umol.in.vial.ave,nM.in.smp,nM_C,nM_N
HNeg_1982,Uridine,A_1C_T0,50,0.11543421006193651,0.9234736804954919,8.311263124459428,1.8469473609909839
HNeg_2117,D-Fructose 6-phosphate,A_1C_T0,50,0.01877135720133578,0.15017085761068621,0.9010251456641173,NA
HNeg_2173,Inosine,A_1C_T0,50,0.013738168177180198,0.10990534541744157,1.0990534541744157,0.4396213816697663
HNeg_2635,Sucrose,A_1C_T0,50,4.297967284940648,34.383738279525176,412.6048593543021,NA
HNeg_3117,UDP-N-acetylglucosamine,A_1C_T0,50,0.07180704666444718,0.5744563733155773,9.765758346364814,1.723369119946732
HNeg_sky1,2-Ketoglutaric acid,A_1C_T0,50,0.24750478806008366,1.9800383044806693,9.900191522403347,NA
HNeg_sky11,D-Gluconic acid,A_1C_T0,50,0.004210664115434604,0.033685312923476825,0.20211187754086096,NA
HNeg_sky19,L-Cysteic acid,A_1C_T0,50,0.019555499002422618,0.1564439920193809,0.4693319760581427,0.1564439920193809
HNeg_sky22,N-Acetyl-L-glutamic acid,A_1C_T0,50,0.06738697734792942,0.5390958187834354,3.7736707314840476,0.5390958187834354
HNeg_sky32,Taurine,A_1C_T0,50,0.007733084207797518,0.06186467366238014,0.12372934732476028,0.06186467366238014
HNeg_sky36,Thymine,A_1C_T0,50,0.12730232926579815,1.0184186341263852,5.092093170631927,2.0368372682527704
HNeg_sky6,Adenosine monophosphate,A_1C_T0,50,0.057973262700291725,0.4637861016023338,4.637861016023338,2.318930508011669
HPos_1157,Ectoine,A_1C_T0,50,1.0146479555751462,8.11718364460117,48.70310186760702,16.23436728920234
HPos_1241,L-Glutamine,A_1C_T0,50,1.2513830090944176,10.01106407275534,50.0553203637767,20.02212814551068
HPos_1496,5-Hydroxyectoine,A_1C_T0,50,0.0010364594169813856,0.008291675335851083,0.0497500520151065,0.016583350671702166
HPos_1848,Arsenobetaine,A_1C_T0,50,5.594129055395631e-4,0.004475303244316504,0.02237651622158252,NA
HPos_1926,L-Tyrosine,A_1C_T0,50,0.09503537699001027,0.7602830159200822,6.84254714328074,0.7602830159200822
HPos_257,Sarcosine,A_1C_T0,50,0.2614277024588192,2.091421619670553,6.274264859011659,2.091421619670553
HPos_261,L-Alanine,A_1C_T0,50,1.1960053641572361,9.568042913257889,28.704128739773665,9.568042913257889
HPos_3067,Cytidine,A_1C_T0,50,0.026456496439159823,0.21165197151327855,1.904867743619507,0.6349559145398357
HPos_3196,Deoxyadenosine,A_1C_T0,50,0.006519516965549666,0.05215613572439732,0.5215613572439732,0.2607806786219866
HPos_3236,2-O-alpha-D-Glucosylglycerol,A_1C_T0,50,0.35945715003194856,2.8756572002555885,25.880914802300296,NA
HPos_3429,Adenosine,A_1C_T0,50,0.36309522246556364,2.9047617797245087,29.04761779724509,14.523808898622544
