MF,Name,SampID
HNeg_1982,Uridine,A_1C_T0
HNeg_2117,D-Fructose 6-phosphate,A_1C_T0
HNeg_2173,Inosine,A_1C_T0
HNeg_2635,Sucrose,A_1C_T0
HNeg_3117,UDP-N-acetylglucosamine,A_1C_T0
HNeg_sky1,2-Ketoglutaric acid,A_1C_T0
HNeg_sky11,D-Gluconic acid,A_1C_T0
HNeg_sky19,L-Cysteic acid,A_1C_T0
HNeg_sky22,N-Acetyl-L-glutamic acid,A_1C_T0
HNeg_sky32,Taurine,A_1C_T0
HNeg_sky36,Thymine,A_1C_T0
HNeg_sky6,Adenosine monophosphate,A_1C_T0
HPos_1157,Ectoine,A_1C_T0
HPos_1241,L-Glutamine,A_1C_T0
HPos_1496,5-Hydroxyectoine,A_1C_T0
HPos_1848,Arsenobetaine,A_1C_T0
HPos_1926,L-Tyrosine,A_1C_T0
HPos_257,Sarcosine,A_1C_T0
HPos_261,L-Alanine,A_1C_T0
HPos_3067,Cytidine,A_1C_T0
HPos_3196,Deoxyadenosine,A_1C_T0
HPos_3236,2-O-alpha-D-Glucosylglycerol,A_1C_T0
HPos_3429,Adenosine,A_1C_T0
HPos_3670,Guanosine,A_1C_T0
HPos_5986,Glutathione disulfide,A_1C_T0
HPos_639,L-Proline,A_1C_T0
HPos_705,L-Threonine,A_1C_T0
HPos_962,L-Aspartic acid,A_1C_T0
HPos_978,Dimethylsulfoniopropionate,A_1C_T0
HPos_989,Adenine,A_1C_T0
HPos_sky16,Creatine,A_1C_T0
HPos_sky35,Glycine betaine,A_1C_T0
HPos_sky38,Guanine,A_1C_T0
HPos_sky45,Hypotaurine,A_1C_T0
HPos_sky51,L-Glutamic acid,A_1C_T0
HPos_sky54,L-Homoserine,A_1C_T0
HPos_sky59,L-Methionine,A_1C_T0
HPos_sky60,L-Methionine S-oxide,A_1C_T0
HPos_sky64,L-Serine,A_1C_T0
HPos_sky71,N6-Acetyl-L-lysine,A_1C_T0
HPos_sky72,Ophthalmic acid,A_1C_T0
HPos_sky73,Pipecolic acid,A_1C_T0
HPos_sky74,Proline betaine,A_1C_T0
RP_14640,Methylthioadenosine,A_1C_T0
RP_3959,L-Phenylalanine,A_1C_T0
RP_6828,L-Tryptophan,A_1C_T0
RP_7155,L-Kynurenine,A_1C_T0
RP_7669,Desthiobiotin,A_1C_T0
RP_sky1,Agmatine,A_1C_T0
RP_sky16,Pantothenic acid,A_1C_T0
RP_sky17,Pyridoxal,A_1C_T0
RP_sky21,Pyridoxine,A_1C_T0
RP_sky23,S-Adenosylhomocysteine,A_1C_T0
RP_sky24,S-Adenosylmethionine,A_1C_T0
HNeg_1982,Uridine,A_1C_T12
HNeg_2117,D-Fructose 6-phosphate,A_1C_T12
HNeg_2173,Inosine,A_1C_T12
HNeg_2634,Trehalose,A_1C_T12
HNeg_2635,Sucrose,A_1C_T12
HNeg_3117,UDP-N-acetylglucosamine,A_1C_T12
HNeg_609,"Taurine, 2H4",A_1C_T12
HNeg_sky1,2-Ketoglutaric acid,A_1C_T12
HNeg_sky11,D-Gluconic acid,A_1C_T12
HNeg_sky19,L-Cysteic acid,A_1C_T12
HNeg_sky22,N-Acetyl-L-glutamic acid,A_1C_T12
HNeg_sky32,Taurine,A_1C_T12
HNeg_sky34,Threonic acid,A_1C_T12
HNeg_sky6,Adenosine monophosphate,A_1C_T12
HPos_108,Glycine,A_1C_T12
HPos_1157,Ectoine,A_1C_T12
HPos_1230,(3-Carboxypropyl)trimethylammonium,A_1C_T12
HPos_1241,L-Glutamine,A_1C_T12
HPos_1419,L-Histidine,A_1C_T12
HPos_1496,5-Hydroxyectoine,A_1C_T12
HPos_1848,Arsenobetaine,A_1C_T12
HPos_1926,L-Tyrosine,A_1C_T12
HPos_257,Sarcosine,A_1C_T12
HPos_261,L-Alanine,A_1C_T12
HPos_3067,Cytidine,A_1C_T12
HPos_3196,Deoxyadenosine,A_1C_T12
HPos_3236,2-O-alpha-D-Glucosylglycerol,A_1C_T12
HPos_3429,Adenosine,A_1C_T12
HPos_3670,Guanosine,A_1C_T12
HPos_556,Cytosine,A_1C_T12
HPos_5986,Glutathione disulfide,A_1C_T12
HPos_639,L-Proline,A_1C_T12
HPos_705,L-Threonine,A_1C_T12
HPos_954,L-Asparagine,A_1C_T12
HPos_962,L-Aspartic acid,A_1C_T12
HPos_978,Dimethylsulfoniopropionate,A_1C_T12
HPos_989,Adenine,A_1C_T12
HPos_sky16,Creatine,A_1C_T12
HPos_sky35,Glycine betaine,A_1C_T12
HPos_sky38,Guanine,A_1C_T12
HPos_sky45,Hypotaurine,A_1C_T12
HPos_sky51,L-Glutamic acid,A_1C_T12
HPos_sky54,L-Homoserine,A_1C_T12
HPos_sky59,L-Methionine,A_1C_T12
HPos_sky60,L-Methionine S-oxide,A_1C_T12
HPos_sky64,L-Serine,A_1C_T12
HPos_sky71,N6-Acetyl-L-lysine,A_1C_T12
HPos_sky72,Ophthalmic acid,A_1C_T12
HPos_sky73,Pipecolic acid,A_1C_T12
HPos_sky74,Proline betaine,A_1C_T12
RP_14640,Methylthioadenosine,A_1C_T12
RP_20713,Riboflavin,A_1C_T12
RP_3959,L-Phenylalanine,A_1C_T12
RP_6828,L-Tryptophan,A_1C_T12
RP_7155,L-Kynurenine,A_1C_T12
RP_7669,Desthiobiotin,A_1C_T12
RP_sky1,Agmatine,A_1C_T12
RP_sky16,Pantothenic acid,A_1C_T12
RP_sky17,Pyridoxal,A_1C_T12
RP_sky21,Pyridoxine,A_1C_T12
RP_sky23,S-Adenosylhomocysteine,A_1C_T12
RP_sky24,S-Adenosylmethionine,A_1C_T12
HNeg_1982,Uridine,A_1C_T18
HNeg_2117,D-Fructose 6-phosphate,A_1C_T18
HNeg_2173,Inosine,A_1C_T18
HNeg_2634,Trehalose,A_1C_T18
HNeg_2635,Sucrose,A_1C_T18
HNeg_3117,UDP-N-acetylglucosamine,A_1C_T18
HNeg_609,"Taurine, 2H4",A_1C_T18
HNeg_sky1,2-Ketoglutaric acid,A_1C_T18
HNeg_sky11,D-Gluconic acid,A_1C_T18
HNeg_sky19,L-Cysteic acid,A_1C_T18
HNeg_sky22,N-Acetyl-L-glutamic acid,A_1C_T18
HNeg_sky32,Taurine,A_1C_T18
HNeg_sky6,Adenosine monophosphate,A_1C_T18
HPos_1157,Ectoine,A_1C_T18
HPos_1241,L-Glutamine,A_1C_T18
HPos_1496,5-Hydroxyectoine,A_1C_T18
HPos_1848,Arsenobetaine,A_1C_T18
HPos_1926,L-Tyrosine,A_1C_T18
HPos_257,Sarcosine,A_1C_T18
HPos_261,L-Alanine,A_1C_T18
HPos_3067,Cytidine,A_1C_T18
HPos_3196,Deoxyadenosine,A_1C_T18
HPos_3236,2-O-alpha-D-Glucosylglycerol,A_1C_T18
HPos_3429,Adenosine,A_1C_T18
HPos_3670,Guanosine,A_1C_T18
HPos_5986,Glutathione disulfide,A_1C_T18
HPos_639,L-Proline,A_1C_T18
HPos_705,L-Threonine,A_1C_T18
HPos_954,L-Asparagine,A_1C_T18
HPos_962,L-Aspartic acid,A_1C_T18
HPos_978,Dimethylsulfoniopropionate,A_1C_T18
HPos_989,Adenine,A_1C_T18
HPos_sky16,Creatine,A_1C_T18
HPos_sky35,Glycine betaine,A_1C_T18
HPos_sky38,Guanine,A_1C_T18
HPos_sky45,Hypotaurine,A_1C_T18
HPos_sky51,L-Glutamic acid,A_1C_T18
HPos_sky54,L-Homoserine,A_1C_T18
HPos_sky55,L-Isoleucine,A_1C_T18
HPos_sky59,L-Methionine,A_1C_T18
HPos_sky60,L-Methionine S-oxide,A_1C_T18
HPos_sky64,L-Serine,A_1C_T18
HPos_sky71,N6-Acetyl-L-lysine,A_1C_T18
HPos_sky72,Ophthalmic acid,A_1C_T18
HPos_sky73,Pipecolic acid,A_1C_T18
HPos_sky74,Proline betaine,A_1C_T18
RP_14640,Methylthioadenosine,A_1C_T18
RP_20713,Riboflavin,A_1C_T18
RP_3959,L-Phenylalanine,A_1C_T18
