Name	Pos-m/z	RT	Adduct
(3-Carboxypropyl)trimethylammonium	146.11758649838166	10.553333333333333	[M+H]+
2,3-Pyridinedicarboxylic acid	168.0292429220795	12.753333333333334	[M+H]+
2-O-alpha-D-Glucosylglycerol	255.1074380142109	10.600833333333334	[M+H]+
4-Aminobutyric acid	104.0709770790382	11.916666666666666	[M+H]+
5-Hydroxyectoine	159.0764456972884	11.52	[M+H]+
Adenine	136.06182223867933	5.6033333333333335	[M+H]+
Adenine, 15N2	138.05579600325	5.6125	[M+H]+
Adenosine	268.104097411756	5.496666666666666	[M+H]+
Arsenobetaine	179.0046964979369	8.035833333333333	[M+H]+
Arsenobetaine, 13C2	181.01135173029334	8.035833333333333	[M+H]+
Betonicine	160.09687536644557	9.263333333333334	[M+H]+
Carnitine	162.11251915152476	10.4825	[M+H]+
Choline	104.10735594424392	16.20916666666667	[M+H]+
Choline sulfate	184.06389856576754	7.190833333333334	[M+H]+
Citrulline	176.10303271532825	12.174166666666666	[M+H]+
Creatine	132.07684853459648	11.465	[M+H]+
Creatinine	114.06646989372419	5.864166666666667	[M+H]+
Cytidine	244.09287101797335	8.7175	[M+H]+
Cytosine	112.0508358188133	7.5441666666666665	[M+H]+
Cytosine, 13C2, 15N3	117.04856055819	7.605833333333333	[M+H]+
DL-Alanine, 2H3	93.07426459338501	11.099166666666667	[M+H]+
DL-Histidine, 15N	157.07384057739833	10.951666666666666	[M+H]+
DL-Proline, 2H7	123.11469082747502	9.6625	[M+H]+
DL-Valine, 2H8	126.1366093183	9.2475	[M+H]+
Deoxyadenosine	252.1091712852394	4.489166666666667	[M+H]+
Dimethylglycine	104.07097447725936	9.175	[M+H]+
Dimethylsulfonioacetate	121.03198810948439	9.053333333333333	[M+H]+
Dimethylsulfoniopropionate	135.0475032066807	10.375	[M+H]+
Ectoine	143.0813435514872	10.151666666666667	[M+H]+
Ergothioneine	230.09592324890238	11.355	[M+H]+
Ethanolamine	62.060752426217704	15.261666666666667	[M+H]+
Glutathione disulfide	613.1594659814438	13.649166666666666	[M+H]+
Glycerophosphocholine	258.11022181558	11.666666666666666	[M+H]+
Glycine	76.0399224358686	11.766666666666666	[M+H]+
Glycine betaine	118.08643793090761	8.1025	[M+H]+
Glycine betaine, 13C5, 15N	124.10016461372834	8.1025	[M+H]+
Gonyol	179.0737597296567	11.445	[M+H]+
Guanine	152.0566926625285	8.8625	[M+H]+
Guanine, 13C, 15N2	155.05407461271	8.860833333333334	[M+H]+
Guanosine	284.0989741509258	9.5225	[M+H]+
Homarine	138.05581017349417	5.945833333333333	[M+H]+
Homarine, 2H3	141.07366986812667	6.42	[M+H]+
Hydroxyisoleucine	148.09679265440562	9.074166666666667	[M+H]+
Hydroxyproline	132.0656507907815	11.028333333333332	[M+H]+
Hypotaurine	110.02735136036566	11.094166666666666	[M+H]+
Hypoxanthine	137.04584720140159	6.431666666666667	[M+H]+
L-Alanine	90.05545747132294	11.0725	[M+H]+
L-Arginine	175.11899461277628	20.541666666666668	[M+H]+
L-Asparagine	133.0608589384529	10.911666666666667	[M+H]+
L-Aspartic acid	134.04486372428656	11.395833333333334	[M+H]+
L-Glutamic acid	148.06033870087805	11.083333333333334	[M+H]+
L-Glutamine	147.07639194854198	11.104166666666666	[M+H]+
L-Histidine	156.07683116680565	10.934166666666666	[M+H]+
L-Homoserine	120.0657208083999	11.171666666666667	[M+H]+
L-Isoleucine	132.1019773303118	7.654166666666667	[M+H]+
L-Isoleucine, 15N	133.09906859193998	8.109166666666667	[M+H]+
L-Leucine	132.10198173372694	7.7683333333333335	[M+H]+
L-Lysine	147.11280255087084	19.766666666666666	[M+H]+
L-Methionine	150.0583395395183	8	[M+H]+
L-Methionine S-oxide	166.05337724930408	9.6225	[M+H]+
L-Methionine, 2H3	153.0771242372075	8.005	[M+H]+
L-Ornithine	133.09718946469593	17.535	[M+H]+
L-Proline	116.07076612889372	9.630833333333333	[M+H]+
L-Serine	106.05024578431563	11.434166666666666	[M+H]+
L-Threonine	120.06571880729875	10.325	[M+H]+
L-Tyrosine	182.08126834774546	9.403333333333332	[M+H]+
L-Valine	118.086449739588	9.216666666666667	[M+H]+
Melamine	127.07280071732079	7.618333333333333	[M+H]+
Muramic acid	252.10782688424473	11.179166666666667	[M+H]+
N6,N6,N6-Trimethyl-L-lysine	189.15982379389908	17.826666666666668	[M+H]+
N6-Acetyl-L-lysine	189.12342470178055	9.363333333333333	[M+H]+
Ophthalmic acid	290.13468733882496	10.2925	[M+H]+
Pipecolic acid	130.0863644892646	9.409166666666668	[M+H]+
Proline betaine	144.1019280260429	7.541666666666666	[M+H]+
Sarcosine	90.05542069865879	10.605833333333333	[M+H]+
Taurocyamine	168.0437856123924	11.784166666666668	[M+H]+
Trigonelline	138.05495422937557	8.6525	[M+H]+
Trimethylamine N-oxide	76.07630493274047	7.715833333333333	[M+H]+
Turicine	160.09686869572187	8.5	[M+H]+
Urea	61.04037620724633	6.164166666666667	[M+H]+
beta-Alanine	90.0554544694728	11.879166666666666	[M+H]+
beta-Alaninebetaine	132.10202677475667	10.185833333333333	[M+H]+
beta-Glutamic acid	148.0603843530148	11.629999999999999	[M+H]+
