Name	Pos-m/z	RT	Adduct
Agmatine	131.12932186725095	0.72	[M+H]+
Decarboxylated S-Adenosylmethionine	355.15912938927465	0.87625	[M+H]+
Desthiobiotin	215.139325967986	4.425	[M+H]+
Homoserine lactone	102.05542745837201	0.7837500000000001	[M+H]+
Indole-3-acetic acid, 2H5	181.10208188979001	5.02125	[M+H]+
Indolelactate	206.08205130677186	4.52125	[M+H]+
L-Kynurenine	209.09233049765024	1.27	[M+H]+
L-Phenylalanine	166.08639501124514	1.1549999999999998	[M+H]+
L-Phenylalanine, 2H8	174.1366610762625	1.1412499999999999	[M+H]+
L-Tryptophan	205.09741329949452	2.0175	[M+H]+
L-Tryptophan, 2H3	208.11626909433124	2.01125	[M+H]+
Methylthioadenosine	298.09726776104526	2.28375	[M+H]+
N-Hexanoyl-L-homoserine lactone	200.128296260354	4.452500000000001	[M+H]+
N-Tetradecanoyl-DL-homoserine lactone	312.253728485759	10.43125	[M+H]+
Nicotinic acid	124.03963537975733	0.91625	[M+H]+
Pantothenic acid	220.11827788150197	1.1624999999999999	[M+H]+
Pyridoxal	168.0657265653844	0.9087500000000001	[M+H]+
Pyridoxal phosphate	248.03215706800302	0.7875	[M+H]+
Pyridoxal, 2H3	171.0845010240525	0.9075	[M+H]+
Pyridoxamine	169.09748951414997	0.8150000000000001	[M+H]+
Pyridoxine	170.0813426941967	0.9175	[M+H]+
Riboflavin	377.1462147151805	4.4	[M+H]+
S-Adenosylhomocysteine	385.12958449411946	1.0125	[M+H]+
S-Adenosylmethionine	399.1452007114598	0.8025	[M+H]+
Thiamine, 13C3	269.125580139345	0.79	[M+H]+
Tryptamine, 2H4	165.13258875871875	2.435	[M+H]+
Vanillin	153.05478162250614	4.391249999999999	[M+H]+
Vitamin B2, 13C4, 15N2	383.1536699402362	4.39375	[M+H]+
Xanthine	153.04091048321652	1.1087500000000001	[M+H]+
