Compound,SampID,Area,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,Vol.filt.mL
OH-B12,A_1C_T0,146941,T0,0,A,C,1,16700000,729000,231000,498000,0,0,50
OH-B12,A_1C_T12,175954,T12,12,A,C,1,15400000,1130000,333000,798000,0,0,50
OH-B12,A_1C_T18,167557,T18,18,A,C,1,19700000,1210000,451000,763000,0,0,50
OH-B12,A_1C_T24,616289,T24,24,A,C,1,28300000,1330000,444000,889000,0,0,100
OH-B12,A_1C_T30,96403,T30,30,A,C,1,29200000,1540000,546000,994000,0,0,50
OH-B12,A_1C_T36,645437,T36,36,A,C,1,27700000,1960000,701000,1260000,0,0,300
OH-B12,A_1C_T42,381268,T42,42,A,C,1,34300000,2470000,968000,1500000,0,0,50
OH-B12,A_1C_T48,415343,T48,48,A,C,1,37100000,2830000,1100000,1730000,0,0,100
OH-B12,A_1C_T6,86283,T6,6,A,C,1,19100000,872000,192000,680000,0,0,50
OH-B12,A_3LV_T0,154213,T0,0,A,LV,3,17400000,667000,214000,453000,0,62800,50
OH-B12,A_3LV_T12,129354,T12,12,A,LV,3,15000000,1190000,315000,873000,0,105000,50
OH-B12,A_3LV_T24,613249,T24,24,A,LV,3,25100000,1650000,606000,1050000,0,1190000,100
OH-B12,A_3LV_T36,2316945,T36,36,A,LV,3,24200000,2270000,589000,1680000,0,31500000,300
OH-B12,A_3LV_T48,877632,T48,48,A,LV,3,13200000,5460000,526000,4930000,0,278000000,100
OH-B12,A_4LGV_T0,162698,T0,0,A,LGV,4,16800000,694000,269000,425000,571,7250000,50
OH-B12,A_4LGV_T12,404710,T12,12,A,LGV,4,12900000,842000,186000,657000,2310,98100000,50
OH-B12,A_4LGV_T24,918883,T24,24,A,LGV,4,6330000,1220000,181000,1030000,10100,249000000,100
OH-B12,A_4LGV_T36,2711880,T36,36,A,LGV,4,10100,49700,7850,41900,47000,193000000,300
OH-B12,A_4LGV_T48,2414792,T48,48,A,LGV,4,10300,175000,58400,117000,60900,204000000,300
OH-B12,A_6HV_T0,163852,T0,0,A,HV,6,16100000,691000,332000,359000,0,10400000,50
OH-B12,A_6HV_T12,202068,T12,12,A,HV,6,14500000,1230000,311000,924000,0,23300000,50
OH-B12,A_6HV_T24,982303,T24,24,A,HV,6,12900000,2130000,407000,1720000,0,184000000,100
OH-B12,A_6HV_T36,574511,T36,36,A,HV,6,1480000,5880000,1010000,4870000,0,204000000,300
OH-B12,A_6HV_T48,1790146,T48,48,A,HV,6,1860000,8660000,4840000,3810000,0,207000000,100
OH-B12,A_8G_T0,115269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OH-B12,A_8G_T48,7038600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OH-B12,A_9V_T0,3756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OH-B12,B_1C_T0,122083,T0,0,B,C,1,18200000,918000,347000,572000,0,0,50
OH-B12,B_1C_T12,279199,T12,12,B,C,1,15400000,1320000,310000,1010000,0,0,50
OH-B12,B_1C_T18,87236,T18,18,B,C,1,19100000,1950000,640000,1320000,0,0,50
OH-B12,B_1C_T24,601488,T24,24,B,C,1,27500000,2350000,878000,1470000,0,0,100
OH-B12,B_1C_T30,289317,T30,30,B,C,1,29500000,2510000,953000,1550000,0,0,50
OH-B12,B_1C_T36,2137560,T36,36,B,C,1,31000000,3480000,1010000,2460000,0,0,300
OH-B12,B_1C_T42,348813,T42,42,B,C,1,33100000,4110000,1360000,2750000,0,0,50
OH-B12,B_1C_T48,715270,T48,48,B,C,1,44700000,4720000,1860000,2860000,0,0,100
OH-B12,B_1C_T6,22620,T6,6,B,C,1,17500000,880000,220000,660000,0,0,50
OH-B12,B_3LV_T0,141307,T0,0,B,LV,3,18500000,587000,219000,368000,0,97700,50
OH-B12,B_3LV_T12,381305,T12,12,B,LV,3,14300000,1520000,258000,1270000,0,126000,50
OH-B12,B_3LV_T24,522921,T24,24,B,LV,3,26300000,2350000,854000,1490000,0,1760000,100
OH-B12,B_3LV_T36,1991392,T36,36,B,LV,3,24100000,4020000,609000,3410000,0,38100000,300
OH-B12,B_3LV_T48,574084,T48,48,B,LV,3,11300000,10600000,1650000,9000000,0,290000000,100
OH-B12,B_4LGV_T0,154222,T0,0,B,LGV,4,19200000,510000,215000,295000,364,7020000,50
OH-B12,B_4LGV_T12,187751,T12,12,B,LGV,4,12900000,1190000,189000,1000000,1160,84000000,50
OH-B12,B_4LGV_T24,86,T24,24,B,LGV,4,6940000,2100000,237000,1860000,3200,380000000,100
OH-B12,B_4LGV_T36,2074222,T36,36,B,LGV,4,509000,3940000,1050000,2890000,10900,340000000,300
OH-B12,B_4LGV_T48,2614508,T48,48,B,LGV,4,38400,152000,90400,61600,37000,403000000,300
OH-B12,B_6HV_T0,159624,T0,0,B,HV,6,16900000,732000,289000,443000,0,8360000,50
OH-B12,B_6HV_T12,315142,T12,12,B,HV,6,13800000,1200000,161000,1040000,0,25200000,50
OH-B12,B_6HV_T24,758814,T24,24,B,HV,6,11000000,2300000,325000,1980000,0,271000000,100
OH-B12,B_6HV_T36,153097,T36,36,B,HV,6,943000,7370000,1210000,6160000,0,270000000,270
OH-B12,B_6HV_T48,3001659,T48,48,B,HV,6,868000,11900000,5400000,6470000,0,286000000,100
OH-B12,C_1C_T0,116605,T0,0,C,C,1,16400000,1250000,556000,689000,0,0,50
OH-B12,C_1C_T12,236735,T12,12,C,C,1,16800000,1650000,749000,902000,0,0,50
OH-B12,C_1C_T18,223484,T18,18,C,C,1,20100000,1740000,867000,874000,0,0,50
OH-B12,C_1C_T24,490965,T24,24,C,C,1,26500000,2150000,947000,1210000,0,0,100
OH-B12,C_1C_T30,292524,T30,30,C,C,1,30700000,1980000,877000,1100000,0,0,50
OH-B12,C_1C_T36,294191,T36,36,C,C,1,26300000,2330000,1020000,1320000,0,0,100
OH-B12,C_1C_T42,92123,T42,42,C,C,1,35700000,2770000,1310000,1450000,0,0,50
OH-B12,C_1C_T48,647913,T48,48,C,C,1,44800000,3090000,1400000,1690000,0,0,100
OH-B12,C_1C_T6,136089,T6,6,C,C,1,18300000,1890000,821000,1070000,0,0,50
OH-B12,C_3LV_T0,111178,T0,0,C,LV,3,17300000,1290000,606000,679000,0,37400,50
OH-B12,C_3LV_T12,228497,T12,12,C,LV,3,16500000,1710000,630000,1080000,0,180000,50
OH-B12,C_3LV_T24,545057,T24,24,C,LV,3,27900000,2430000,1130000,1300000,0,2430000,100
OH-B12,C_3LV_T36,250682,T36,36,C,LV,3,23300000,3110000,810000,2300000,0,103000000,100
OH-B12,C_3LV_T48,1521045,T48,48,C,LV,3,12200000,8420000,2100000,6320000,0,260000000,100
OH-B12,C_4LGV_T0,107670,T0,0,C,LGV,4,16600000,845000,443000,402000,868,11300000,50
OH-B12,C_4LGV_T12,180171,T12,12,C,LGV,4,12200000,1900000,484000,1420000,3860,183000000,50
OH-B12,C_4LGV_T24,150252,T24,24,C,LGV,4,2840000,948000,179000,769000,16100,285000000,100
OH-B12,C_4LGV_T36,797319,T36,36,C,LGV,4,7530,172000,41900,130000,66900,246000000,300
OH-B12,C_4LGV_T48,506422,T48,48,C,LGV,4,3600,211000,40900,170000,55400,171000000,300
OH-B12,C_6HV_T0,107333,T0,0,C,HV,6,16100000,1470000,687000,779000,0,9130000,50
OH-B12,C_6HV_T12,177078,T12,12,C,HV,6,15600000,2120000,468000,1660000,0,38100000,50
OH-B12,C_6HV_T24,262928,T24,24,C,HV,6,8120000,4650000,773000,3880000,0,287000000,100
OH-B12,C_6HV_T36,234131,T36,36,C,HV,6,1230000,7890000,4510000,3380000,0,180000000,100
OH-B12,C_6HV_T48,1102063,T48,48,C,HV,6,1000000,8500000,5600000,2900000,0,159000000,100
OH-B12,E_2LG_T0,154317,T0,0,E,LG,2,16200000,1090000,465000,627000,612,0,50
OH-B12,E_2LG_T24,447821,T24,24,E,LG,2,13300000,1490000,808000,680000,10600,0,50
OH-B12,E_2LG_T36,359012,T36,36,E,LG,2,3370000,303000,86000,217000,31800,0,100
OH-B12,E_2LG_T48,794799,T48,48,E,LG,2,149000,57900,25600,32400,71600,0,200
OH-B12,E_3LG_T0,258950,T0,0,E,LG,3,15000000,1170000,522000,651000,733,0,50
OH-B12,E_3LG_T24,324198,T24,24,E,LG,3,12500000,1310000,724000,586000,14800,0,50
OH-B12,E_3LG_T36,190768,T36,36,E,LG,3,3670000,209000,64500,145000,34900,0,100
OH-B12,E_3LG_T48,847035,T48,48,E,LG,3,195000,45900,15900,30000,69000,0,200
OH-B12,E_4LG_T0,202171,T0,0,E,LG,4,12900000,1270000,597000,677000,525,0,50
OH-B12,E_4LG_T24,208175,T24,24,E,LG,4,11900000,1470000,790000,685000,10800,0,50
OH-B12,E_4LG_T36,196739,T36,36,E,LG,4,4710000,582000,218000,364000,23700,0,100
OH-B12,E_4LG_T48,351616,T48,48,E,LG,4,536000,58100,16000,42200,55400,0,200
OH-B12,E_8G_T48,2095795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN-Pseudocob,A_1C_T0,194478,T0,0,A,C,1,16700000,729000,231000,498000,0,0,50
CN-Pseudocob,A_1C_T12,310965,T12,12,A,C,1,15400000,1130000,333000,798000,0,0,50
CN-Pseudocob,A_1C_T18,242755,T18,18,A,C,1,19700000,1210000,451000,763000,0,0,50
CN-Pseudocob,A_1C_T24,1093796,T24,24,A,C,1,28300000,1330000,444000,889000,0,0,100
CN-Pseudocob,A_1C_T30,87163,T30,30,A,C,1,29200000,1540000,546000,994000,0,0,50
CN-Pseudocob,A_1C_T36,916518,T36,36,A,C,1,27700000,1960000,701000,1260000,0,0,300
CN-Pseudocob,A_1C_T42,761198,T42,42,A,C,1,34300000,2470000,968000,1500000,0,0,50
CN-Pseudocob,A_1C_T48,866581,T48,48,A,C,1,37100000,2830000,1100000,1730000,0,0,100
CN-Pseudocob,A_1C_T6,132174,T6,6,A,C,1,19100000,872000,192000,680000,0,0,50
CN-Pseudocob,A_3LV_T0,206698,T0,0,A,LV,3,17400000,667000,214000,453000,0,62800,50
CN-Pseudocob,A_3LV_T12,146932,T12,12,A,LV,3,15000000,1190000,315000,873000,0,105000,50
CN-Pseudocob,A_3LV_T24,423422,T24,24,A,LV,3,25100000,1650000,606000,1050000,0,1190000,100
CN-Pseudocob,A_3LV_T36,2159852,T36,36,A,LV,3,24200000,2270000,589000,1680000,0,31500000,300
CN-Pseudocob,A_3LV_T48,39140,T48,48,A,LV,3,13200000,5460000,526000,4930000,0,278000000,100
CN-Pseudocob,A_4LGV_T0,263224,T0,0,A,LGV,4,16800000,694000,269000,425000,571,7250000,50
CN-Pseudocob,A_4LGV_T12,36643,T12,12,A,LGV,4,12900000,842000,186000,657000,2310,98100000,50
CN-Pseudocob,A_4LGV_T24,126635,T24,24,A,LGV,4,6330000,1220000,181000,1030000,10100,249000000,100
CN-Pseudocob,A_4LGV_T36,63127,T36,36,A,LGV,4,10100,49700,7850,41900,47000,193000000,300
CN-Pseudocob,A_4LGV_T48,68146,T48,48,A,LGV,4,10300,175000,58400,117000,60900,204000000,300
CN-Pseudocob,A_6HV_T0,175556,T0,0,A,HV,6,16100000,691000,332000,359000,0,10400000,50
CN-Pseudocob,A_6HV_T12,109972,T12,12,A,HV,6,14500000,1230000,311000,924000,0,23300000,50
CN-Pseudocob,A_6HV_T24,56840,T24,24,A,HV,6,12900000,2130000,407000,1720000,0,184000000,100
CN-Pseudocob,A_6HV_T36,159533,T36,36,A,HV,6,1480000,5880000,1010000,4870000,0,204000000,300
CN-Pseudocob,A_6HV_T48,109980,T48,48,A,HV,6,1860000,8660000,4840000,3810000,0,207000000,100
CN-Pseudocob,A_8G_T0,9441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN-Pseudocob,A_8G_T48,8301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN-Pseudocob,A_9V_T0,475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CN-Pseudocob,B_1C_T0,264070,T0,0,B,C,1,18200000,918000,347000,572000,0,0,50
CN-Pseudocob,B_1C_T12,314063,T12,12,B,C,1,15400000,1320000,310000,1010000,0,0,50
CN-Pseudocob,B_1C_T18,110691,T18,18,B,C,1,19100000,1950000,640000,1320000,0,0,50
CN-Pseudocob,B_1C_T24,572070,T24,24,B,C,1,27500000,2350000,878000,1470000,0,0,100
CN-Pseudocob,B_1C_T30,447510,T30,30,B,C,1,29500000,2510000,953000,1550000,0,0,50
CN-Pseudocob,B_1C_T36,911396,T36,36,B,C,1,31000000,3480000,1010000,2460000,0,0,300
CN-Pseudocob,B_1C_T42,79547,T42,42,B,C,1,33100000,4110000,1360000,2750000,0,0,50
CN-Pseudocob,B_1C_T48,1248962,T48,48,B,C,1,44700000,4720000,1860000,2860000,0,0,100
CN-Pseudocob,B_1C_T6,76255,T6,6,B,C,1,17500000,880000,220000,660000,0,0,50
CN-Pseudocob,B_3LV_T0,278982,T0,0,B,LV,3,18500000,587000,219000,368000,0,97700,50
CN-Pseudocob,B_3LV_T12,82291,T12,12,B,LV,3,14300000,1520000,258000,1270000,0,126000,50
CN-Pseudocob,B_3LV_T24,685250,T24,24,B,LV,3,26300000,2350000,854000,1490000,0,1760000,100
CN-Pseudocob,B_3LV_T36,1809745,T36,36,B,LV,3,24100000,4020000,609000,3410000,0,38100000,300
CN-Pseudocob,B_3LV_T48,160441,T48,48,B,LV,3,11300000,10600000,1650000,9000000,0,290000000,100
CN-Pseudocob,B_4LGV_T0,122573,T0,0,B,LGV,4,19200000,510000,215000,295000,364,7020000,50
CN-Pseudocob,B_4LGV_T12,70441,T12,12,B,LGV,4,12900000,1190000,189000,1000000,1160,84000000,50
CN-Pseudocob,B_4LGV_T24,35,T24,24,B,LGV,4,6940000,2100000,237000,1860000,3200,380000000,100
CN-Pseudocob,B_4LGV_T36,87333,T36,36,B,LGV,4,509000,3940000,1050000,2890000,10900,340000000,300
CN-Pseudocob,B_4LGV_T48,89754,T48,48,B,LGV,4,38400,152000,90400,61600,37000,403000000,300
CN-Pseudocob,B_6HV_T0,51105,T0,0,B,HV,6,16900000,732000,289000,443000,0,8360000,50
CN-Pseudocob,B_6HV_T12,144974,T12,12,B,HV,6,13800000,1200000,161000,1040000,0,25200000,50
CN-Pseudocob,B_6HV_T24,124399,T24,24,B,HV,6,11000000,2300000,325000,1980000,0,271000000,100
CN-Pseudocob,B_6HV_T36,70894,T36,36,B,HV,6,943000,7370000,1210000,6160000,0,270000000,270
CN-Pseudocob,B_6HV_T48,40128,T48,48,B,HV,6,868000,11900000,5400000,6470000,0,286000000,100
CN-Pseudocob,C_1C_T0,222825,T0,0,C,C,1,16400000,1250000,556000,689000,0,0,50
CN-Pseudocob,C_1C_T12,257878,T12,12,C,C,1,16800000,1650000,749000,902000,0,0,50
CN-Pseudocob,C_1C_T18,376365,T18,18,C,C,1,20100000,1740000,867000,874000,0,0,50
CN-Pseudocob,C_1C_T24,964722,T24,24,C,C,1,26500000,2150000,947000,1210000,0,0,100
CN-Pseudocob,C_1C_T30,423802,T30,30,C,C,1,30700000,1980000,877000,1100000,0,0,50
CN-Pseudocob,C_1C_T36,502347,T36,36,C,C,1,26300000,2330000,1020000,1320000,0,0,100
CN-Pseudocob,C_1C_T42,169602,T42,42,C,C,1,35700000,2770000,1310000,1450000,0,0,50
CN-Pseudocob,C_1C_T48,869310,T48,48,C,C,1,44800000,3090000,1400000,1690000,0,0,100
CN-Pseudocob,C_1C_T6,133013,T6,6,C,C,1,18300000,1890000,821000,1070000,0,0,50
CN-Pseudocob,C_3LV_T0,305060,T0,0,C,LV,3,17300000,1290000,606000,679000,0,37400,50
CN-Pseudocob,C_3LV_T12,273276,T12,12,C,LV,3,16500000,1710000,630000,1080000,0,180000,50
CN-Pseudocob,C_3LV_T24,928061,T24,24,C,LV,3,27900000,2430000,1130000,1300000,0,2430000,100
CN-Pseudocob,C_3LV_T36,529988,T36,36,C,LV,3,23300000,3110000,810000,2300000,0,103000000,100
CN-Pseudocob,C_3LV_T48,179981,T48,48,C,LV,3,12200000,8420000,2100000,6320000,0,260000000,100
CN-Pseudocob,C_4LGV_T0,307270,T0,0,C,LGV,4,16600000,845000,443000,402000,868,11300000,50
CN-Pseudocob,C_4LGV_T12,126824,T12,12,C,LGV,4,12200000,1900000,484000,1420000,3860,183000000,50
CN-Pseudocob,C_4LGV_T24,255171,T24,24,C,LGV,4,2840000,948000,179000,769000,16100,285000000,100
CN-Pseudocob,C_4LGV_T36,377622,T36,36,C,LGV,4,7530,172000,41900,130000,66900,246000000,300
