Compound,SampID,Area,slope,Conc_nM_vial,time,Time,biorep,treatment,treatment_number,Pro,BacTot,BacSml,BacLrg,Grz,Phage,Vol.filt.mL,nM.in.smp
OH-B12,A_1C_T0,146941,2111701.4456521743,0.06958417360680406,T0,0,A,C,1,16700000,729000,231000,498000,0,0,50,5.566733888544325e-4
OH-B12,A_1C_T12,175954,2111701.4456521743,0.0833233316964741,T12,12,A,C,1,15400000,1130000,333000,798000,0,0,50,6.665866535717929e-4
OH-B12,A_1C_T18,167557,2111701.4456521743,0.0793469173139918,T18,18,A,C,1,19700000,1210000,451000,763000,0,0,50,6.347753385119344e-4
OH-B12,A_1C_T24,616289,2111701.4456521743,0.29184475924325864,T24,24,A,C,1,28300000,1330000,444000,889000,0,0,100,0.0011673790369730345
OH-B12,A_1C_T30,96403,2111701.4456521743,0.045651813232635764,T30,30,A,C,1,29200000,1540000,546000,994000,0,0,50,3.652145058610861e-4
OH-B12,A_1C_T36,645437,2111701.4456521743,0.30564784682460844,T36,36,A,C,1,27700000,1960000,701000,1260000,0,0,300,4.075304624328113e-4
OH-B12,A_1C_T42,381268,2111701.4456521743,0.1805501439538248,T42,42,A,C,1,34300000,2470000,968000,1500000,0,0,50,0.0014444011516305986
OH-B12,A_1C_T48,415343,2111701.4456521743,0.1966864212055915,T48,48,A,C,1,37100000,2830000,1100000,1730000,0,0,100,7.86745684822366e-4
OH-B12,A_1C_T6,86283,2111701.4456521743,0.04085946911560337,T6,6,A,C,1,19100000,872000,192000,680000,0,0,50,3.26875752924827e-4
OH-B12,A_3LV_T0,154213,2111701.4456521743,0.0730278422252882,T0,0,A,LV,3,17400000,667000,214000,453000,0,62800,50,5.842227378023057e-4
OH-B12,A_3LV_T12,129354,2111701.4456521743,0.0612558182721945,T12,12,A,LV,3,15000000,1190000,315000,873000,0,105000,50,4.90046546177556e-4
OH-B12,A_3LV_T24,613249,2111701.4456521743,0.290405161800988,T24,24,A,LV,3,25100000,1650000,606000,1050000,0,1190000,100,0.001161620647203952
OH-B12,A_3LV_T36,2316945,2111701.4456521743,1.0971934525926503,T36,36,A,LV,3,24200000,2270000,589000,1680000,0,31500000,300,0.0014629246034568672
OH-B12,A_3LV_T48,877632,2111701.4456521743,0.4156042047548789,T48,48,A,LV,3,13200000,5460000,526000,4930000,0,278000000,100,0.0016624168190195157
OH-B12,A_4LGV_T0,162698,2111701.4456521743,0.07704592916530993,T0,0,A,LGV,4,16800000,694000,269000,425000,571,7250000,50,6.163674333224795e-4
OH-B12,A_4LGV_T12,404710,2111701.4456521743,0.1916511450201759,T12,12,A,LGV,4,12900000,842000,186000,657000,2310,98100000,50,0.0015332091601614074
OH-B12,A_4LGV_T24,918883,2111701.4456521743,0.4351386896532685,T24,24,A,LGV,4,6330000,1220000,181000,1030000,10100,249000000,100,0.0017405547586130741
OH-B12,A_4LGV_T36,2711880,2111701.4456521743,1.2842156288634199,T36,36,A,LGV,4,10100,49700,7850,41900,47000,193000000,300,0.0017122875051512265
OH-B12,A_4LGV_T48,2414792,2111701.4456521743,1.1435290746103646,T48,48,A,LGV,4,10300,175000,58400,117000,60900,204000000,300,0.0015247054328138196
OH-B12,A_6HV_T0,163852,2111701.4456521743,0.07759240793122449,T0,0,A,HV,6,16100000,691000,332000,359000,0,10400000,50,6.20739263449796e-4
OH-B12,A_6HV_T12,202068,2111701.4456521743,0.09568966314629465,T12,12,A,HV,6,14500000,1230000,311000,924000,0,23300000,50,7.655173051703574e-4
OH-B12,A_6HV_T24,982303,2111701.4456521743,0.46517134418905853,T24,24,A,HV,6,12900000,2130000,407000,1720000,0,184000000,100,0.0018606853767562342
OH-B12,A_6HV_T36,574511,2111701.4456521743,0.2720607125514227,T36,36,A,HV,6,1480000,5880000,1010000,4870000,0,204000000,300,3.6274761673523034e-4
OH-B12,A_6HV_T48,1790146,2111701.4456521743,0.8477268430562325,T48,48,A,HV,6,1860000,8660000,4840000,3810000,0,207000000,100,0.00339090737222493
OH-B12,A_8G_T0,115269,2111701.4456521743,0.05458584130693746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OH-B12,A_8G_T48,7038600,2111701.4456521743,3.333141630646661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OH-B12,A_9V_T0,3756,2111701.4456521743,0.0017786605240685447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OH-B12,B_1C_T0,122083,2111701.4456521743,0.057812623205500575,T0,0,B,C,1,18200000,918000,347000,572000,0,0,50,4.6250098564400464e-4
OH-B12,B_1C_T12,279199,2111701.4456521743,0.13221518627779916,T12,12,B,C,1,15400000,1320000,310000,1010000,0,0,50,0.0010577214902223932
OH-B12,B_1C_T18,87236,2111701.4456521743,0.041310763971683595,T18,18,B,C,1,19100000,1950000,640000,1320000,0,0,50,3.304861117734688e-4
OH-B12,B_1C_T24,601488,2111701.4456521743,0.28483571919620365,T24,24,B,C,1,27500000,2350000,878000,1470000,0,0,100,0.0011393428767848147
OH-B12,B_1C_T30,289317,2111701.4456521743,0.13700658329125112,T30,30,B,C,1,29500000,2510000,953000,1550000,0,0,50,0.001096052666330009
OH-B12,B_1C_T36,2137560,2111701.4456521743,1.0122453647039293,T36,36,B,C,1,31000000,3480000,1010000,2460000,0,0,300,0.001349660486271906
OH-B12,B_1C_T42,348813,2111701.4456521743,0.16518102060221548,T42,42,B,C,1,33100000,4110000,1360000,2750000,0,0,50,0.001321448164817724
OH-B12,B_1C_T48,715270,2111701.4456521743,0.33871738899108306,T48,48,B,C,1,44700000,4720000,1860000,2860000,0,0,100,0.0013548695559643324
OH-B12,B_1C_T6,22620,2111701.4456521743,0.010711741494789798,T6,6,B,C,1,17500000,880000,220000,660000,0,0,50,8.56939319583184e-5
OH-B12,B_3LV_T0,141307,2111701.4456521743,0.06691618282070123,T0,0,B,LV,3,18500000,587000,219000,368000,0,97700,50,5.353294625656099e-4
OH-B12,B_3LV_T12,381305,2111701.4456521743,0.18056766537006297,T12,12,B,LV,3,14300000,1520000,258000,1270000,0,126000,50,0.001444541322960504
OH-B12,B_3LV_T24,522921,2111701.4456521743,0.24763017569394236,T24,24,B,LV,3,26300000,2350000,854000,1490000,0,1760000,100,9.905207027757694e-4
OH-B12,B_3LV_T36,1991392,2111701.4456521743,0.9430272466309658,T36,36,B,LV,3,24100000,4020000,609000,3410000,0,38100000,300,0.0012573696621746213
OH-B12,B_3LV_T48,574084,2111701.4456521743,0.2718585059369985,T48,48,B,LV,3,11300000,10600000,1650000,9000000,0,290000000,100,0.0010874340237479942
OH-B12,B_4LGV_T0,154222,2111701.4456521743,0.07303210419140019,T0,0,B,LGV,4,19200000,510000,215000,295000,364,7020000,50,5.842568335312015e-4
OH-B12,B_4LGV_T12,187751,2111701.4456521743,0.08890982216570643,T12,12,B,LGV,4,12900000,1190000,189000,1000000,1160,84000000,50,7.112785773256515e-4
OH-B12,B_4LGV_T24,86,2111701.4456521743,4.072545395897094e-5,T24,24,B,LGV,4,6940000,2100000,237000,1860000,3200,380000000,100,1.6290181583588377e-7
OH-B12,B_4LGV_T36,2074222,2111701.4456521743,0.9822515414149374,T36,36,B,LGV,4,509000,3940000,1050000,2890000,10900,340000000,300,0.0013096687218865834
OH-B12,B_4LGV_T48,2614508,2111701.4456521743,1.2381049439460605,T48,48,B,LGV,4,38400,152000,90400,61600,37000,403000000,300,0.0016508065919280809
OH-B12,B_6HV_T0,159624,2111701.4456521743,0.07559023096217184,T0,0,B,HV,6,16900000,732000,289000,443000,0,8360000,50,6.047218476973748e-4
OH-B12,B_6HV_T12,315142,2111701.4456521743,0.1492360582736979,T12,12,B,HV,6,13800000,1200000,161000,1040000,0,25200000,50,0.0011938884661895834
OH-B12,B_6HV_T24,758814,2111701.4456521743,0.35933772814444853,T24,24,B,HV,6,11000000,2300000,325000,1980000,0,271000000,100,0.0014373509125777941
OH-B12,B_6HV_T36,153097,2111701.4456521743,0.07249935842740203,T36,36,B,HV,6,943000,7370000,1210000,6160000,0,270000000,270,1.0740645692948448e-4
OH-B12,B_6HV_T48,3001659,2111701.4456521743,1.4214409930817529,T48,48,B,HV,6,868000,11900000,5400000,6470000,0,286000000,100,0.005685763972327011
OH-B12,C_1C_T0,116605,2111701.4456521743,0.05521850649867217,T0,0,C,C,1,16400000,1250000,556000,689000,0,0,50,4.417480519893773e-4
OH-B12,C_1C_T12,236735,2111701.4456521743,0.11210628305787193,T12,12,C,C,1,16800000,1650000,749000,902000,0,0,50,8.968502644629755e-4
OH-B12,C_1C_T18,223484,2111701.4456521743,0.10583124828565886,T18,18,C,C,1,20100000,1740000,867000,874000,0,0,50,8.46649986285271e-4
OH-B12,C_1C_T24,490965,2111701.4456521743,0.2324973546856531,T24,24,C,C,1,26500000,2150000,947000,1210000,0,0,100,9.299894187426125e-4
OH-B12,C_1C_T30,292524,2111701.4456521743,0.13852526388248856,T30,30,C,C,1,30700000,1980000,877000,1100000,0,0,50,0.0011082021110599086
OH-B12,C_1C_T36,294191,2111701.4456521743,0.13931467471678627,T36,36,C,C,1,26300000,2330000,1020000,1320000,0,0,100,5.572586988671451e-4
OH-B12,C_1C_T42,92123,2111701.4456521743,0.043625011570491624,T42,42,C,C,1,35700000,2770000,1310000,1450000,0,0,50,3.49000092563933e-4
OH-B12,C_1C_T48,647913,2111701.4456521743,0.3068203610571946,T48,48,C,C,1,44800000,3090000,1400000,1690000,0,0,100,0.0012272814442287785
OH-B12,C_1C_T6,136089,2111701.4456521743,0.0644451895793302,T6,6,C,C,1,18300000,1890000,821000,1070000,0,0,50,5.155615166346415e-4
OH-B12,C_3LV_T0,111178,2111701.4456521743,0.05264854093314501,T0,0,C,LV,3,17300000,1290000,606000,679000,0,37400,50,4.211883274651601e-4
OH-B12,C_3LV_T12,228497,2111701.4456521743,0.10820516341003468,T12,12,C,LV,3,16500000,1710000,630000,1080000,0,180000,50,8.656413072802775e-4
OH-B12,C_3LV_T24,545057,2111701.4456521743,0.2581127181222654,T24,24,C,LV,3,27900000,2430000,1130000,1300000,0,2430000,100,0.0010324508724890615
OH-B12,C_3LV_T36,250682,2111701.4456521743,0.11871090987607853,T36,36,C,LV,3,23300000,3110000,810000,2300000,0,103000000,100,4.748436395043141e-4
OH-B12,C_3LV_T48,1521045,2111701.4456521743,0.7202935827560809,T48,48,C,LV,3,12200000,8420000,2100000,6320000,0,260000000,100,0.002881174331024324
OH-B12,C_4LGV_T0,107670,2111701.4456521743,0.05098732125305118,T0,0,C,LGV,4,16600000,845000,443000,402000,868,11300000,50,4.078985700244095e-4
OH-B12,C_4LGV_T12,180171,2111701.4456521743,0.08532029959583434,T12,12,C,LGV,4,12200000,1900000,484000,1420000,3860,183000000,50,6.825623967666747e-4
OH-B12,C_4LGV_T24,150252,2111701.4456521743,0.07115210358422444,T24,24,C,LGV,4,2840000,948000,179000,769000,16100,285000000,100,2.846084143368978e-4
OH-B12,C_4LGV_T36,797319,2111701.4456521743,0.37757183982689246,T36,36,C,LGV,4,7530,172000,41900,130000,66900,246000000,300,5.0342911976919e-4
OH-B12,C_4LGV_T48,506422,2111701.4456521743,0.2398170447070928,T48,48,C,LGV,4,3600,211000,40900,170000,55400,171000000,300,3.197560596094571e-4
OH-B12,C_6HV_T0,107333,2111701.4456521743,0.05082773429974684,T0,0,C,HV,6,16100000,1470000,687000,779000,0,9130000,50,4.0662187439797473e-4
OH-B12,C_6HV_T12,177078,2111701.4456521743,0.08385560390868205,T12,12,C,HV,6,15600000,2120000,468000,1660000,0,38100000,50,6.708448312694565e-4
OH-B12,C_6HV_T24,262928,2111701.4456521743,0.1245100250991199,T24,24,C,HV,6,8120000,4650000,773000,3880000,0,287000000,100,4.980401003964797e-4
OH-B12,C_6HV_T36,234131,2111701.4456521743,0.1108731541961375,T36,36,C,HV,6,1230000,7890000,4510000,3380000,0,180000000,100,4.4349261678455e-4
OH-B12,C_6HV_T48,1102063,2111701.4456521743,0.5218839065858767,T48,48,C,HV,6,1000000,8500000,5600000,2900000,0,159000000,100,0.0020875356263435067
OH-B12,E_2LG_T0,154317,2111701.4456521743,0.07307709161147115,T0,0,E,LG,2,16200000,1090000,465000,627000,612,0,50,5.846167328917692e-4
OH-B12,E_2LG_T24,447821,2111701.4456521743,0.21206643624837587,T24,24,E,LG,2,13300000,1490000,808000,680000,10600,0,50,0.0016965314899870072
OH-B12,E_2LG_T36,359012,2111701.4456521743,0.1700107753106753,T36,36,E,LG,2,3370000,303000,86000,217000,31800,0,100,6.800431012427011e-4
OH-B12,E_2LG_T48,794799,2111701.4456521743,0.3763784893155366,T48,48,E,LG,2,149000,57900,25600,32400,71600,0,200,7.527569786310732e-4
OH-B12,E_3LG_T0,258950,2111701.4456521743,0.12262623607762238,T0,0,E,LG,3,15000000,1170000,522000,651000,733,0,50,9.81009888620979e-4
OH-B12,E_3LG_T24,324198,2111701.4456521743,0.1535245432859356,T24,24,E,LG,3,12500000,1310000,724000,586000,14800,0,50,0.0012281963462874848
OH-B12,E_3LG_T36,190768,2111701.4456521743,0.09033852791680196,T36,36,E,LG,3,3670000,209000,64500,145000,34900,0,100,3.6135411166720785e-4
OH-B12,E_3LG_T48,847035,2111701.4456521743,0.40111494062949943,T48,48,E,LG,3,195000,45900,15900,30000,69000,0,200,8.022298812589989e-4
OH-B12,E_4LG_T0,202171,2111701.4456521743,0.09573843898068737,T0,0,E,LG,4,12900000,1270000,597000,677000,525,0,50,7.659075118454991e-4
OH-B12,E_4LG_T24,208175,2111701.4456521743,0.0985816439291718,T24,24,E,LG,4,11900000,1470000,790000,685000,10800,0,50,7.886531514333745e-4
OH-B12,E_4LG_T36,196739,2111701.4456521743,0.09316610565620911,T36,36,E,LG,4,4710000,582000,218000,364000,23700,0,100,3.726644226248365e-4
OH-B12,E_4LG_T48,351616,2111701.4456521743,0.16650838627020378,T48,48,E,LG,4,536000,58100,16000,42200,55400,0,200,3.3301677254040757e-4
OH-B12,E_8G_T48,2095795,2111701.4456521743,0.9924674741853663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
