experiment,treatment,time,Pro.abu,Pro.Qc,Pro.C,B1.Qc,B1.abu,B1.C,B2.Qc,B2.abu,B2.C,bacterial.C,total.C,Pro.C.perc
A,C,0,14430000,23.7238493770008,342335146.5101215,11.641986251028245,231281.19800332858,2692572.527276092,23.713259412424662,497504.1597337787,11797445.19852745,14490017.725803543,356825164.2359251,0.9593918277685621
A,C,2,17059500,27.0604313307618,461637428.28713095,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,4,17429812,30.393719571811264,529756818.1173908,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,6,18855236,33.70063101085978,635433351.0586797,12.26418261053992,192176.87074829862,2356892.236379262,22.929015288566557,680272.1088435351,15597969.584058829,17954861.82043809,653388212.8791178,0.9725203769114213
A,C,8,18015216,36.95006244658996,665663356.1888067,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,10,16610307,39.27107722753801,652304648.9701152,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,12,15515027,39.8145980496465,617724563.7344128,12.229269982946,333333.33333333436,4076423.3276486793,21.86674364583495,798484.8484848508,17460263.486901596,21536686.814550277,639261250.5489631,0.966310038664074
A,C,14,14971153,38.6415327237917,578508298.5623922,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,16,17627037,36.1664065417937,637506586.2692395,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,18,19528501,32.944068397263436,643348272.6400274,11.685856540177308,450567.26094003173,5265264.373045846,22.32314439583163,763371.1507293342,17040844.425343078,22306108.798388924,665654381.4384164,0.9664899542158987
A,C,20,22653895,29.989293997376215,679374317.3406911,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,22,22714954,28.147763479001984,639375152.62841,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,24,27600885,28.20314752821034,778431831.5641679,10.94660807482195,443886.09715242655,4859047.135389953,22.4214708567137,889447.2361809,19942715.284614597,24801762.42000455,803233593.9841725,0.9691226031807463
A,C,26,28656451,29.95923977957548,858525486.7406555,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,28,28745887,32.61663601973686,937594133.3434855,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,30,28728385,35.14554548826678,1009674761.8219409,11.257643472195172,545878.6936236408,6145307.711882609,22.294853837611047,993779.1601866283,22156161.123224735,28301468.835107345,1037976230.6570482,0.9727339913967084
A,C,32,29928353,37.01478462367602,1107791540.4363482,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,34,30113005,37.733120084439726,1136257633.768334,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,36,27310161,36.44885655873454,995424140.8849462,11.978971687668988,701357.4660633483,8401541.228908114,22.292915350264515,1259426.847662142,28076296.10478262,36477837.33369073,1031901978.218637,0.9646499007622196
A,C,38,31472573,33.765337936304896,1062682063.0700252,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,40,32644053.5,30.9394793312566,1009990018.5516846,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,42,33815534,28.53521657646677,964933586.3388757,12.01041365849092,967532.4675324692,11620465.163085392,22.259545524348137,1498376.6233766256,33353182.660671037,44973647.82375643,1009907234.1626321,0.9554675456295285
A,C,44,39322115,26.80593941466249,1054066232.3463911,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,46,39683838,25.87814256117669,1026944017.1386409,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,C,48,35374999,25.412056790241575,898951483.5427389,11.822538842189235,1102171.1366538953,13030461.073830536,21.421376148321215,1725415.0702426566,36960765.23165002,49991226.305480555,948942709.8482195,0.947319025915193
A,HV,0,15324358,22.93232446409515,351423149.8599522,11.699931171202785,331585.84534731193,3879531.5679086405,21.575801937182305,359108.78112712834,7748059.935501873,11627591.503410513,363050741.3633627,0.9679725443894001
A,HV,2,16510085,25.365360131044657,418784251.81915843,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,HV,4,15970382,27.917146549846823,445847494.7510358,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,HV,6,17447296,30.55575835813267,533115360.57881474,12.619402069717562,270833.33333333366,3417754.7272151774,23.75662296896284,600490.1960784321,14265619.184793882,17683373.91200906,550798734.4908237,0.9678950353283653
A,HV,8,17904245,33.039896753947566,591554406.2573819,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,HV,10,14722791,35.00665489071059,515395663.5650599,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,HV,12,14550101,35.76329141521052,520359502.183746,13.299574320901014,310935.44137022435,4135309.0115054585,22.520560974734916,923583.6627140986,20799622.191421866,24934931.202927325,545294433.3866733,0.954272536676996
A,HV,14,15085812,35.188298917016546,530844062.0619152,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,HV,16,15291958,34.00224342517785,519960878.36359584,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,HV,18,14441690,32.55035962989363,470082203.1634385,12.960029957972935,512789.2813641894,6645764.448607307,22.057557714942817,1048721.0718635798,23132225.569507603,29777990.01811491,499860193.1815534,0.9404273626419791
A,HV,20,14724604,30.93217228807007,455463987.8016057,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,HV,22,14513197,29.532592006622295,428612325.7127347,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,HV,24,12353205,28.93867675204162,357485406.3467043,13.632385237469087,406593.4065934061,5542837.9536962155,24.232323674680543,1721611.7216117193,41718652.48021919,47261490.43391541,404746896.78061974,0.8832319881638722
A,HV,26,10757029,28.722717758679615,308971107.88893163,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,HV,28,8627433,28.227855783001207,243533934.50150546,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,HV,30,5394495,27.128703061990496,146345653.02439243,14.669650945754016,419631.9018404903,6155853.525702905,24.03142013237293,2835582.8220858863,68143082.11768562,74298935.64338852,220644588.66778094,0.6632641838533436
A,LV,0,16623211,23.529329763506293,391133013.34734523,11.693487909068171,213709.6774193554,2499011.5289540915,23.502844361859577,452956.989247313,10645777.6208961,13144789.14985019,404277802.4971954,0.9674857509646689
A,LV,2,16711234,26.487812537138787,442644033.45625997,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,LV,4,17797647,29.61808951211978,527132301.95111006,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,LV,6,17475662,32.75291316178861,572378839.9307691,12.343755628804717,152173.9130434777,1878397.5956876671,24.766777334521773,662404.0920716088,16405614.653813591,18284012.249501258,590662852.1802703,0.9690449260826023
A,LV,8,17536743,35.621104021657445,624678146.604073,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,LV,10,15415322,37.75160288658012,581953114.5127621,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,LV,12,15004015,38.42115345660053,576471562.7801362,12.196930140940248,315032.6797385613,3842431.5868844343,22.17483914165332,873202.6143790827,19363127.51192729,23205559.098811727,599677121.878948,0.9613032442756819
