Mode,Ion,Charge,Mass.change,polarity,,
pos,[M+3H]3+,3,1.007276,1,,
pos,[M+2H+Na]3+,3,8.334590,1,,
pos,[M+H+2Na]3+,3,15.662453,1,,
pos,[M+3Na]3+,3,22.989218,1,,
pos,[M+2H]2+,2,1.007276,1,,
pos,[M+H+NH4]2+,2,9.520550,1,,
pos,[M+H+Na]2+,2,11.998247,1,,
pos,[M+H+K]2+,2,19.985217,1,,
pos,[M+ACN+2H]2+,2,21.520550,1,,
pos,[M+2Na]2+,2,22.989218,1,,
pos,[M+2ACN+2H]2+,2,42.033823,1,,
pos,[M+3ACN+2H]2+,2,62.547097,1,,
pos,[M+H]+,1,1.007276,1,,
pos,[M+NH4]+,1,18.033823,1,,
pos,[M+Na]+,1,22.989218,1,,
pos,[M+CH3OH+H]+,1,33.033489,1,,
pos,[M+K]+,1,38.963158,1,,
pos,[M+ACN+H]+,1,42.033823,1,,
pos,[M+2Na-H]+,1,44.971160,1,,
pos,[M+IsoProp+H]+,1,61.065340,1,,
pos,[M+ACN+Na]+,1,64.015765,1,,
pos,[M+2K-H]+,1,76.919040,1,,
pos,[M+DMSO+H]+,1,79.021220,1,,
pos,[M+2ACN+H]+,1,83.060370,1,,
pos,[M+IsoProp+Na+H]+,1,84.055110,1,,
pos,[13CM+H]+,1,2.010626,1,,
neg,[M-3H]3-,-3,-1.007276,-1,,
neg,[M-2H]2-,-2,-1.007276,-1,,
neg,[M-H2O-H]-,-1,-19.01839,-1,,
neg,[M-H]-,-1,-1.007276,-1,,
neg,[M+Na-2H]-,-1,20.974666,-1,,
neg,[M+Cl]-,-1,34.969402,-1,,
neg,[M+K-2H]-,-1,36.948606,-1,,
neg,[M+FA-H]-,-1,44.998201,-1,,
neg,[M+Hac-H]-,-1,59.013851,-1,,
neg,[M+Br]-,-1,78.918885,-1,,
neg,[M+TFA-H]-,-1,112.985586,-1,,
neg,[13CM-H]-,-1,-0.003926,-1,,
