Sample.Name,Vol.filt.mL
201013_Blk_DOM_blk_T0,45
201013_Blk_DOM_blk_T48,45
201013_Blk_Filter_blk_1,0
201013_Blk_Filter_blk_2,0
201013_Blk_Media_blk,100
201013_Smp_A_1C_T0,50
201013_Smp_A_1C_T12,50
201013_Smp_A_1C_T18,50
201013_Smp_A_1C_T24,100
201013_Smp_A_1C_T30,50
201013_Smp_A_1C_T36,300
201013_Smp_A_1C_T42,50
201013_Smp_A_1C_T48,100
201013_Smp_A_1C_T6,50
201013_Smp_A_3LV_T0,50
201013_Smp_A_3LV_T12,50
201013_Smp_A_3LV_T24,100
201013_Smp_A_3LV_T36,300
201013_Smp_A_3LV_T48,100
201013_Smp_A_4LGV_T0,50
201013_Smp_A_4LGV_T12,50
201013_Smp_A_4LGV_T24,100
201013_Smp_A_4LGV_T36,300
201013_Smp_A_4LGV_T48,300
201013_Smp_A_6HV_T0,50
201013_Smp_A_6HV_T12,50
201013_Smp_A_6HV_T24,100
201013_Smp_A_6HV_T36,300
201013_Smp_A_6HV_T48,100
201013_Smp_A_8G_T0,50
201013_Smp_A_8G_T48,300
201013_Smp_A_9V_T0,50
201013_Smp_B_1C_T0,50
201013_Smp_B_1C_T12,50
201013_Smp_B_1C_T18,50
201013_Smp_B_1C_T24,100
201013_Smp_B_1C_T30,50
201013_Smp_B_1C_T36,300
201013_Smp_B_1C_T42,50
201013_Smp_B_1C_T48,100
201013_Smp_B_1C_T6,50
201013_Smp_B_3LV_T0,50
201013_Smp_B_3LV_T12,50
201013_Smp_B_3LV_T24,100
201013_Smp_B_3LV_T36,300
201013_Smp_B_3LV_T48,100
201013_Smp_B_4LGV_T0,50
201013_Smp_B_4LGV_T12,50
201013_Smp_B_4LGV_T24,100
201013_Smp_B_4LGV_T36,300
201013_Smp_B_4LGV_T48,300
201013_Smp_B_6HV_T0,50
201013_Smp_B_6HV_T12,50
201013_Smp_B_6HV_T24,100
201013_Smp_B_6HV_T36,270
201013_Smp_B_6HV_T48,100
201013_Smp_C_1C_T0,50
201013_Smp_C_1C_T12,50
201013_Smp_C_1C_T18,50
201013_Smp_C_1C_T24,100
201013_Smp_C_1C_T30,50
201013_Smp_C_1C_T36,100
201013_Smp_C_1C_T42,50
201013_Smp_C_1C_T48,100
201013_Smp_C_1C_T6,50
201013_Smp_C_3LV_T0,50
201013_Smp_C_3LV_T12,50
201013_Smp_C_3LV_T24,100
201013_Smp_C_3LV_T36,100
201013_Smp_C_3LV_T48,100
201013_Smp_C_4LGV_T0,50
201013_Smp_C_4LGV_T12,50
201013_Smp_C_4LGV_T24,100
201013_Smp_C_4LGV_T36,300
201013_Smp_C_4LGV_T48,300
201013_Smp_C_6HV_T0,50
201013_Smp_C_6HV_T12,50
201013_Smp_C_6HV_T24,100
201013_Smp_C_6HV_T36,100
201013_Smp_C_6HV_T48,100
201013_Smp_E_2LG_T0,50
201013_Smp_E_2LG_T24,50
201013_Smp_E_2LG_T36,100
201013_Smp_E_2LG_T48,200
201013_Smp_E_3LG_T0,50
201013_Smp_E_3LG_T24,50
201013_Smp_E_3LG_T36,100
201013_Smp_E_3LG_T48,200
201013_Smp_E_4LG_T0,50
201013_Smp_E_4LG_T24,50
201013_Smp_E_4LG_T36,100
201013_Smp_E_4LG_T48,200
201013_Smp_E_8G_T48,200
