Bracket Type=4,,
File Name,InjVol,InjVol.norm
201006_Blk_Blk_1,15,15
201006_Blk_Blk_2,15,15
201006_Std_H2OinMatrix_1,15,15
201006_Std_250nMStdsInH2O_1,15,15
201006_Std_250nMStdsInMatrix_1,15,15
201006_Blk_Blk_3,15,15
201006_Blk_Blk_4,15,15
201006_Poo_TruePooMortality_Half1,15,7.5
201006_Poo_TruePooMortality_Full1,15,15
201006_Smp_E_3LG_T48,15,15
201006_Blk_Blk_5,15,15
201006_Smp_C_1C_T12,15,15
201006_Smp_C_1C_T30,15,15
201006_Smp_C_3LV_T24,15,15
201006_Blk_Blk_6,15,15
201006_Smp_B_3LV_T48,15,15
201006_Smp_A_3LV_T24,15,15
201006_Smp_C_4LGV_T12,15,15
201006_Blk_Blk_7,15,15
201006_Smp_A_6HV_T36,15,15
201006_Smp_B_6HV_T48,15,15
201006_Smp_B_4LGV_T36,15,15
201006_Blk_Blk_8,15,15
201006_Smp_C_1C_T48,15,15
201006_Smp_C_3LV_T12,15,15
201006_Smp_A_6HV_T0,15,15
201006_Blk_Blk_9,15,15
201006_Smp_C_1C_T0,15,15
201006_Smp_A_4LGV_T48,15,15
201006_Smp_B_1C_T24,15,15
201006_Blk_Blk_10,15,15
201006_Smp_C_1C_T18,15,15
201006_Blk_Media_blk,15,15
201006_Smp_C_1C_T24,15,15
201006_Blk_Blk_11,15,15
201006_Smp_E_3LG_T0,15,15
201006_Smp_C_6HV_T24,15,15
201006_Blk_Blk_12,15,15
201006_Smp_B_1C_T30,15,15
201006_Smp_A_4LGV_T12,15,15
201006_Smp_E_8G_T48,15,15
201006_Blk_Blk_13,15,15
201006_Smp_C_6HV_T36,15,15
201006_Smp_A_1C_T24,15,15
201006_Smp_C_4LGV_T36,15,15
201006_Blk_Blk_14,15,15
201006_Smp_A_3LV_T12,15,15
201006_Smp_B_4LGV_T48,15,15
201006_Smp_B_3LV_T12,15,15
201006_Blk_Blk_15,15,15
201006_Smp_B_4LGV_T12,15,15
201006_Smp_C_6HV_T12,15,15
201006_Smp_C_3LV_T48,15,15
201006_Blk_Blk_16,15,15
201006_Smp_B_1C_T48,15,15
201006_Smp_A_1C_T42,15,15
201006_Smp_A_1C_T30,15,15
201006_Blk_Blk_17,15,15
201006_Smp_C_3LV_T36,15,15
201006_Smp_B_1C_T42,15,15
201006_Smp_A_8G_T48,15,15
