mz_rt	A_C_0	A_C_12	A_C_18	A_C_24	A_C_30	A_C_36	A_C_42	A_C_48	A_C_6	A_LV_0	A_LV_12	A_LV_24	A_LV_36	A_LV_48	A_HV_0	A_HV_12	A_HV_24	A_HV_36	A_HV_48	B_C_0	B_C_12	B_C_18	B_C_24	B_C_30	B_C_36	B_C_42	B_C_48	B_C_6	B_LV_0	B_LV_12	B_LV_24	B_LV_36	B_LV_48	B_HV_0	B_HV_12	B_HV_24	B_HV_36	B_HV_48	C_C_0	C_C_12	C_C_18	C_C_24	C_C_30	C_C_36	C_C_42	C_C_48	C_C_6	C_LV_0	C_LV_12	C_LV_24	C_LV_36	C_LV_48	C_HV_0	C_HV_12	C_HV_24	C_HV_36	C_HV_48
159.07661_10.059	43653.61773307273	156954.00401815746	156012.6966589667	99557.3807854751	67951.65048554444	155986.5898119052	86469.32705903769	208018.44915874262	115695.314517817	105839.75547331948	49692.76451980975	155223.82182295457	240520.84006863405	343041.3633270596	73276.50677424221	179460.5178780008	220387.61775995497	403864.8386144291	416010.8260633767	149695.416083315	107696.59701562508	120581.02400808409	156359.34951315678	131862.59068087698	256612.16670969507	160008.7663126608	239596.78311254567	122888.75840805705	97889.3983810163	162410.35818362425	188106.6871319952	341209.0797962668	546799.8934323792	57998.50337654534	120569.589140469	250809.0276240181	331016.0930946439	548990.1872309839	99321.79685174416	142009.23247330033	150087.88429501708	127532.70323049469	171376.4251517644	146181.47935444445	153746.57978410518	173967.85058145836	102060.55255395899	120939.60812795248	123678.2296516801	129588.65176498616	151043.4991243297	388787.82512990286	176341.20724480005	117522.55833699583	257005.54644893057	104046.13791809011	127006.8206710762
162.04131_7.406	276577.6	690084.48	577319.08	408223.08	868687.44	709140.2133333334	774904.64	1576820	321436.92	246113	118901.12	224868	706376.7466666667	447312.2	204982.8	437685.72	71454.58	11171.346666666666	40873.29	353010.72	400587.36	600087.72	321759.76	515247.2	1469455.5733333332	1123299.76	1275481.12	352539.08	340310.44	72198.68	780865.2	586734.1333333333	54406.16	253228.2	294585.46	74313	21493.022222222222	11765.64	319034.26	237348.7	568660.84	730703.04	283207.68	1574200.48	2253525.76	577827.36	301964.22	564261.12	403898.96	416019	815984.64	7272.4	706182.32	472177.04	66379.32	37938.92	21434.6
164.07083_5.875	1773.86	3478.72	13215.92	16078.57	4614.24	64310.58666666667	9570.52	114442.63	5687.76	803.96	1798.74	1033.1	90812.56	234701.56	4440.1	8387.92	18460	102341.52	47631.44	5420.3	32583.8	7902.54	12795.3	14066.54	129338.69333333333	18933.24	107082.52	1479.1	376	629.36	46781.74	171045.14666666667	8906.54	6571.92	6941.04	45518.46	150896.66666666666	80381.66	31125.94	12493.72	10121.9	39392.64	5734.62	96417.83	103686.98	124457.04	29751.92	18028.92	8093.38	9354.75	138197.57	2890116.8	25137.36	42197.34	20526.28	99516.24	27012.36
167.01228_9.4	11219.86	8044.96	75701.94	17606.55	30863.46	23508.216666666667	31506.2	33665.61	15502.1	7681.36	6105.16	11798.12	38408.956666666665	53134.27	7428.3	7920.64	10601.94	106112.02	86140.28	15026.42	25164.08	25845.12	5873.52	27709.66	31830.82	15055.5	31833.73	27407.36	8552.06	9952.52	10520.67	51441.88	54659.36	8653.72	13283.42	13577.15	44744.496296296296	76856.6	175.38	12957.42	13006.16	11333.65	32502.92	22722.44	57780.64	18469.4	57349.94	2570.28	20036.3	11330.78	40878.16	4294383.68	7795	22099.14	12204.2	6359.37	10725.77
167.04295_11.217	1126.09741611523	5536.422490033077	28993.18208060974	5022.086684033093	344.3465402049235	1765.2806909139294	25441.014769920163	7661.2486078755355	222.4301784961825	3872.5191109348366	3586.975467852486	13978.320191331823	3391.9976548460345	16496.03117925618	3059.045234809268	4320.103989680914	4914.948912989199	5237.346440341041	320.4707306111419	1109.9103759367658	1189.4046331033655	27624.485895487695	5959.491786874159	1523.1217673890203	3369.755012086852	42346.899438223525	16988.421537853857	279.4339033497149	1557.9873105543943	2746.2012379181806	3226.508026317394	4119.34212303229	18231.92766826512	5752.684338905203	3212.0599285213407	4130.7963546122055	1588.1256977678959	2029.5041856106825	2043.2294328992007	6617.134061569319	17198.16619413534	6707.600619830687	6908.660553533893	1793.677723752324	33521.217499641476	6343.64457327967	4964.286829700584	289.183680095382	5212.455488838234	8786.365803935329	4776.5808251044145	105830.344986489	676.4095644581186	6047.212612966393	18726.919710386228	2578.4151687653025	2323.696968985225
167.99625_11.474	4337.230964592335	5209.77076075339	4789.911761606262	4319.292322957239	3624.3456006572046	6239.049856820056	5903.282091017043	7545.022428463737	3022.17111245315	2971.837306413954	2018.971137596626	8124.209855194384	7401.959909488355	16397.748128150095	3735.159551082266	3189.008811150221	6300.790917680752	22839.630429821438	25995.05871077986	5065.091765897674	2788.10778143981	3792.0307781738475	4620.252052478099	3565.201560718411	6993.449772833104	7110.099428910944	10102.122639338084	1808.6032595332408	5872.70911709264	1900.3391339515697	5088.316992852189	10859.305347610361	31746.916517186026	2060.8834127328814	2945.522752954616	10284.489237333952	10748.031754576798	72838.4557508539	5213.244552334017	9940.691985892105	5145.213434617754	6938.954551889478	8524.5351275378	10157.719453090316	7384.59471744391	19873.001341939023	4247.807391493854	4160.862195912079	13962.636504780503	14309.209800325565	10776.570817461235	18460.068984197205	6881.126614255123	6305.60928624055	12444.08504804949	8425.993230245473	11564.569651476015
168.02708_11.242	227256.57441443644	434721.89569615433	373043.1071317123	222083.59860108633	281517.3866456172	145154.97052782116	339958.9327337811	348047.6284085015	238801.99496286438	197227.68208416057	222912.68302139573	247487.3437041634	124774.473676771	225200.81995632048	260387.71163228003	211185.84812345408	125764.9161803987	29839.39453181881	104810.98824502822	201907.9790155045	163528.26782983053	338887.5368865717	301977.45651688485	287504.5559623125	162284.78257316805	431389.767461904	406817.82845693565	210887.7186291376	225316.806263779	196551.84708787818	259137.8509958864	104542.92677440283	231642.2694476581	182477.45858938797	126349.72257948096	131029.48394565229	101963.29547765519	31915.365169358207	508904.0963208002	537742.2539233253	408330.9860012324	345516.67837053334	468797.65493432863	359274.4263838988	405585.8948129307	407510.4781549674	323164.27188884723	365801.64234995685	481680.272181838	375123.0729177572	254585.30617875143	46554.15632745741	411265.7470045486	266850.35890603124	215914.62835497063	123819.39687222197	105040.01062123357
173.10373_19.757	1150.525837077229	2467.396686443394	8778.152860727641	15608.06398412216	4184.63980981734	30009.863164391034	310.38203110053365	134.3410104117706	228.62564730757174	182.5351217638978	465.77102313811884	10628.39475306057	33.18174624053727	16875.90994203705	4285.450446679263	902.8829639700618	3244.8342562620846	42043.96406946218	11820.391405790951	1335.2510638722194	5271.887816138286	1214.8331859410973	31734.653877772253	10987.00556958745	54271.6467510306	7651.965421363696	49085.53929678641	212.07536528985784	1818.0313003051692	242.8621094923506	24448.12657879522	42930.20414552262	38806.84008156469	2848.2660853858642	622.9940815746562	2864.1376175091705	51307.86522716831	17669.218451360626	917.556002042595	3562.2864090030434	8327.042463857522	11992.197165519545	16215.099219402542	35565.74980127173	40116.735750864354	22240.487719897148	2555.192300643524	2264.0288440401573	8894.38245918473	24166.30044749131	37218.68353390696	959248.1775420847	3936.639685237214	10186.244035791087	25759.59251950589	13962.706586234182	79.00361912723606
174.08739_12.251	38577.724428707195	83452.27379508437	74162.97454962498	49607.21881907409	90275.70048599632	80173.5862129061	93943.56985151063	135641.2942419737	41105.64192243415	42931.85107861761	35505.303437149145	68107.20099833494	46677.87218964918	23692.610667619523	39333.01132674512	41624.20176603158	11442.003421410887	5994.692472382404	21499.731924581603	45208.96866569362	54790.76705889271	58023.84892740905	111528.57494147778	116450.58526461301	77862.72199443835	131145.43966651958	203409.15072578337	39941.031055310035	38345.71948168719	44729.02871285129	93844.76524679436	27214.58753594268	36308.39335274916	45558.034679495155	31080.880484453166	15702.782122109906	6966.992316359179	12247.4839717568	80195.35725080676	97529.60985569104	89322.13924980165	149333.39557176677	177633.9984057527	105394.9802867341	147697.39021346654	199140.43594086383	41004.92975350189	65316.14076775	105568.02500697889	146474.13599147988	49301.29634604341	6440.0893143812	68910.49837821122	47680.67044890839	18604.39285992497	6670.067048509309	9024.697863340414
178.03638_10.263	28785.5709181405	32049.317596090536	33371.99710684497	31753.120276766236	18854.79833534539	23814.21532467119	42418.490973842	27753.728506422667	32437.67805071508	26319.14618220001	31429.896762664153	37374.2080141733	42493.67178154777	12313.698816661099	22539.846287091743	49943.46507027116	28133.998536571664	2885.675976388173	8860.215580682556	29684.668328725427	24983.14619883019	43861.64939518135	31406.25225644058	29767.334636677104	54700.65200408109	19036.49693451311	44291.48392560041	20284.089782571777	24855.509252706328	53567.31438047463	43930.967864024686	32836.538992508256	15585.267884341534	50172.88736165622	23204.706499011223	9810.096615720284	2900.814247561299	10374.965121623121	32579.625734135196	104006.2021555652	42793.57659697924	38976.7398889797	41250.867776482555	61483.55850081891	52451.42336686008	71196.59612797807	26193.944873310204	29890.108929576025	69792.18447660447	51661.11381201226	30733.58932477685	2556.0692843074553	33390.34905609577	27433.315627825374	11781.245553647395	13857.663277368887	8836.582252920833
