mz_rt	A_C_0	A_C_12	A_C_18	A_C_24	A_C_30	A_C_36	A_C_42	A_C_48	A_C_6	A_LV_0	A_LV_12	A_LV_24	A_LV_36	A_LV_48	A_HV_0	A_HV_12	A_HV_24	A_HV_36	A_HV_48	B_C_0	B_C_12	B_C_18	B_C_24	B_C_30	B_C_36	B_C_42	B_C_48	B_C_6	B_LV_0	B_LV_12	B_LV_24	B_LV_36	B_LV_48	B_HV_0	B_HV_12	B_HV_24	B_HV_36	B_HV_48	C_C_0	C_C_12	C_C_18	C_C_24	C_C_30	C_C_36	C_C_42	C_C_48	C_C_6	C_LV_0	C_LV_12	C_LV_24	C_LV_36	C_LV_48	C_HV_0	C_HV_12	C_HV_24	C_HV_36	C_HV_48
137.04572_7.988	31347.84484764952	45717.04329666665	51917.67320059206	180291.20075463518	68694.26953122132	274320.8639220235	175013.48085632958	623399.5966744386	39118.55005495949	23908.280245657865	24892.38210997866	217112.13309510838	676616.0947786008	755152.9606754236	32674.74896064615	56289.385224806676	91036.61623198962	1083138.7158696812	711270.0529819388	31509.847198864714	52732.830719577556	105379.9389417384	77105.63993639071	96907.44188920985	977372.0735653931	217638.90365079706	560934.6558585317	48688.05312193848	44831.52321952456	91402.46721931818	132951.1155578272	948412.5905296894	623650.0949817267	24333.5908395931	56117.59905765034	79988.327965386	568250.0492886653	667182.0706871795	46446.494692543994	122999.58508566748	150063.49059367456	89306.12557802889	40827.729421548924	539282.8769342807	482575.74620351015	538124.7305649869	123080.17414832667	49155.79778666216	165388.88641006994	86542.7068495499	709437.4072138844	934704.8327356807	76263.98671809438	296565.5023131347	182776.46628802788	57791.66574998056	155920.84750416197
137.04584_6.443	58904.62	89147.82	81442.64	288806.38	121100.28	433086.56	243807.02	464170.28	69568.7	50592.24	56270.92	284422.02	1184452.0533333332	2393835.52	62187.26	159405.6	847070.88	1713056.8533333333	3026255.36	71378.66	143127.92	111023.04	129274.12	195535.56	604745.2266666667	165356.66	533885.44	86504.08	80597.6	163649.56	243639.02	2928936.7466666666	1473485.12	194451.72	161779.88	409063.72	1658278.0444444444	2648175.04	61248.92	150455.92	209982.12	126576.19	110263.28	549631.68	584837.52	435702.04	667585.28	56520.56	243327.92	146041.09	1797234.88	491916.84	142595.88	619614	480220.8	228819.78	660093.08
138.05481_8.484	43569.4	90306.82	74838.98	41524.99	62319.88	31253.97333333333	42248.6	37806.77	76013.14	26770	87664.84	51485.22	44812.293333333335	41008.94	62565.04	54532.72	40292.29	93582.42	35884.85	34329.94	162855.38	75195.28	46647.31	67637.32	62328.073333333334	88737.22	53003.74	97504.24	36912.58	71366.28	32122.16	46352.23	77547.79	82932.28	56779	42117.32	38815.52962962963	68533.46	46126.02	71122.98	76286.44	46815.48	65025.58	41056.09	43641.68	59864.38	70673.94	38770.46	74218.38	48503.95	63442.6	6846024.96	38208.48	62795.88	53771.08	54624.16	31870.96
76.03989_11.841	29057.66282315186	33646.41658102597	24319.66797627029	25850.58429547916	51074.41069271356	50971.639708410105	50173.222762252466	62576.71603094886	39484.89992733449	18038.01714673061	40555.59762150905	31898.882315626004	50807.29255363613	50565.42006277427	23773.97186441853	29161.135562975363	15175.49936861373	28648.823507989724	29088.99063591999	23767.276686968162	42943.2713158249	38964.23759993715	42014.26277416073	43012.821076977205	58802.95925640782	44426.50927155762	81101.5663341538	45892.23005805052	20131.049658863678	48641.218799758906	33021.299068519365	48852.59690792992	41421.75922816657	25043.684165997143	23860.132132541283	16177.121542770945	29169.40199797681	41351.502271963625	30658.212764051128	57925.621457580775	41863.609388041965	52230.513792861515	71013.56760299228	55350.62148041551	51198.79266777825	89040.97707883493	28120.82183338871	23144.113602307592	50544.08942380173	41046.88156191931	56658.30874104836	4974171.335751388	29984.3259657316	57695.181991986494	33523.8216505845	26860.66070805568	19980.19306620994
142.64003_10.159	17649.217130520537	26728.794109597806	29370.09977300595	35312.578822165604	28211.318413245775	43019.271597094456	39054.2960527417	46623.18474606867	22036.597296149615	15807.50136090726	19323.54443341664	34649.59125523493	53409.21155579397	83502.6527582708	13687.813110611292	40764.63190436711	75052.46511680644	108580.24874780516	159120.01337523508	21176.19493538236	33868.48282155843	35727.419519274896	39077.66764787242	34216.99146621391	71366.70634559197	49497.6159872396	65783.17118457385	31936.935858207333	27132.069315251356	58311.41736143698	42654.84647779672	61019.34307313029	116383.82465402002	19304.720269624897	32773.95219072446	88572.79748103862	148225.55411381304	149882.2155490289	15244.13563831959	21522.08901653427	23584.96146959431	27031.55110001892	25001.527632516943	35223.590029050065	34765.12197127086	33908.42524102419	26762.759811197095	13882.651346248285	22930.708667607792	19078.81378493955	38225.40843374305	166795.30561733397	21480.585906671615	36529.03981049734	42356.10803994088	50142.65929068822	39667.79278437784
142.92117_10.16	770.7689760908269	2123.2814799303073	4287.637142104049	5271.668076189925	3035.641109531961	10426.44303452541	2735.5057595829735	6858.638543000757	2334.717816093482	960.3288956483772	1757.7801822929698	6489.422781872231	13321.919126310031	7706.730497495823	2694.850490668375	1821.1980273475533	2801.0383418197925	14771.042744375813	19635.924766620392	1904.2730764925184	1607.4011507939204	2229.783571876953	9132.133340092138	5290.434020389581	9641.980790847172	6635.953956940037	14355.570003190844	1074.0797504355583	819.6040274779662	7981.937021924911	4125.415287318139	11300.004972264087	14007.596949416697	2280.818117942876	2082.5061243473815	14402.719604522008	16974.80554757272	29222.02715027612	2073.0039179285486	2898.2136888354016	4913.68542672048	3345.7255586474466	4784.193097304018	2678.444422507127	6281.31811065966	5900.501451944251	2644.263263994256	933.7608017053452	3946.368296708985	5128.456923052316	7660.5292758923015	5239.890189403414	298.95427496172937	4850.172979812792	9393.54906112336	7697.02122282522	3755.737389478406
142.95488_10.161	9959.96	22680	17091.94	17838.56	18208.02	28802.04	24746.6	29612.67	17327.82	11918.46	7522.5	19487.64	33286.97	52352.46	11188.86	27636.74	59686.64	59201.013333333336	91544.43	14249.28	16420.68	25286.96	27549.86	24029.68	38309.28333333333	33171.88	41382.11	20696.64	15171.38	32081.22	37149.92	54882.75	78517.1	9218.78	23648.14	53760.99	64013.69629629629	111650.66	11139.44	17198.02	19571.12	21458.29	19879.76	26421.26	22647.84	27739.1	13189.48	7896.6	17614.4	18530.17	28536.41	107812.24	7785.04	26307.18	32760.58	29353.53	28701.61
143.08125_10.162	20404536.32	37239761.92	36319091.2	44443361.28	36304427.52	53543953.06666667	43115253.76	54761866.24	32008980.48	21249816.32	22291937.28	47595386.88	78407980.37333333	106923991.04	22000314.88	51690362.88	92681175.04	139693561.17333335	195648901.12	29273858.56	44172907.52	43680512	55422402.56	49982899.2	72450532.69333333	57754485.76	76744161.28	42144537.6	30370176	62524410.88	67471272.96	91661557.76	180370247.68	28465899.52	46144015.36	98687682.56	120711782.4	202816368.64	21846835.2	34163924.48	38922447.36	38244124.16	38989204.48	48302361.6	42918666.24	47463316.48	32760460.8	18315889.92	32723962.88	33482291.2	50986291.2	184663920.64	24789094.4	43847367.68	63034112	56165268.48	52134394.88
143.20895_10.161	10473.98	18558.52	16855.58	17818.46	16696.86	28881.103333333333	23614.94	30520.2	19523.12	10849.02	6841.98	20063.15	31681.16	56027.28	11247.88	25824.12	57113	58909.64	90160.6	13380.9	17979.68	25093.26	29134.04	23487.6	37738.64	28494.18	41511.47	18992.12	16415.56	28384.32	38103.62	52653.72666666667	81823.9	10876.62	25555.32	56196.44	63152.148148148146	114658.32	10709.42	15979.94	20830.34	20883.93	20967.2	26697.97	22613.18	28092.52	10937.6	8296.76	17872.82	18546.16	29975.07	108560.83	8582.84	25635.66	37710.04	28619.23	28239.48
143.52464_10.16	14652.481838811753	25310.822034231984	27975.14028391466	32901.24535788675	25726.485874511698	38603.65475879594	35499.509521607964	43208.72589750724	20076.83674794549	14313.887886300061	17613.106031711093	31459.25790962529	50599.13939434752	74749.10432889823	12360.315642423353	35726.71522206439	70283.41654716949	102038.25653662418	149369.48738741514	18848.62110354905	31485.35530227685	33215.46028269464	37014.71112215553	31050.5343220769	65358.19676295924	44954.08659916495	57436.11165288346	29173.05243417697	25114.937430687532	51165.36333313265	40253.518199745246	56573.85941920512	107230.02107122766	17718.591728996078	29621.44288201376	84256.15979997357	132095.66357938637	131920.54768580335	13800.464221320979	19595.146111720744	22431.256128688423	25285.126928713908	21709.34580575542	33336.68762635597	31886.52202088418	29172.236021105535	24271.258110110582	12687.653243871164	20763.324504220316	17512.259828533806	34032.24412597972	150653.16056650144	20335.89976733383	32384.968422811995	38205.86959576415	48385.79990818242	37020.331757034284
