Samp_Name	Sample_Type	Replicate	Treatment	Timepoint_h	Volume_mL	HILIC_SampID	RP_SampID	Vitamin_SampID
A_C_0	Marine Microbe Culture	A	C	0	50	200929_Smp_A_1C_T0	201006_Smp_A_1C_T0	230511_Smp_A_1C_T0
A_C_12	Marine Microbe Culture	A	C	12	50	200929_Smp_A_1C_T12	201006_Smp_A_1C_T12	230511_Smp_A_1C_T12
A_C_18	Marine Microbe Culture	A	C	18	50	200929_Smp_A_1C_T18	201006_Smp_A_1C_T18	230511_Smp_A_1C_T18
A_C_24	Marine Microbe Culture	A	C	24	100	200929_Smp_A_1C_T24	201006_Smp_A_1C_T24	230511_Smp_A_1C_T24
A_C_30	Marine Microbe Culture	A	C	30	50	200929_Smp_A_1C_T30	201006_Smp_A_1C_T30	230511_Smp_A_1C_T30
A_C_36	Marine Microbe Culture	A	C	36	300	200929_Smp_A_1C_T36	201006_Smp_A_1C_T36	230511_Smp_A_1C_T36
A_C_42	Marine Microbe Culture	A	C	42	50	200929_Smp_A_1C_T42	201006_Smp_A_1C_T42	230511_Smp_A_1C_T42
A_C_48	Marine Microbe Culture	A	C	48	100	200929_Smp_A_1C_T48	201006_Smp_A_1C_T48	230511_Smp_A_1C_T48
A_C_6	Marine Microbe Culture	A	C	6	50	200929_Smp_A_1C_T6	201006_Smp_A_1C_T6	230511_Smp_A_1C_T6
A_LV_0	Marine Microbe Culture	A	LV	0	50	200929_Smp_A_3LV_T0	201006_Smp_A_3LV_T0	230511_Smp_A_3LV_T0
A_LV_12	Marine Microbe Culture	A	LV	12	50	200929_Smp_A_3LV_T12	201006_Smp_A_3LV_T12	230511_Smp_A_3LV_T12
A_LV_24	Marine Microbe Culture	A	LV	24	100	200929_Smp_A_3LV_T24	201006_Smp_A_3LV_T24	230511_Smp_A_3LV_T24
A_LV_36	Marine Microbe Culture	A	LV	36	300	200929_Smp_A_3LV_T36	201006_Smp_A_3LV_T36	230511_Smp_A_3LV_T36
A_LV_48	Marine Microbe Culture	A	LV	48	100	200929_Smp_A_3LV_T48	201006_Smp_A_3LV_T48	230511_Smp_A_3LV_T48
A_HV_0	Marine Microbe Culture	A	HV	0	50	200929_Smp_A_6HV_T0	201006_Smp_A_6HV_T0	230511_Smp_A_6HV_T0
A_HV_12	Marine Microbe Culture	A	HV	12	50	200929_Smp_A_6HV_T12	201006_Smp_A_6HV_T12	230511_Smp_A_6HV_T12
A_HV_24	Marine Microbe Culture	A	HV	24	100	200929_Smp_A_6HV_T24	201006_Smp_A_6HV_T24	230511_Smp_A_6HV_T24
A_HV_36	Marine Microbe Culture	A	HV	36	300	200929_Smp_A_6HV_T36	201006_Smp_A_6HV_T36	230511_Smp_A_6HV_T36
A_HV_48	Marine Microbe Culture	A	HV	48	100	200929_Smp_A_6HV_T48	201006_Smp_A_6HV_T48	230511_Smp_A_6HV_T48
B_C_0	Marine Microbe Culture	B	C	0	50	200929_Smp_B_1C_T0	201006_Smp_B_1C_T0	230511_Smp_B_1C_T0
B_C_12	Marine Microbe Culture	B	C	12	50	200929_Smp_B_1C_T12	201006_Smp_B_1C_T12	230511_Smp_B_1C_T12
B_C_18	Marine Microbe Culture	B	C	18	50	200929_Smp_B_1C_T18	201006_Smp_B_1C_T18	230511_Smp_B_1C_T18
B_C_24	Marine Microbe Culture	B	C	24	100	200929_Smp_B_1C_T24	201006_Smp_B_1C_T24	230511_Smp_B_1C_T24
B_C_30	Marine Microbe Culture	B	C	30	50	200929_Smp_B_1C_T30	201006_Smp_B_1C_T30	230511_Smp_B_1C_T30
