mz_rt	A_C_0	A_C_12	A_C_18	A_C_24	A_C_30	A_C_36	A_C_42	A_C_48	A_C_6	A_LV_0	A_LV_12	A_LV_24	A_LV_36	A_LV_48	A_HV_0	A_HV_12	A_HV_24	A_HV_36	A_HV_48	B_C_0	B_C_12	B_C_18	B_C_24	B_C_30	B_C_36	B_C_42	B_C_48	B_C_6	B_LV_0	B_LV_12	B_LV_24	B_LV_36	B_LV_48	B_HV_0	B_HV_12	B_HV_24	B_HV_36	B_HV_48	C_C_0	C_C_12	C_C_18	C_C_24	C_C_30	C_C_36	C_C_42	C_C_48	C_C_6	C_LV_0	C_LV_12	C_LV_24	C_LV_36	C_LV_48	C_HV_0	C_HV_12	C_HV_24	C_HV_36	C_HV_48
238.09042_4.005	390.14	5329.72	5727.54	6838.71	0	13836.346666666666	9852.8	29460.19	4698.52	871.08	570.82	4921.9	5999.8533333333335	0	996	2377.3	0	763.2766666666666	379.64	3995	1795.7	5313.5	4525.93	11631.46	3412.6666666666665	11606.94	44278.56	0	3251.16	38.16	10092.98	13337.066666666668	3497.39	0	649.5	266.9	5520.933333333333	39.47	5036.78	7805.58	7369.8	9444.15	11026.42	35818.08	20052.08	20305.2	7035.64	5529.62	5632.52	17903.99	28114.2	0	9188.18	3991.58	898.12	154.54	331.76
238.09355_2.556	1324.2	1642.06	3181.08	13135.14	2351.7	42523.46	23784.2	68404.4	1236.18	1093.34	46.48	16297.48	46550.77333333333	167.72	2046.62	243.96	34.32	0	0	2756.22	752.94	3686.36	10476.02	6295.46	76429.13333333333	25865.38	101463.29	615.62	3760.52	1096.72	11378.36	44020.26	273.06	268.24	241.46	190.72	0	0	3597.26	4740.26	4609.5	20031.76	6249.98	62543.72	14009.44	73744.72	1777.88	3117.98	6290.58	13462.5	24512.79	0	3769.28	2872.24	0	0	0
240.10938_1.037	33832.702621549724	53062.0100955132	34893.89700356842	78532.97410580906	95030.64023611094	122591.30509682397	489626.9909996089	261679.35425175485	23831.190944633774	43524.42317287878	13088.364916521712	51963.01154218743	98756.10229773616	8253.087975371243	45572.62644378178	49.17458495360288	3136.952498665491	8044.78956968888	5777.777909997989	77879.70720808375	25316.49263604122	21200.737796759768	94549.6432303819	86422.15406943813	67721.13686771083	166988.44063945717	638966.2265465831	22463.088189852046	98714.70421586122	37742.40615741828	104482.42492752573	63584.070667219035	13570.984494769189	525.7114477768467	8881.006950658906	6767.157508538442	6803.834229887318	69879.58293219851	28611.363012952585	24759.96520835126	47959.638036306176	148968.48217395466	185041.12774437643	133271.3615324417	123791.89683361858	191599.79111102773	12399.853474726386	22228.808839808662	58041.76635751552	100914.6006884751	60226.18656282859	2998.5393302293114	114542.58203519497	38584.36736859201	5195.48277920604	8141.721878812375	2823.725543535065
243.04904_2.555	756.4947391812659	1036.9779272122826	1644.484049604951	6723.742106564219	1121.8566873769503	28215.759457039443	12388.51451226522	49594.49975252184	629.1227236534414	689.7981896813336	0	6914.385517135911	35031.641550399814	68.22678172378403	754.614143808599	48.54621205737158	20.398712631398563	0	0	1690.383779284827	328.29177736258515	2441.1957410188447	5003.221216571466	2720.1087543793174	57084.784912675175	14696.04654043798	58709.74352482444	133.97593641711174	2600.653257696654	470.50530571412224	7716.6123878118	33842.34750336415	0	0	39.50329224526069	56.58574932459468	0	0	1732.084597303366	1942.6672909478089	1997.451885813283	9662.016794409594	2381.295181988704	45856.73683763082	9732.091671021379	40158.03292133459	1047.6077276831847	1830.115046266368	2699.6246790009604	5855.087710833032	15574.225961429667	0	2318.174050273654	1386.8653098002987	0	0	0
243.08376_1.141	1721.7747952102259	5251.554147890507	6914.99112382411	4454.662256229601	0	1292.8031871308335	14028.44171266715	4966.218401747081	4547.760978549986	1038.8934057467163	2663.2728706476196	2463.8406696251386	648.6976820836246	0	1721.7175685095237	10493.824554894692	313.81500005028005	0	0	2804.0545279823796	399.53703277175106	7249.469962763891	3104.9353916527184	4381.45354619655	29.628791178357098	6747.046993912812	11270.495365400713	194.07259954449862	1879.9589834378637	2735.6978303995206	4594.020322075743	517.1719141993816	295.63417881622553	257.6278670103622	2335.251097715568	449.50287997994366	0	0	5255.928812889598	8710.707412771459	5240.830243838129	1656.0425904845067	7032.615919504555	7804.679336418298	2105.544036823039	6000.4872785127245	3912.268150276619	4915.427377570918	3740.320192475181	8561.485589841495	6428.361107051072	165.9613121758009	5858.617040298901	6083.622292877743	0	0	42.98430533376536
243.08788_5.785	8637.784715760732	9740.989054558293	6781.8399139899375	21115.015361803453	116.51830760295708	8885.306562255086	30350.385137327263	13897.73519757772	5064.861386643403	7905.709555160383	5249.613124384811	7911.647315566054	20603.063261894524	1187.9918229837328	3400.779808090515	5053.492771483864	10173.176576116268	6661.396736275837	19656.43229479557	5158.149207140302	9420.420656618358	1541.5957474065203	9400.624801130773	9502.215268058471	1071.778445952607	1420.9934022728391	45762.382085535464	223.79041525935293	9034.576428794566	14462.43096969347	22810.98762990198	31549.616078137067	9547.684070819792	2193.0770188377896	7471.45249571514	10988.864163354116	6446.461658359167	8335.32299931226	6109.4250602553575	6898.482563078634	9663.543278709622	15072.720824326929	10443.62358010107	24737.608233442643	3026.2612440195053	18477.35458163456	3795.4295744147407	9739.87367492034	12921.063185587991	11662.26317451737	7691.6108845337785	17538.625991650802	8483.225419650587	13740.679975986757	7347.5472780599075	13951.831158813671	17814.706387695434
243.09789_1.446	531.3	1308.82	1266.78	2944.33	1134.28	5937.89	2876.68	4481.24	571.38	507.04	1323.96	3931.95	23526.84	12242.39	771.22	5202.34	3743.39	19924.8	21154.04	305.54	2463.7	1660.7	2211.25	1813.9	6790.11	3996.52	5065.85	653.04	555.28	2223.68	3662.01	36510.24	15890.83	0	4345.06	2232.14	16136.814814814816	13367.86	1057.68	2334.4	5030.84	2361.25	836.34	7084.34	4974.18	4787.4	1507.3	971.44	3348.8	3260.67	39701.4	2954.59	2648.24	9660.06	5415.75	4020.65	6226.19
244.08061_3.411	802.12405554397	854.1753172400138	1887.0800277082296	1711.802409158402	5982.7177455122865	7793.72550404034	6861.79353532897	4958.098475160059	445.7013100593815	562.972091825731	0	1710.5440805047706	12.48393589262895	0	1309.8140463589293	0	0	0	0	831.8805243827206	694.9117689717486	863.251254749451	5014.938988809447	6022.101440046235	45887.44834521914	8241.781053378807	13118.449922219019	399.00739995757897	1562.4784166005907	810.1438488367348	1810.8882566312998	597.7967584367236	0	185.46727515741952	42.936016912615	0	0	0	1220.5051249381838	748.713359539202	2070.7395003043257	13540.749452024767	34106.900912631616	3037.310489881035	3237.825484455199	9129.428971415135	461.1866466627812	669.6703105773186	1355.0525462645178	6328.3583857714975	1260.3134867185706	0	2212.519954433316	295.5411465958645	0	0	0
245.0647_2.479	3265.55583848929	3398.7573411109774	6494.802185954839	13894.029499084658	6882.243429586682	16940.626533112158	21538.405398577408	30174.95485921723	1774.479471414327	1765.3976079236663	51.81214143002323	15411.3913159903	51.11973332166663	792.3390419349089	1921.17958148266	387.1969927167891	163.3357538862582	0	0	2330.989242190139	0	8358.123590754454	12076.29683086999	10987.673181113161	26307.30247863315	22435.158274291418	37825.10294679562	2301.0578766111416	4450.756218769576	2073.286483618401	12502.597209248244	14531.47449707507	422.4577492394148	967.2100108801127	472.35010318013707	97.10456910563772	0	0	3812.0230077008005	4622.315931539134	6285.866412056264	9881.071847184501	6592.998503232958	26103.441994952675	48899.13827529379	27636.298244406807	3858.938877691587	3520.7747450245242	5410.249154855281	8645.979626541832	8891.196199567743	0	4244.245194435982	3183.5192805143265	0	0	0
245.18597_2.369	2384.875091597881	815.9746012796231	714.8632521729589	2984.2668044242355	2093.279250459877	1760.0658652963064	6028.37425076116	10848.412557105032	931.2210274033674	1302.8234470123004	743.1828912274146	503.0734920687868	4759.916554951969	14292.455788750016	405.6763293943623	554.4901755861121	2002.3263820630298	10035.623427255818	7236.566191065952	262.9440552545334	1653.8077326890814	5437.8756202301965	905.9780599182055	670.0865425438382	4885.9133136144565	3414.5422570053006	4918.266983650604	2249.0936523655946	740.5455772171186	1864.229980130621	1629.866943426403	15350.577722648122	5898.922334699764	0	1004.3064969759547	2282.397434993215	34765.50069441114	45105.85331055021	1835.5965445251363	636.0840282230944	2737.666910016702	2516.9553604832	1535.1569238843988	7453.828576770008	8491.35609883718	6166.461297613529	1100.4828641862377	567.5188530023696	3137.0581701937276	1613.3423978435662	6605.284084197349	5605683.649853851	1800.2012016969654	2508.495801071635	5816.430091242784	7983.303059292287	2936.74378042866
