Time,Treatment,Rep,Pro.count,BacSml.count,BacLrg.count,BacTot.count,Phage.abun,Pro.C,BacSml.C,BacLrg.C,BacTot.C,TotMicrobial.C,Pro.C.Fraction
0,C,A,16700000,231000,498000,729000,0,342335146.5101215,2692572.527276092,11797445.19852745,14490017.725803545,356825164.2359251,0.959391827768562
0,C,B,18200000,347000,572000,918000,0,440655039.18379414,4163854.8680565897,13215900.864461329,17379755.732517917,458034794.916312,0.9620558177557376
0,C,C,16400000,556000,689000,1250000,0,472614163.1510465,6355672.109848733,14992986.38856244,21348658.498411175,493962821.6494577,0.9567808394422824
0,LV,A,17400000,214000,453000,667000,62800,391133013.3473452,2499011.5289540915,10645777.6208961,13144789.14985019,404277802.4971954,0.9674857509646688
0,LV,B,18500000,219000,368000,587000,97700,440959106.6628265,2542804.8200906096,8464684.43367586,11007489.25376647,451966595.91659296,0.9756453477907074
0,LV,C,17300000,606000,679000,1290000,37400,448885510.06336594,7002521.97741725,15184876.313322105,22187398.290739354,471072908.3541053,0.9529002880503986
0,HV,A,16100000,332000,359000,691000,10400000,351423149.8599522,3879531.567908641,7748059.935501873,11627591.503410513,363050741.3633627,0.9679725443894
0,HV,B,16900000,289000,443000,732000,8360000,402069273.1720587,3455018.9021942215,10515420.247289676,13970439.149483897,416039712.3215426,0.9664204191673736
0,HV,C,16100000,687000,779000,1470000,9130000,406736699.3144913,8035956.756549344,17294992.04906623,25330948.805615578,432067648.1201068,0.9413727250447272
2,C,A,17400000,NA,NA,NA,NA,461637428.28713095,NA,NA,NA,NA,NA
2,C,B,18700000,NA,NA,NA,NA,533031376.4470734,NA,NA,NA,NA,NA
2,C,C,15400000,NA,NA,NA,NA,435361140.5257664,NA,NA,NA,NA,NA
2,LV,A,17100000,NA,NA,NA,NA,442644033.45626,NA,NA,NA,NA,NA
2,LV,B,18100000,NA,NA,NA,NA,501176916.2683679,NA,NA,NA,NA,NA
2,LV,C,16100000,NA,NA,NA,NA,450530675.95523053,NA,NA,NA,NA,NA
2,HV,A,16900000,NA,NA,NA,NA,418784251.8191584,NA,NA,NA,NA,NA
2,HV,B,16900000,NA,NA,NA,NA,467084831.6156337,NA,NA,NA,NA,NA
2,HV,C,15800000,NA,NA,NA,NA,430931713.5359551,NA,NA,NA,NA,NA
4,C,A,17700000,NA,NA,NA,NA,529756818.1173908,NA,NA,NA,NA,NA
4,C,B,17800000,NA,NA,NA,NA,573293362.6072266,NA,NA,NA,NA,NA
