SampID,Time,Rep,Treatment,MF,Name,FinalBMIS,Fraction,RT,mz,Volume_Normalized_Area,Predicted_Adduct_Ion
A_1C_T0,0,A,C,HNeg_1013,Unknown,"Glycine betaine, 13C5, 15N",HILIC_Neg,10.059,159.07661,43653.61773307273,NA
A_1C_T0,0,A,C,HNeg_1041,Unknown,Inj_vol,HILIC_Neg,7.406,162.04131,276577.6,NA
A_1C_T0,0,A,C,HNeg_1104,Unknown,Inj_vol,HILIC_Neg,9.4,167.01228,11219.86,NA
A_1C_T0,0,A,C,HNeg_1107,Unknown,"DL-Valine, 2H8",HILIC_Neg,11.217,167.04295,1126.09741611523,NA
A_1C_T0,0,A,C,HNeg_1113,Unknown,"L-Cysteic acid, 2H3",HILIC_Neg,11.474,167.99625,4337.230964592335,NA
A_1C_T0,0,A,C,HNeg_1114,Unknown,"DL-Valine, 2H8",HILIC_Neg,11.242,168.02708,227256.57441443644,NA
A_1C_T0,0,A,C,HNeg_1179,Unknown,"DL-Proline, 2H7",HILIC_Neg,19.757,173.10373,1150.525837077229,NA
A_1C_T0,0,A,C,HNeg_1191,Unknown,"Homarine, 2H3",HILIC_Neg,12.251,174.08739,38577.724428707195,NA
A_1C_T0,0,A,C,HNeg_1234,Unknown,"Sucrose, 13C",HILIC_Neg,10.263,178.03638,28785.5709181405,NA
A_1C_T0,0,A,C,HNeg_1264,Unknown,"DL-Valine, 2H8",HILIC_Neg,9.537,180.06586,14336.92705960969,[M+FA-H]-
A_1C_T0,0,A,C,HNeg_1277,Unknown,"Cytosine, 13C2, 15N3",HILIC_Neg,10.142,181.04594,15274.219121740774,NA
A_1C_T0,0,A,C,HNeg_1293,Unknown,"Arsenobetaine, 13C2",HILIC_Neg,10.161,183.05174,5723.23412842424,NA
A_1C_T0,0,A,C,HNeg_1299,Unknown,Inj_vol,HILIC_Neg,1.896,183.13826,6255.6,NA
A_1C_T0,0,A,C,HNeg_1315,Unknown,"Cytosine, 13C2, 15N3",HILIC_Neg,7.696,185.02167,0,NA
A_1C_T0,0,A,C,HNeg_1352,Unknown,"L-Cysteic acid, 2H3",HILIC_Neg,2.775,187.10834,1928.5113087927111,NA
A_1C_T0,0,A,C,HNeg_1353,Unknown,"L-Cysteic acid, 2H3",HILIC_Neg,1.885,187.13333,11758.412061155772,NA
A_1C_T0,0,A,C,HNeg_1356,Unknown,"DL-Alanine, 2H3",HILIC_Neg,10.699,188.05591,89263.27798881342,NA
A_1C_T0,0,A,C,HNeg_1383,Unknown,"Homarine, 2H3",HILIC_Neg,9.5,191.05524,50988.232460216146,NA
A_1C_T0,0,A,C,HNeg_1436,Unknown,Inj_vol,HILIC_Neg,1.807,195.13853,2740.62,NA
A_1C_T0,0,A,C,HNeg_1473,Unknown,Inj_vol,HILIC_Neg,1.817,197.15417,7225.18,NA
A_1C_T0,0,A,C,HNeg_1494,Unknown,"L-Cysteic acid, 2H3",HILIC_Neg,2.684,198.92255,19550.869165289303,NA
A_1C_T0,0,A,C,HNeg_1552,Unknown,"L-Methionine, 2H3",HILIC_Neg,8.632,203.08211,145.88908849602115,NA
A_1C_T0,0,A,C,HNeg_1559,Unknown,"DL-Histidine, 15N",HILIC_Neg,9.813,204.0507,8193.475766982654,NA
A_1C_T0,0,A,C,HNeg_1671,Unknown,"Thymine, 2H4",HILIC_Neg,1.905,213.14919,16219.779834293073,NA
