Time,Gene_Name,KEGG_ID,Pathway_ID,Pathway_info,Pathway_details,FC,p_adj
0,aarA,K14330,9191,Metabolism,99983 Lipid metabolism,0.025079087,0.999823315
12,aarA,K14330,9191,Metabolism,99983 Lipid metabolism,-0.389001299,0.116818976
24,aarA,K14330,9191,Metabolism,99983 Lipid metabolism,-0.813991696,0.012721587
36,aarA,K14330,9191,Metabolism,99983 Lipid metabolism,0.430076465,0.021823478
0,accA,K01962,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],0.058737099,0.999823315
12,accA,K01962,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],0.025770484,0.952779549
24,accA,K01962,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],-0.081562459,0.840818057
36,accA,K01962,9103,Lipid metabolism,00061 Fatty acid biosynthesis [PATH:ko00061],0.700688932,0.005110773
0,accA,K01962,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],0.058737099,0.999823315
12,accA,K01962,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],0.025770484,0.952779549
24,accA,K01962,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],-0.081562459,0.840818057
36,accA,K01962,9101,Carbohydrate metabolism,00620 Pyruvate metabolism [PATH:ko00620],0.700688932,0.005110773
0,accA,K01962,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],0.058737099,0.999823315
12,accA,K01962,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],0.025770484,0.952779549
24,accA,K01962,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],-0.081562459,0.840818057
36,accA,K01962,9101,Carbohydrate metabolism,00640 Propanoate metabolism [PATH:ko00640],0.700688932,0.005110773
0,accA,K01962,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],0.058737099,0.999823315
12,accA,K01962,9102,Energy metabolism,00720 Carbon fixation pathways in prokaryotes [PATH:ko00720],0.025770484,0.952779549
