Gene.ID,Gene.Name,Time,Treatment,Replicate,Normalized.Counts
WP_002805124.1,psbI,0,C,A,33460
WP_002805124.1,psbI,0,C,B,36981
WP_002805124.1,psbI,0,C,C,24500
WP_002805124.1,psbI,0,HV,A,13783
WP_002805124.1,psbI,0,HV,B,31535
WP_002805124.1,psbI,0,HV,C,35215
WP_002805124.1,psbI,12,C,A,11853
WP_002805124.1,psbI,12,C,B,11779
WP_002805124.1,psbI,12,C,C,15626
WP_002805124.1,psbI,12,HV,A,1911
WP_002805124.1,psbI,12,HV,B,7306
WP_002805124.1,psbI,12,HV,C,3111
WP_002805124.1,psbI,24,HV,A,261
WP_002805124.1,psbI,24,HV,B,158
WP_002805124.1,psbI,24,HV,C,101
WP_002805124.1,psbI,24,C,A,25889
WP_002805124.1,psbI,24,C,B,34095
WP_002805124.1,psbI,36,C,A,16758
WP_002805124.1,psbI,36,C,B,7060
WP_002805124.1,psbI,36,C,C,19561
WP_002805124.1,psbI,36,HV,A,87
WP_002805124.1,psbI,36,HV,B,204
WP_002805124.1,psbI,36,HV,C,59
WP_002805169.1,atpE,0,C,A,152021
WP_002805169.1,atpE,0,C,B,143204
WP_002805169.1,atpE,0,C,C,148691
WP_002805169.1,atpE,0,HV,A,118603
WP_002805169.1,atpE,0,HV,B,81651
WP_002805169.1,atpE,0,HV,C,167713
WP_002805169.1,atpE,12,C,A,17517
WP_002805169.1,atpE,12,C,B,17705
WP_002805169.1,atpE,12,C,C,21891
WP_002805169.1,atpE,12,HV,A,5845
WP_002805169.1,atpE,12,HV,B,8494
WP_002805169.1,atpE,12,HV,C,3399
WP_002805169.1,atpE,24,HV,A,1053
WP_002805169.1,atpE,24,HV,B,632
WP_002805169.1,atpE,24,HV,C,373
WP_002805169.1,atpE,24,C,A,135590
WP_002805169.1,atpE,24,C,B,172819
WP_002805169.1,atpE,36,C,A,33895
WP_002805169.1,atpE,36,C,B,18730
WP_002805169.1,atpE,36,C,C,37196
