GENE.NAME,ID,start,end,X,PMM,seq_id,strand,bound_moiety,em_BRITE,em_BiGG_Reaction,em_CAZy,em_COG_cat,em_EC,em_GOs,em_KEGG_Module,em_KEGG_Pathway,em_KEGG_Reaction,em_KEGG_TC,em_KEGG_ko,em_KEGG_rclass,em_OGs,em_PFAMs,em_Preferred_name,em_desc,em_evalue,em_max_annot_lvl,em_score,em_target,em_tcov,end_range,gene,product,protein_id,type
abrB2,cds-TX50_RS03060,539879,540228,623,PMM0573,NC_005072.1,-,NA,,,,K,,,,,,,,,"COG2002@1|root,COG2002@2|Bacteria,1G5PU@1117|Cyanobacteria,22TNC@167375|Cyanobium",AbrB-like,,AbrB-like transcriptional regulator,3.60E-11,1117|Cyanobacteria,62.8,1496688.ER33_13090,27,,,AbrB family transcriptional regulator,,CDS
TX50_RS03640,cds-TX50_RS03640,654112,654374,746,NA,NC_005072.1,+,NA,ko00000,,,T,,"GO:0003674,GO:0005488,GO:0005515,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009266,GO:0009408,GO:0009628,GO:0019538,GO:0030163,GO:0043170,GO:0044238,GO:0050896,GO:0051087,GO:0071704,GO:1901564,GO:1901565,GO:1901575",,,,,ko:K06891,,"COG2127@1|root,COG2127@2|Bacteria",ClpS,clpS,Involved in the modulation of the specificity of the ClpAP-mediated ATP-dependent protein degradation,5.41E-37,2|Bacteria,125,59919.PMM0686,100,,,ATP-dependent Clp protease adaptor ClpS,,CDS
cds-TX50_RS04365,cds-TX50_RS04365,773065,773190,901,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2DKCC@1|root,3095S@2|Bacteria,1GIR7@1117|Cyanobacteria,1MMZP@1212|Prochloraceae",Chloroa_b-bind,,High light inducible,4.02E-22,1117|Cyanobacteria,85.5,1471459.JFLJ01000178_gene1583,97.6,"773190,.",,chlorophyll a/b-binding protein,,CDS
TX50_RS07310,cds-TX50_RS07310,1311035,1311303,1515,NA,NC_005072.1,-,NA,,,,,,,,,,,,,,,,,NA,,NA,,NA,,,hypothetical protein,,CDS
cds-TX50_RS07510,cds-TX50_RS07510,1344939,1345064,1564,NA,NC_005072.1,-,NA,,,,S,,,,,,,,,"2DKCC@1|root,3095S@2|Bacteria,1GIR7@1117|Cyanobacteria,1MMZP@1212|Prochloraceae",Chloroa_b-bind,,High light inducible,4.02E-22,1117|Cyanobacteria,85.5,1471459.JFLJ01000178_gene1583,97.6,"1345064,.",,chlorophyll a/b-binding protein,,CDS
psbI,cds-WP_002805124.1,242502,242630,261,PMM0253,NC_005072.1,+,NA,"ko00000,ko00001,ko00194",,,U,,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008150,GO:0008152,GO:0009521,GO:0009523,GO:0009539,GO:0009579,GO:0009987,GO:0015979,GO:0016020,GO:0016021,GO:0030075,GO:0030096,GO:0031224,GO:0032991,GO:0034357,GO:0042651,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044237,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944,GO:0098796,GO:0098797",,"ko00195,ko01100,map00195,map01100",,,ko:K02710,,"2EIT8@1|root,33CII@2|Bacteria,1GAH3@1117|Cyanobacteria,1MMZE@1212|Prochloraceae",PsbI,psbI,"One of the components of the core complex of photosystem II (PSII), required for its stability and or assembly. PSII is a light-driven water plastoquinone oxidoreductase that uses light energy to abstract electrons from H(2)O, generating O(2) and a proton gradient subsequently used for ATP formation. It consists of a core antenna complex that captures photons, and an electron transfer chain that converts photonic excitation into a charge separation",4.92E-21,1117|Cyanobacteria,82.8,1501268.EW14_0298,100,,,photosystem II reaction center protein I,WP_002805124.1,CDS
atpE,cds-WP_002805169.1,1390194,1390439,1634,PMM1455,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko00194",,,F,,"GO:0003674,GO:0005215,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0008289,GO:0008324,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009579,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015672,GO:0015985,GO:0015986,GO:0015988,GO:0015991,GO:0016020,GO:0016021,GO:0016469,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0022857,GO:0022890,GO:0031224,GO:0032991,GO:0033177,GO:0034220,GO:0034357,GO:0034641,GO:0034654,GO:0042651,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0045259,GO:0045263,GO:0046034,GO:0046390,GO:0046483,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0072521,GO:0072522,GO:0090407,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0099131,GO:0099132,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600",M00157,"ko00190,ko00195,ko01100,map00190,map00195,map01100",,3.A.2.1,ko:K02110,,"COG0636@1|root,COG0636@2|Bacteria,1GEFH@1117|Cyanobacteria,1MMPY@1212|Prochloraceae",ATP-synt_C,atpE,"F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation",1.08E-43,1117|Cyanobacteria,142,146891.A9601_16571,100,,atpE,ATP synthase F0 subunit C,WP_002805169.1,CDS
rbcL,cds-WP_002805854.1,519087,520502,599,PMM0550,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000",,,H,4.1.1.39,"GO:0000287,GO:0003674,GO:0003824,GO:0004497,GO:0005488,GO:0005975,GO:0008150,GO:0008152,GO:0009058,GO:0009853,GO:0009987,GO:0015977,GO:0015979,GO:0016051,GO:0016491,GO:0016829,GO:0016830,GO:0016831,GO:0016984,GO:0019253,GO:0019685,GO:0043094,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0046872,GO:0055114,GO:0071704,GO:1901576","M00165,M00166,M00532","ko00630,ko00710,ko01100,ko01120,ko01200,map00630,map00710,map01100,map01120,map01200","R00024,R03140",,ko:K01601,"RC00172,RC00859","COG1850@1|root,COG1850@2|Bacteria,1G05Z@1117|Cyanobacteria,1MKUH@1212|Prochloraceae","RuBisCO_large,RuBisCO_large_N",cbbL,"RuBisCO catalyzes two reactions the carboxylation of D- ribulose 1,5-bisphosphate, the primary event in carbon dioxide fixation, as well as the oxidative fragmentation of the pentose substrate in the photorespiration process. Both reactions occur simultaneously and in competition at the same active site",0,1117|Cyanobacteria,972,146891.A9601_06061,100,,,form I ribulose bisphosphate carboxylase large subunit,WP_002805854.1,CDS
rpsR,cds-WP_002806014.1,825859,826080,970,PMM0869,NC_005072.1,-,NA,"br01610,ko00000,ko00001,ko00002,ko03011",,,J,,"GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015935,GO:0019538,GO:0019843,GO:0022626,GO:0022627,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904",M00178,"ko03010,map03010",,,ko:K02963,,"COG0238@1|root,COG0238@2|Bacteria,1G7NE@1117|Cyanobacteria,1MMNT@1212|Prochloraceae",Ribosomal_S18,rpsR,"Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit",2.58E-45,1117|Cyanobacteria,146,146891.A9601_09931,100,,rpsR,30S ribosomal protein S18,WP_002806014.1,CDS
rpsU,cds-WP_002806486.1,941604,941780,1098,PMM0987,NC_005072.1,+,NA,"br01610,ko00000,ko00001,ko00002,ko03011",,,J,,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0019538,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1990904",M00178,"ko03010,map03010",,,ko:K02970,,"COG0828@1|root,COG0828@2|Bacteria,1G92D@1117|Cyanobacteria,1MN1W@1212|Prochloraceae",Ribosomal_S21,rpsU,Belongs to the bacterial ribosomal protein bS21 family,4.83E-30,1117|Cyanobacteria,106,1471459.JFLJ01000115_gene1616,100,,rpsU,30S ribosomal protein S21,WP_002806486.1,CDS
PMM0474,cds-WP_006043540.1,450293,450481,521,PMM0474,NC_005072.1,-,NA,,,,None,,,,,,,,,"2B9ID@1|root,322WH@2|Bacteria,1GFAH@1117|Cyanobacteria,1H101@1129|Synechococcus",SH3_1,,None,5.72E-37,1117|Cyanobacteria,124,110662.Syncc9605_0642,84.9,,,hypothetical protein,WP_006043540.1,CDS
psaC,cds-WP_007099573.1,1537828,1538073,1791,PMM1607,NC_005072.1,-,NA,"ko00000,ko00001,ko00002,ko00194",iJN678.psaC,,C,,"GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006091,GO:0008150,GO:0008152,GO:0009055,GO:0009521,GO:0009522,GO:0009579,GO:0009767,GO:0009773,GO:0009987,GO:0015979,GO:0016020,GO:0016491,GO:0019684,GO:0022900,GO:0032991,GO:0034357,GO:0042651,GO:0043167,GO:0043169,GO:0044237,GO:0044424,GO:0044425,GO:0044436,GO:0044464,GO:0046872,GO:0048037,GO:0051536,GO:0051539,GO:0051540,GO:0055114,GO:0071944,GO:0098796",M00163,"ko00195,ko01100,map00195,map01100",,,ko:K02691,,"COG1143@1|root,COG1143@2|Bacteria,1G6I8@1117|Cyanobacteria,1MMIU@1212|Prochloraceae",Fer4,psaC,"essential for photochemical activity. FB is the terminal electron acceptor of PSI, donating electrons to ferredoxin. The C-terminus interacts with PsaA B D and helps assemble the protein into the PSI complex. Required for binding of PsaD and PsaE to PSI. PSI is a plastocyanin cytochrome c6- ferredoxin oxidoreductase, converting photonic excitation into a charge separation, which transfers an electron from the donor P700 chlorophyll pair to the spectroscopically characterized acceptors A0, A1, FX, FA and FB in turn",6.00E-41,1117|Cyanobacteria,135,146891.A9601_18171,100,,psaC,photosystem I iron-sulfur center protein PsaC,WP_007099573.1,CDS
dnaN,cds-WP_011131639.1,174,1331,1,PMM0001,NC_005072.1,+,NA,"ko00000,ko00001,ko00002,ko01000,ko03032,ko03400",,,L,2.7.7.7,"GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003887,GO:0004518,GO:0004527,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006260,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008408,GO:0009058,GO:0009059,GO:0009360,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0016787,GO:0016788,GO:0018130,GO:0019438,GO:0032991,GO:0034061,GO:0034641,GO:0034645,GO:0034654,GO:0042575,GO:0043170,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0061695,GO:0071704,GO:0071897,GO:0090304,GO:0090305,GO:0097159,GO:0140097,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1902494,GO:1990234",M00260,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440","R00375,R00376,R00377,R00378",,ko:K02338,RC02795,"COG0592@1|root,COG0592@2|Bacteria,1FZV5@1117|Cyanobacteria,1MKTR@1212|Prochloraceae","DNA_pol3_beta,DNA_pol3_beta_2,DNA_pol3_beta_3",dnaN,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",3.21E-267,1117|Cyanobacteria,733,59919.PMM0001,100,,dnaN,DNA polymerase III subunit beta,WP_011131639.1,CDS
PMM0002,cds-WP_011131640.1,1333,2040,2,PMM0002,NC_005072.1,+,NA,,,,S,,,,,,,,,"COG3881@1|root,COG3881@2|Bacteria,1GBH7@1117|Cyanobacteria,1MMB0@1212|Prochloraceae",PRC,,Alternative locus ID,2.70E-170,1117|Cyanobacteria,475,59919.PMM0002,100,,,hypothetical protein,WP_011131640.1,CDS
